採取日,対象物質,基準,施設内５街区青果棟（地下ピット内）,施設内６街区水産仲卸売場棟（地下ピット内）,施設内６街区加工パッケージ棟（地下ピット内）,施設内７街区水産卸売場棟（地下ピット内）,施設内７街区管理施設棟（地下ピット内）
３月１４日（木）,アンモニア（ｐｐｍ）,1,0.02,-,-,-,-
３月１４日（木）,硫化水素（ｐｐｍ）,0.02,不検出,-,-,-,-
３月１４日（木）,硫化メチル（ｐｐｍ）,0.01,不検出,-,-,-,-
３月１４日（木）,アセトアルデヒド（ｐｐｍ）,0.05,不検出,-,-,-,-
３月２１日（木）,アンモニア（ｐｐｍ）,1,不検出,-,-,-,-
３月２１日（木）,硫化水素（ｐｐｍ）,0.02,不検出,-,-,-,-
３月２１日（木）,硫化メチル（ｐｐｍ）,0.01,不検出,-,-,-,-
３月２１日（木）,アセトアルデヒド（ｐｐｍ）,0.05,0.003,-,-,-,-
３月２８日（火）,アンモニア（ｐｐｍ）,1,-,0.07,0.07,0.06,0.15
３月２８日（火）,硫化水素（ｐｐｍ）,0.02,-,不検出,不検出,不検出,不検出
３月２８日（火）,硫化メチル（ｐｐｍ）,0.01,-,不検出,不検出,不検出,不検出
３月２８日（火）,アセトアルデヒド（ｐｐｍ）,0.05,-,不検出,不検出,不検出,不検出
４月４日（火）,アンモニア（ｐｐｍ）,1,0.03,0.10,0.12,0.08,0.20
４月４日（火）,硫化水素（ｐｐｍ）,0.02,不検出,不検出,不検出,不検出,不検出
４月４日（火）,硫化メチル（ｐｐｍ）,0.01,不検出,0.0001,0.0001,不検出,不検出
４月４日（火）,アセトアルデヒド（ｐｐｍ）,0.05,不検出,不検出,不検出,不検出,不検出
４月１１日（火）,アンモニア（ｐｐｍ）,1,不検出,0.12,0.09,0.06,0.19
４月１１日（火）,硫化水素（ｐｐｍ）,0.02,不検出,不検出,不検出,不検出,不検出
４月１１日（火）,硫化メチル（ｐｐｍ）,0.01,不検出,不検出,不検出,不検出,不検出
４月１１日（火）,アセトアルデヒド（ｐｐｍ）,0.05,不検出,0.004,0.003,0.004,0.002
