区分１,区分２,５街区青果棟前回,５街区青果棟今回,６街区水産仲卸売場棟前回,６街区水産仲卸売場棟今回,６街区加工パッケージ棟前回,６街区加工パッケージ棟今回,７街区水産卸売場棟前回,７街区水産卸売場棟今回,７街区管理施設棟前回,７街区管理施設棟今回
変更点,,,・循環ファンを停止,,・換気風量を低下・循環ファンを停止,,・換気風量を低下・循環ファンを停止,,・換気風量を低下・循環ファンを停止,,
給排気,運転期間,H28.11.17～H28.11.23,H29.4.12～H29.4.17,H28.11.18～H28.11.23,H29.4.5～H29.4.10,H28.11.18～H28.11.23,H29.4.5～H29.4.10,H28.11.18～H28.11.22,H29.4.5～H29.4.10,H28.11.17～H28.11.23,
給排気,換気方法,給気：２か所（機械）,給気：２か所（機械）,給気：２か所（自然）,給気：２か所（自然）,給気：１か所（自然）,給気：１か所（自然）,給気：２か所（自然）,給気：２か所（自然）,既設換気設備,
給排気,換気方法,排気：１か所（機械）,排気：１か所（機械）,排気：１か所（機械）,排気：１か所（機械）,排気：１か所（機械）,排気：１か所（機械）,排気：１か所（機械）,排気：１か所（機械,既設換気設備,
給排気,給気ファン（ｍ３／ｍｉｎ）,60,60,無,無,無,無,無,無,300,
給排気,給気ファン（台）,2,2,無,無,無,無,無,無,1,
給排気,排気ファン（ｍ３／ｍｉｎ）,150,150,320,320,320,26,110,110,300,
給排気,排気ファン（台）,1,1,4,1,1,1,4,2,1,
給排気,排気ファン備考,活性炭処理あり,活性炭処理あり,,,,,,,,
循環,循環ファン,有,無,有,無,有,無,有,無,無,
換気回数（単純計算）,（１日・回換気）,1.6,1.6,9.4,2.4,32.0,2.6,4.2,2.1,34.2,
換気回数（ロスを考慮）,（１日・回換気）,1.1,1.1,4.7,1.2,15.9,1.3,2.1,1.1,34.2,
