調査期間,施設外３１５下（１）,施設外３１５下（２）,施設外３１５下（３）,施設外３１５下（４）,施設外３１５下（５）,施設外３１５下（６）
１０月３１日（月）～１１月１日（火）,0.034,0.048,0.033,0.026,0.067,0.037
１１月７日（月）～１１月８日（火）,0.041,0.042,0.034,0.037,0.050,0.029
１１月２７日（月）～１１月２８日（火）,0.040,0.098,0.027,0.047,0.045,0.025
１２月５日（月）～１２月６日（火）,0.039,0.060,0.028,0.040,0.040,0.022
１２月１２日（月）～１２月１３日（火）,0.030,0.034,0.022,0.031,0.030,0.018
１２月２６日（月）～１２月２７日（火）,0.027,0.051,0.021,0.018,0.032,0.013
１月５日（木）～１月６日（金）,0.023,0.032,0.017,0.021,0.022,0.013
１月１２日（木）～１月１３日（金）,0.021,0.033,0.018,0.028,0.020,0.011
１月１９日（木）～１月２０日（金）,0.020,0.027,0.015,不検出,0.015,不検出
１月２６日（木）～１月２７日（金）,0.019,0.024,0.015,0.022,0.015,0.011
２月２日（木）～２月３日（金）,0.023,0.023,0.015,0.021,0.014,0.012
２月９日（木）～２月１０日（金）,0.016,0.021,0.016,0.022,0.011,0.008
２月１６日（木）～２月１７日（金）,0.016,0.021,0.016,0.022,0.009,0.010
２月２３日（木）～２月２４日（金）,0.024,0.017,0.016,0.027,0.011,0.012
３月２日（木）～３月３日（金）,0.021,0.025,0.015,0.024,0.010,0.011
３月９日（木）～３月１０日（金）,0.031,0.023,0.015,0.025,0.009,0.009
３月１６日（木）～３月１７日（金）,0.028,0.018,0.015,0.025,0.011,0.011
３月２３日（木）～３月２４日（金）,0.030,0.023,0.017,0.028,0.011,0.010
３月３０日（木）～３月３１日（金）,0.047,0.038,0.018,0.036,0.011,0.010
４月６日（木）～４月７日（金）,0.110,0.025,0.018,0.030,0.016,0.010
４月１３日（木）～４月１４日（金）,0.066,0.051,0.021,0.039,0.027,0.013
