調査期間,施設内連絡通路（１）,施設内連絡通路（２）,施設内連絡通路（３）,施設内連絡通路（４）
１０月３１日（月）～１１月１日（火）,0.0012,0.0013,0.0013,0.0013
１１月７日（月）～１１月８日（火）,0.0007,0.0007,0.0007,0.0008
１１月２７日（月）～１１月２８日（火）,0.0013,0.0013,0.0013,0.0013
１２月５日（月）～１２月６日（火）,0.0014,0.0016,0.0016,0.0014
１２月１２日（月）～１２月１３日（火）,0.0019,0.0017,0.0016,0.0017
１２月２６日（月）～１２月２７日（火）,0.0017,0.0017,0.0016,0.0016
１月５日（木）～１月６日（金）,0.0009,0.0010,0.0010,0.0008
１月１２日（木）～１月１３日（金）,0.0011,0.0013,0.0011,0.0012
１月１９日（木）～１月２０日（金）,0.0013,0.0013,0.0013,0.0013
１月２６日（木）～１月２７日（金）,0.0013,0.0013,0.0013,0.0013
２月２日（木）～２月３日（金）,0.0008,0.0008,0.0007,0.0007
２月９日（木）～２月１０日（金）,0.0011,0.0010,0.0010,0.0009
２月１６日（木）～２月１７日（金）,0.0015,0.0016,0.0015,0.0015
２月２３日（木）～２月２４日（金）,0.0010,0.0010,0.0010,0.0010
３月２日（木）～３月３日（金）,0.0015,0.0015,0.0015,0.0015
３月９日（木）～３月１０日（金）,0.0014,0.0015,0.0015,0.0014
３月１６日（木）～３月１７日（金）,0.0010,0.0009,0.0010,0.0010
３月２３日（木）～３月２４日（金）,0.0009,0.0009,0.0009,0.0009
３月３０日（木）～３月３１日（金）,0.0014,0.0014,0.0014,0.0015
４月６日（木）～４月７日（金）,0.0011,0.0012,0.0011,0.0011
４月１３日（木）～４月１４日（金）,0.0011,0.0011,0.0011,0.0011
