"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","本人について","Q2. あなたの年齢はおいくつですか。（○は１つ）","65～69歳","317","15.3","15.4"
"202003","本人について","Q2. あなたの年齢はおいくつですか。（○は１つ）","70～74歳","327","15.8","15.9"
"202003","本人について","Q2. あなたの年齢はおいくつですか。（○は１つ）","75～79歳","483","23.3","23.5"
"202003","本人について","Q2. あなたの年齢はおいくつですか。（○は１つ）","80～84歳","412","19.9","20.0"
"202003","本人について","Q2. あなたの年齢はおいくつですか。（○は１つ）","85～89歳","354","17.1","17.2"
"202003","本人について","Q2. あなたの年齢はおいくつですか。（○は１つ）","90～94歳","126","6.1","6.1"
"202003","本人について","Q2. あなたの年齢はおいくつですか。（○は１つ）","95歳以上","40","1.9","1.9"
"202003","本人について","Q2. あなたの年齢はおいくつですか。（○は１つ）","無回答","10","0.5",

"港区保健福祉基礎調査（高齢者）・単純集計表・本人についてQ2","Ver202003",,,,,
