"年月[西暦]","調査項目","設問","政策目標","調査回答者の属性種別","調査回答者の属性","調査数[人]","強くそう思う[人]","どちらかといえばそう思う[人]","あまりそう思わない[人]","全くそう思わない[人]","無回答[人]"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(16)商店街に活気がある","全体",,"658","59","189","298","96","16"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(16)商店街に活気がある","性・年代別","男性（計）","248","25","79","99","41","4"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(16)商店街に活気がある","性・年代別","男性 18～29歳","23","4","7","9","3","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(16)商店街に活気がある","性・年代別","男性 30～39歳","35","5","13","11","6","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(16)商店街に活気がある","性・年代別","男性 40～49歳","41","3","15","20","3","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(16)商店街に活気がある","性・年代別","男性 50～59歳","49","6","13","20","9","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(16)商店街に活気がある","性・年代別","男性 60～69歳","39","2","8","18","11","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(16)商店街に活気がある","性・年代別","男性 70歳以上","60","5","22","21","9","3"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(16)商店街に活気がある","性・年代別","男性 無回答","1","0","1","0","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(16)商店街に活気がある","性・年代別","女性（計）","400","33","108","193","55","11"
