"年度","区分","視覚障害 18歳未満[人]","視覚障害 18歳以上[人]","聴覚・平衡機能障害 18歳未満[人]","聴覚・平衡機能障害 18歳以上[人]","音声・言語そしゃく機能障害 18歳未満[人]","音声・言語そしゃく機能障害 18歳以上[人]","肢体不自由 18歳未満[人]","肢体不自由 18歳以上[人]","心臓機能障害 18歳未満[人]","心臓機能障害 18歳以上[人]","じん臓機能障害 18歳未満[人]","じん臓機能障害 18歳以上[人]","呼吸器機能障害 18歳未満[人]","呼吸器機能障害 18歳以上[人]","ぼうこう直腸機能障害(小腸含む) 18歳未満[人]","ぼうこう直腸機能障害(小腸含む) 18歳以上[人]","免疫機能障害 18歳未満[人]","免疫機能障害 18歳以上[人]","肝臓機能障害 18歳未満[人]","肝臓機能障害 18歳以上[人]","18歳未満 合計[人]","18歳以上 合計[人]","合計[人]"
"2016","合計","3","344","19","354","2","62","91","2530","14","795","0","442","5","67","5","239","0","153","1","17","140","5003","5143"
"2017","合計","5","338","21","356","1","56","91","2451","11","809","0","461","6","73","5","231","0","163","0","18","140","4956","5096"
"2018","合計","6","320","22","362","1","60","85","2444","15","829","1","470","7","67","5","238","0","176","1","16","143","4982","5125"
"2019","合計","5","331","23","366","2","61","65","2391","12","853","2","461","8","70","7","250","0","184","0","19","124","4986","5110"
"2020","１級","3","76","0","0","0","0","23","226","10","626","1","463","5","12","2","3","0","20","0","15","44","1441","1485"
"2020","２級","2","123","9","97","0","0","39","489","0","0","0","0","0","0","0","0","0","71","0","1","50","781","831"
"2020","３級","1","22","4","42","0","40","18","613","1","102","0","6","0","31","3","16","0","49","0","0","27","921","948"
"2020","４級","0","18","1","110","1","18","3","625","4","117","0","6","1","19","0","221","0","45","0","0","10","1179","1189"
"2020","５級","3","68","0","4","0","0","4","220","0","0","0","0","0","0","0","0","0","0","0","0","7","292","299"
"2020","６級","0","15","9","111","0","0","4","141","0","0","0","0","0","0","0","0","0","0","0","0","13","267","280"
"2020","合計","9","322","23","364","1","58","91","2314","15","845","1","475","6","62","5","240","0","185","0","16","151","4881","5032"

"令和3年度港区行政資料集　身体障害者手帳所持者数","Ver202103",,,,,,,,,,,,,,,,,,,,,,,
