通番,名称,郵便番号,住所,電話番号,緯度,経度
1,大田区役所本庁舎,〒144-8621,東京都大田区蒲田5-13-14,03-5744-1111,35.561326,139.716082
2,大森地域庁舎,〒143-0015,東京都大田区大森西1-12-1,03-5764-0654,35.578144,139.722965
3,調布地域庁舎,〒145-0067,東京都大田区雪谷大塚町4-6,03-3726-4140,35.593062,139.680706
4,蒲田地域庁舎,〒144-0053,東京都大田区蒲田本町2-1-1,03-5713-1505,35.558535,139.718592
5,糀谷・羽田地域庁舎,〒144-0033,東京都大田区東糀谷1-21-15,03-3741-6646,35.557349,139.739669
6,大森東特別出張所,〒143-0013,東京都大田区大森南4-9-1,03-3741-8801,35.566933,139.7459
7,大森西特別出張所,〒143-0015,東京都大田区大森西2-16-2,03-3764-6321,35.576557,139.730251
8,入新井特別出張所,〒143-0016,東京都大田区大森北1-10-14,03-3761-5303,35.586449,139.728206
9,馬込特別出張所,〒143-0027,東京都大田区中馬込3-25-5,03-3774-3301,35.593962,139.709813
10,池上特別出張所,〒146-0082,東京都大田区池上1-29-6,03-3752-3441,35.575115,139.710296
11,新井宿特別出張所,〒143-0024,東京都大田区中央1-21-6,03-3776-5391,35.579697,139.719709
12,嶺町特別出張所,〒145-0072,東京都大田区田園調布本町7-1,03-3722-3111,35.587911,139.67735
13,田園調布特別出張所,〒145-0071,東京都大田区田園調布1-30-1,03-3721-4261,35.588316,139.67094
14,鵜の木特別出張所,〒146-0084,東京都大田区南久が原2-30-5,03-3750-4241,35.574934,139.685171
15,久が原特別出張所,〒146-0085,東京都大田区久が原4-12-10,03-3752-4271,35.580307,139.693975
16,雪谷特別出張所,〒145-0065,東京都大田区東雪谷3-6-2,03-3729-5117,35.594554,139.691156
17,千束特別出張所,〒145-0063,東京都大田区南千束2-16-19,03-3726-4441,35.604988,139.689441
18,六郷特別出張所,〒144-0055,東京都大田区仲六郷2-44-11,03-3732-4885,35.550903,139.716084
19,矢口特別出張所,〒146-0093,東京都大田区矢口2-21-14,03-3759-4686,35.562124,139.690283
20,蒲田西特別出張所,〒144-0051,東京都大田区西蒲田7-12-2 1階,03-3732-4785,35.564472,139.710686
21,蒲田東特別出張所,〒144-0053,東京都大田区蒲田本町2-1-1,03-5713-2001,35.558535,139.718592
22,糀谷特別出張所,〒144-0034,東京都大田区西糀谷2-14-13,03-3742-4451,35.55873,139.73676
23,羽田特別出張所,〒144-0043,東京都大田区羽田1-18-13,03-3742-1411,35.549143,139.741826
24,産業プラザ庁舎,〒144-0035,東京都大田区南蒲田1-20-20 　大田区産業プラザ・PiO　2階・4階,03-5744-1363,35.558816,139.724118
25,教育委員会,〒144-8623,東京都大田区蒲田5-37-1 ニッセイアロマスクエア5階,03-5744-1422,35.560931,139.718186
26,本庁舎分室（公園課）,〒144-0047,東京都大田区萩中3-26-46 萩中公園プール2階,03-6715-1824,35.550095,139.736587
