通番,名称,郵便番号,住所,電話番号,緯度,経度
1,大田図書館,〒145-0076,大田区田園調布南25番1号,03-3758-3051,35.581606,139.676125
2,大森南図書館,〒143-0013,大田区大森南一丁目17番7号,03-3744-8411,35.563429,139.739788
3,大森東図書館,〒143-0012,大田区大森東一丁目31番3号-104,03-3763-9681,35.57617,139.739109
4,大森西図書館,〒143-0015,大田区大森西五丁目2番13号,03-3763-1191,35.571869,139.72604
5,入新井図書館,〒143-0016,大田区大森北一丁目10番14号（大森複合施設ビル（Luz大森）内）,03-3763-3633,35.586349,139.72822
6,馬込図書館,〒143-0027,大田区中馬込二丁目26番10号,03-3775-5401,35.595677,139.71042
7,池上図書館,〒146-0082,大田区池上六丁目3番10号　エトモ池上4階,03-3752-3341,35.574768,139.703243
8,久が原図書館,〒146-0085,大田区久が原二丁目28番4号,03-3753-3343,35.579334,139.695276
9,洗足池図書館,〒145-0063,大田区南千束二丁目2番10号,03-3726-0401,35.600792,139.69193
10,浜竹図書館,〒144-0034,大田区西糀谷三丁目32番7号,03-3741-1185,35.553368,139.737368
11,羽田図書館,〒144-0043,大田区羽田一丁目11番1号,03-3745-3221,35.55041,139.74348
12,六郷図書館,〒144-0045,大田区南六郷三丁目10番3号,03-3732-4445,35.543921,139.71401
13,下丸子図書館,〒146-0092,大田区下丸子二丁目18番11号,03-3759-2454,35.565849,139.688037
14,多摩川図書館,〒146-0095,大田区多摩川二丁目24番63号,03-3756-1251,35.556123,139.702316
15,蒲田図書館,〒144-0031,大田区東蒲田一丁目19番22号,03-3738-2459,35.563686,139.728443
16,蒲田駅前図書館,〒144-0052,大田区蒲田五丁目13番26-301号,03-3736-0131,35.559837,139.715496
