サービス名,問い合わせ先名称,問い合わせ先電話番号,問い合わせ先FAX番号,サービス詳細webサイト,掲載順,目次,大分類,中分類,小分類,サービス備考,問い合わせ先備考,標準地域コード
区民相談,区政情報センター,03-5273-4585,03-5272-5500,https://www.city.shinjuku.lg.jp/kusei/kjctop.html,1,相談,生活一般の相談,一般,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
法律相談・交通事故相談,区政情報課広聴係,03-5273-4065,03-5272-5500,https://www.city.shinjuku.lg.jp/kusei/kocho01_000109.html,2,相談,生活一般の相談,一般,"",※要予約,"",http://statdb.nstac.go.jp/lod/sac/C13104
行政相談,区政情報課広聴係,03-5273-4065,03-5272-5500,"",3,相談,生活一般の相談,一般,"",国の行政全般に関する相談,"",http://statdb.nstac.go.jp/lod/sac/C13104
人権・身の上相談,総務課総務係,03-5273-3505,03-3209-9947,https://www.city.shinjuku.lg.jp/kusei/soumu01_000107.html,4,相談,生活一般の相談,一般,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
公益通報相談,総務課総務係,03-5273-3505,03-3209-9947,https://www.city.shinjuku.lg.jp/kusei/file20_00001.html,5,相談,生活一般の相談,一般,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
悩みごと相談室,男女共同参画推進センター「ウィズ新宿」,03-3341-0801,03-3341-0740,https://www.city.shinjuku.lg.jp/kusei/file12_01_00008.html,6,相談,生活一般の相談,一般,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
DV相談,DV相談ダイヤル 新宿区配偶者暴力相談支援センター,03-5273-2670,03-5273-2722,https://www.city.shinjuku.lg.jp/kusei/danjo01_009990.html,7,相談,生活一般の相談,一般,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
仕事と家計に関する相談,生活支援相談窓口,03-5273-3853,03-3209-0278,https://www.city.shinjuku.lg.jp/fukushi/fukushi01_002056.html,8,相談,生活一般の相談,一般,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
日本司法支援センター（法テラス）,法テラス東京,0570-078-301,"","",9,相談,生活一般の相談,一般,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
日本司法支援センター（法テラス）,法テラス東京（IP電話の場合）,050-3383-5300,"","",10,相談,生活一般の相談,一般,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
東京簡易裁判所新宿出張調停,東京弁護士会,03-3581-2207,"","",11,相談,生活一般の相談,一般,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
東京簡易裁判所新宿出張調停,第一東京弁護士会,03-3595-8583,"","",12,相談,生活一般の相談,一般,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
東京簡易裁判所新宿出張調停,第二東京弁護士会,03-3581-2250,"","",13,相談,生活一般の相談,一般,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
行政書士による行政手続・法務相談（無料）,東京都行政書士会 新宿支部,0120-91-7485,"","",14,相談,生活一般の相談,一般,"","※予約不要
※会場によって日時が異なります。
※落合第一を除き、特別出張所が休日その他の理由で使用できない場合は、実施いたしません。",http://shinjuku-gyosei.jp/,http://statdb.nstac.go.jp/lod/sac/C13104
子育て相談（電話相談）,保育指導課支援係,03-5273-4318,03-3209-2795,https://www.city.shinjuku.lg.jp/kodomo/file04_07_00032.html,15,相談,生活一般の相談,子ども・青少年,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
子どもと家庭の総合相談,子ども総合センター,03-3232-0675,03-3232-0666,https://www.city.shinjuku.lg.jp/kodomo/file03_06_00001.html,16,相談,生活一般の相談,子ども・青少年,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
子どもの発達相談・サービス利用相談,子ども総合センター 発達支援コーナー,03-3232-0679,03-3232-0666,https://www.city.shinjuku.lg.jp/kodomo/ayumi01_000002.html,17,相談,生活一般の相談,子ども・青少年,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
子ども家庭相談,地域子育て支援センター二葉,03-5363-2170,"",https://www.city.shinjuku.lg.jp/kodomo/kodomos01_000005.html,18,相談,生活一般の相談,子ども・青少年,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
子ども家庭相談,地域子育て支援センター原町みゆき,03-3356-2663,"",https://www.city.shinjuku.lg.jp/kodomo/file03_02_00028.html,19,相談,生活一般の相談,子ども・青少年,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
子ども家庭相談,ゆったりーの,03-5228-4377,"","",20,相談,生活一般の相談,子ども・青少年,"","",http://www.yuttarino.org/,http://statdb.nstac.go.jp/lod/sac/C13104
子ども家庭相談,各児童館,"","",https://www.city.shinjuku.lg.jp/kodomo/kodomos01_000008_01.html,21,相談,生活一般の相談,子ども・青少年,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
子どもの教育相談,教育センター教育相談室,03-3232-3071,03-3232-2710,https://www.city.shinjuku.lg.jp/kodomo/kyoshido01_000101.html,22,相談,生活一般の相談,子ども・青少年,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
新宿子どもほっとライン,教育センター教育相談室,03-3232-3071,03-3232-2710,https://www.city.shinjuku.lg.jp/kodomo/file04_06_00001.html,23,相談,生活一般の相談,子ども・青少年,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
乳幼児の健康相談・育児相談,各保健センター,"","",https://www.city.shinjuku.lg.jp/soshiki/ushigome-h01_001005.html,24,相談,生活一般の相談,子ども・青少年,"","",http://www.city.shinjuku.lg.jp/soshiki/hc_index.html,http://statdb.nstac.go.jp/lod/sac/C13104
子ども相談（児童相談）,東京都児童相談センター,03-5937-2317,03-3366-6036,"",25,相談,生活一般の相談,子ども・青少年,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
子ども相談（児童相談）,夜間・休日緊急連絡 全国共通3桁ダイヤル,189,"","",26,相談,生活一般の相談,子ども・青少年,"","",（いちはやく）,http://statdb.nstac.go.jp/lod/sac/C13104
ヤング・テレホン・コーナー,ヤング・テレホン・コーナー（警視庁少年相談室）,03-3580-4970,"","",27,相談,生活一般の相談,子ども・青少年,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
外国人相談窓口,多文化共生推進課多文化共生推進係,03-5273-3504,03-3209-7455,https://www.city.shinjuku.lg.jp/tabunka/tabunka01_002042.html,28,相談,生活一般の相談,外国人,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
外国人相談コーナー,しんじゅく多文化共生プラザ,03-5291-5171,03-5291-5172,https://www.city.shinjuku.lg.jp/tabunka/tabunka01_002042.html,29,相談,生活一般の相談,外国人,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
外国人総合相談支援センター,外国人総合相談支援センター,03-3202-5535,03-5155-4039,https://www.foreign.city.shinjuku.lg.jp/jp/kurashi/sogosodanshiensenta/,30,相談,生活一般の相談,外国人,"","",http://www.immi-moj.go.jp/info/,http://statdb.nstac.go.jp/lod/sac/C13104
