名称,名称(英語),カテゴリ,ジャンル,所在地,持ち主,認定1,認定日1,認定2,認定日2,緯度,経度,説明(日本語),説明(英語),画像URL,サムネイル画像URL,ホームページアドレス
市谷亀岡八幡宮の銅鳥居,"",指定有形文化財,建造物,東京都新宿区市谷八幡町15,市谷亀岡八幡宮　,"",1987-01-30,"","",35.69249,139.73428,"区内でも数少ない銅造鳥居で、形態は明神型鳥居である。台座は石造で八角形の基盤の上に下部（八角形）、上部（円形）の二段構造をとる。額は銅製で「八幡宮」の3文字は姫路藩主酒井雅楽頭忠道の筆によるもので、「八」の字は神の使いである一対の鳩が向かい合う姿で表されている。
左右の柱には、発願者・造立者・鋳物師の氏名や年紀が刻まれている。それによるとこの鳥居は、寛政7年（1795）市谷亀岡八幡宮の別当寺であった東圓寺の第七世住職智光の発願により造立が計画され、文化元年（1804）12月に当時の東圓寺住職仁龍が、萬屋勘右衛門ほか6名の協力を得て造立したものであることがわかる。
鋳工は神田鍛冶町の鋳物師・西村和泉藤原政平で、あわせて5名の職人の名が刻まれている。","","","",""
早稲田大学 坪内博士記念演劇博物館,"",指定有形文化財,建造物,東京都新宿区西早稲田一丁目6,早稲田大学,"",1987-03-12,"","",35.70923,139.71909,"小説家・劇作家坪内逍遙（1859〜1935）の古稀と『シェ―クスピア全集』の完訳を祝って、文学界・演劇界の有志約1500名の協賛により建設された演劇専門の博物館で、昭和3年（1928）2月1日に着工、同年10月27日に竣工した。設計は早稲田大学名誉教授今井兼次で、逍遙自身のアイディアも盛り込まれているという。
全体の意匠は、ルネッサンス初期エリザベス朝（16世紀後半）の様式で、シェークスピア時代の劇場フォーチュン座を模したものである。内部は、逍遙記念室のほか展示室・図書閲覧室・書庫があり、原始芸能から伎楽・舞楽、能・狂言、歌舞伎、浄瑠璃、新派・新劇など日本の演劇史をたどる多数の資料が展示されている。また外部は、建物正面が舞台になっており、2 階廊下を上舞台、両翼を桟敷席、前庭を一般席として実際に演劇の上演ができるようになっている。
なお、平成9年（1997）6月〜平成10年（1998）10月に内部の改修を、平成25年（2013）8月〜10月に外装の改修工事を、令和元年（2019）9月に館内エレベーター、令和2年（2020）3月に自動ドア・だれでもトイレの新設工事を実施している。 ","","","",""
浄栄寺の山門「甘露門」,"",指定有形文化財,建造物,東京都新宿区市谷薬王寺町27,浄栄寺,"",2012-05-02,"","",35.697178,139.724597,"浄栄寺は市谷薬王寺町に所在する浄土真宗の寺院で、江戸城外堀普請に伴い当地に移転した。
 現存する浄栄寺の山門「甘露門」は、扁額に安永7年（1778）の年紀が記されていることや、建築装飾の編年から、江戸時代後期に建築されたと推定される。これは正面一間の薬医門で、切妻造・桟瓦葺・二軒の構造となっている。柱や梁の材が太く、屋根は大振りで、重厚な門構えをしている。女梁や笈形には彫物があるが、全体的に過剰な装飾はなく、江戸時代中・後期の建築意匠の一般的な特徴をもっている。
 「甘露門」という名称は、山門の扁額に書かれてあるもの。浄栄寺と縁の深い江戸時代後期の文人大田南畝（1749〜1823）は、この寺を「甘露門」と称して、度々会合を催していた。山門は、浄栄寺を象徴するものとして、文人の間に知られていたといえる。
 区内では江戸時代の寺社建築遺構は希少であり、かつ浄栄寺が文人のサロンとしても機能したという点からも、同寺を象徴する山門「甘露門」は、歴史的・文化的に重要な建造物である。","","","",""
幸国寺の山門,"",指定有形文化財,建造物,東京都新宿区原町2-20,幸国寺,"",2012-05-02,"","",35.700149,139.72423,"正面一間の棟門（腕木門）で、切妻造・桟瓦葺・一と軒の構造となっている。背面には控柱が建ち、主柱と貫でつながれている。片番所と袖壁もついている。このような建築形式や建築様式から江戸時代後期の建築であると推定される。屋根や控柱は新材に切り替えられているが、軸部には当初材と考えられるケヤキが使われている。全体的に雄大で素朴な作りをしており、装飾的な要素はほとんど見られない。一方、番所には杉が用いられ、繊細な彫物で装飾されている。
 また、この山門は幕末・明治期に檀家の長嶋三郎兵衛の寄付で移築されるが、長嶋家では大名家の門を移築したと伝えられている。このような伝承も含めて、区内でも希少な江戸時代の寺社建築として、歴史的に貴重な建造物といえる。


","","","",""
中井御霊神社の本殿・幣殿・拝殿,"",指定有形文化財,建造物,東京都新宿区中井2-29-16,中井御霊神社,"",2013-03-07,"","",35.716277,139.680002,"区内でも数少ない江戸時代及び明治時代の神社建築。中井御霊神社の本殿・幣殿・拝殿からなる複合社殿で、いわゆる権現造りの形式である。
本殿は、文化7年以前、棟札の記録によると享保3 年（1718）を下らない時期の建造で、三間社流造り、銅板葺きの造りである。江戸時代の農村にある鎮守社の本殿として、全体的に簡素な佇まいを見せている。拝殿は、古文書の記録より明治29年（1896）以前の建造であることがわかっている。正面三間・側面三間、入母屋造り、銅板葺きの構造。建築彫刻が興隆する時期にふさわしく、技巧的な彫り物が多数用いられている。幣殿は記録等が現存しないが、大正時代の建造であると伝えられている。
明治時代には社殿全体を曳家するなど、多くの改修・改変を経ているが、保存状態は概ね良好で、総じて質の高い遺構と認められる。簡素な佇まいの社殿と神社の森の面影をとどめる境内など、江戸の近郊農村の鎮守社としての歴史的景観を今に伝える貴重な建造物である。","","","",""
亮朝院本堂,"",指定有形文化財,建造物,東京都新宿区西早稲田3-16-24,亮朝院,"",2015-02-06,"","",35.712031,139.71366,"亮朝院の本堂で、内陣には日蓮上人像を中心とした立体曼荼羅を安置する。木造、正面五間、側面五間、寄棟造り、本瓦葺きの建物で、嘉永3年（1850）に建築された。屋根などを中心に後代の改修や改変が多く見られるものの、全体として当初の状態がよく維持されている。内部は建具を入れれば細かく仕切ることができ、修行僧が籠る場として使用されたものと推定され、修行道場としての本堂という性格も持っている。平成6年〜8年（1994〜1996）にかけて耐震補強等を目的とした改修工事が行われた。
区内では希少な江戸時代の寺院建築であり、改修・改変を経ているが、保存状態は概ね良好で、総じて質の高い建造物と認められる。亮朝院境内は『江戸名所図会』の挿絵にも描かれており、本建築も当時の境内のあり様を知ることができる建造物として貴重である。
本堂の改修・改変は、徳川将軍家の祈祷寺であった亮朝院が、明治以降は一般檀徒の葬祭を中心とした寺院に変貌していったことによるものと考えられ、既に新宿区指定文化財となっている「亮朝院文書」とともに、一寺院の歴史的変遷が文化財に現れた事例であり、地域史・建築史・宗教史上重要な建造物である。","","","",""
亮朝院七面堂,"",指定有形文化財,建造物,東京都新宿区西早稲田3-16-24,亮朝院,"",2015-02-06,"","",35.712109,139.713789,"亮朝院の七面堂で、内陣には七面明神像(日蓮宗で法華経を守護する天女)等を祀る。木造、正面五間、側面五間、入母屋造り、銅板葺きの建物で、天保5年（1834）に建築された。「亮朝院文書」の境内図や『江戸名所図会』の挿絵から、当初は拝殿・幣殿・本殿の三棟からなる権現造りであったことがわかる。明治時代の境内図では幣殿・本殿が無くなり、拝殿を七面堂と称していることから、幕末頃に現在の七面堂の形になったと推定される。縁側や屋根などに後代の改修や改変が多く見られるものの、概ね当初の状態がよく維持されている。平成6年〜8年（1994〜1996）にかけて耐震補強等を目的とした改修工事が行われた。
 区内では希少な江戸時代の寺院建築であり、改修・改変を経ているが、保存状態は概ね良好で、総じて質の高い建造物と認められる。亮朝院境内は『江戸名所図会』の挿絵にも描かれており、本建築も当時の境内のあり様を知る上で重要な建造物である。亮朝院は江戸時代前期に徳川将軍家の七面信仰による祈祷寺として成立しており、七面堂は亮朝院の中心的な建物として重要な位置を占めてきた。幾多の改修・改変を経た本建築は、江戸の七面信仰の様相や変遷等を知ることができる貴重な資料であり、地域史・建築史・宗教史上重要な建造物である。","","","",""
永心寺本堂,"",指定有形文化財,建造物,東京都新宿区須賀町11,永心寺,"",2019-03-07,"","",35.683887,139.722476,"
本堂は享保11年（1726）の建立で、北を正面とする方丈型の平面形式をもつ。主要部分は、正面側三室、奥側三室からなる整形二列六室で構成され、これに式台玄関、背後に増築部が附属する。中央奥の部屋は本尊を安置する仏間であり、中央の大間との間仕切りは開放している。このような奥を内陣、手前を前室風の扱いとする諸室の平面構成は、奥行の深い礼拝空間を生み出している。右方の部屋は、奥に床の間を有する上奥の間、手前に上の間、左方は、奥に位牌段のある下奥の間、手前に下の間が並ぶ。左右とも居室的性格が強い。本堂は方丈型ではあるものの、一般的な方丈建築とは異なり客殿風である。
 補修については、明治9年（1876）、昭和24年（1949）、平成20年（2008）に修理をした記録があり、また関東大震災時には正面の柱を補修している。昭和57年（1982）頃に納屋と12畳間が増設された。さらに令和元年〜2年（2019〜20）には小屋裏と床下の耐震補強工事を行った。
 寛永11年（1634）から13年（1636）にかけて行われた江戸城外堀開削工事に伴い、麹町一帯から当地へ20数ヶ寺が移転し、四谷南寺町と呼ばれる寺町を形成した。永心寺も麹町より当地へ移転してきた寺院の一つである。区内では希少な江戸時代の寺院建築であり、度重なる改修・改変を経ているが、本堂の六部屋を中心とする主要部分は当初の姿をよく残存している。江戸時代に当地に形成された寺町の景観を伝える建造物として、また区内に現存する数少ない江戸中期の寺院建築として貴重である。","","","",""
永心寺山門,"",指定有形文化財,建造物,東京都新宿区須賀町11,永心寺,"",2019-03-07,"","",35.684173,139.722562,"永心寺の山門は、主柱二本、控柱二本からなる薬医門形式であり、切妻屋根を掛け両脇に二戸を有する。薬医門は近世の禅院の山門として最も一般的な形式である。山門に掛けられた扁額には慶応3年（1867）の年号が刻まれているものの山門の建設に伴うものであるかは不明である。山門の彫刻は元禄頃の様式と推定されるが、一部の彫刻は時代が下った18世紀中頃の様式も混在する。なお本堂と山門は建設に用いられている尺度が異なるため、建造時期は異なるものと推定される。平成19年（2007）にあく洗い工事を行っている。
 区内では希少な江戸時代の山門であり、保存状態は概ね良好である。薬医門としては規模、構造形式とも正規の様式を踏襲しており、享保11年（1726）建立の本堂と合わせて総じて質の高い建造物と認められる。区内にて震災や戦災による被害を大きく受けずに両者が揃って残っている点は貴重であり、江戸時代以来の寺町の景観を残す例として重要である。
","","","",""
筑土八幡神社の石造鳥居　,"",登録有形文化財,建造物,東京都新宿区筑土八幡町2-1,筑土八幡神社,"",1997-03-07,"","",35.70395,139.74054,"石造の明神型鳥居で、享保11年（1726）に造立された区内現存最古の鳥居である。通常の形態であるが、貫と柱を固定するクサビは見られず、台座は八角形である。額は木製で「筑土八幡神社」の6文字を刻む。年代は不明であるが、比較的新しいものと思われる。
 正面向かって左側の柱の背面に「奉寄進八幡宮石鳥居」と、また右側の柱の背面に年紀と奉納者名が刻まれており、それによるとこの鳥居は常陸国下館藩主（のちに上野国沼田藩主）黒田豊前守直邦（1666〜1735）が奉納したものであることがわかる。


","","","",""
