全国地方公共団体コード,ID,地方公共団体名,年,月,戸籍謄抄本等,住民票の写し,印鑑証明,婚姻,離婚,出生,死亡,転入,転出,備考
131164,,東京都豊島区,2022,04,11681,19751,6158,142,39,132,201,,,
131164,,東京都豊島区,2022,05,11731,17700,6126,181,39,142,204,,,
131164,,東京都豊島区,2022,06,12694,20477,6910,171,35,154,207,,,
131164,,東京都豊島区,2022,07,11207,19275,6092,201,34,175,195,,,
131164,,東京都豊島区,2022,08,12741,18467,5973,173,43,171,236,,,
131164,,東京都豊島区,2022,09,12409,18331,6224,145,39,166,196,,,
131164,,東京都豊島区,2022,10,12477,17034,5993,172,36,184,203,,,
131164,,東京都豊島区,2022,11,11838,18449,6131,257,40,173,219,,,
131164,,東京都豊島区,2022,12,12375,17265,5694,178,44,160,294,,,
131164,,東京都豊島区,2023,01,12242,17605,5856,152,34,143,257,,,
131164,,東京都豊島区,2023,02,12179,17957,6325,161,36,143,198,,,
131164,,東京都豊島区,2023,03,15997,23806,7215,247,68,128,224,,,
