分類/品目/銘柄/単位,2000年12月,2001年10月,2001年11月,2001年12月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ/10kg  (円),5590,5576,5552,5544,
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く/10kg  (円),4803,4825,4824,4794,
（穀類）/うるち米/国内産、精米、ブレンド米/10kg  (円),3963,3974,3963,4060,
（穀類）/うるち米/指定標準米、精米/10kg  (円),        -,        -,        -,        -,
（穀類）/うるち米/精米、外国産米100％/10kg  (円),3449,3594,3497,3572,
（穀類）/もち米/国内産、精米/1kg  (円),595,596,594,592,
（穀類）/食パン/普通品/1kg  (円),423,422,421,422,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g  (円),83,85,84,84,
（穀類）/ゆでうどん/普通品/1kg  (円),323,323,323,331,
（穀類）/干しうどん/普通品/1kg  (円),494,511,513,525,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋  (円),155,156,150,158,
（穀類）/スパゲッティ/輸入品、袋入り（450g入り）、「ブイトーニ」/1袋  (円),286,295,295,295,
（穀類）/即席中華めん/袋入り（95～105g入り）、5食入り/1パック  (円),84,355,358,347,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋  (円),257,262,253,261,
（穀類）/小麦粉/薄力粉、1等粉/1kg  (円),197,192,192,196,
（穀類）/もち/包装生もち/1kg  (円),1074,1098,1072,1101,
（魚介類）/まぐろ/めばち、切り身（刺身用）、赤身/100g  (円),475,407,411,408,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g  (円),117,117,117,129,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g  (円),90,96,107,101,
（魚介類）/かつお/切り身（刺身用）/100g  (円),        -,242,        -,        -,
（魚介類）/かれい/まがれい、丸（長さ約25～35cm）/100g  (円),185,251,210,188,
（魚介類）/さけ/キングサーモン（塩さけ除く）、切り身/100g  (円),245,233,220,205,
（魚介類）/さば/丸（長さ約25～35cm）/100g  (円),125,122,122,117,
（魚介類）/さんま/丸（長さ約25cm以上）/100g  (円),107,84,96,93,
（魚介類）/たら/まだら、切り身（甘塩）/100g  (円),186,185,174,185,
（魚介類）/たい/まだい、丸（長さ約20cm以上）/100g  (円),255,271,280,285,
（魚介類）/ぶり/切り身/100g  (円),303,270,272,265,
（魚介類）/いか/するめいか/100g  (円),78,76,68,83,
（魚介類）/たこ/まだこ（ゆでもの）/100g  (円),229,221,220,222,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g  (円),331,322,313,312,
（魚介類）/あさり/殻付き/100g  (円),101,101,101,101,
（魚介類）/かき/まがき、むき身/100g  (円),306,302,298,295,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g  (円),207,203,203,203,
（魚介類）/塩さけ/切り身/100g  (円),252,239,239,237,
（魚介類）/たらこ/すけそうだらの子、並/100g  (円),587,691,675,678,
（魚介類）/しらす干し/並/100g  (円),379,381,380,375,
（魚介類）/干しあじ/まあじ、開き、並/100g  (円),174,188,189,185,
（魚介類）/丸干しいわし/まいわし（長さ約12cm）、並/100g  (円),126,129,131,133,
（魚介類）/煮干し/かたくちいわし、小羽（約6cm）、上/100g  (円),330,319,315,317,
（魚介類）/ししゃも/子持ちししゃも、パック入り（8～12匹入り）、並/100g  (円),180,182,177,178,
（魚介類）/さつま揚げ/並/100g  (円),105,103,103,100,
（魚介類）/ちくわ/焼ちくわ（冷凍ものを除く）、並/100g  (円),113,112,112,110,
（魚介類）/かまぼこ/小板付き、中/100g  (円),155,164,163,161,
（魚介類）/かつお節/かつおぶし削りぶし、パック入り（3g×5袋入り）、普通品/1パック  (円),177,170,174,181,
（魚介類）/いかくん製/リング状、袋入り/100g  (円),361,351,353,351,
（魚介類）/塩辛/いかの塩辛、並/100g  (円),220,221,223,222,
（魚介類）/魚みそ漬/さわら/100g  (円),244,229,261,264,
（魚介類）/あさりつくだ煮/並/100g  (円),343,359,351,362,
（魚介類）/さけ缶詰/水煮、イージーオープン缶（180g入り）/1缶  (円),339,331,338,335,
（魚介類）/まぐろ缶詰/油漬、きはだまぐろ、P4号缶（80g入り）/1缶  (円),142,142,150,143,
（肉類）/牛肉/ロース/100g  (円),741,772,801,771,
（肉類）/牛肉/肩肉/100g  (円),393,416,438,419,
（肉類）/牛肉/輸入品、チルド（冷蔵）、ロース（肩ロースは除く）/100g  (円),318,351,359,315,
（肉類）/豚肉/ロース/100g  (円),231,234,232,235,
（肉類）/豚肉/肩肉/100g  (円),155,162,161,157,
（肉類）/鶏肉/ブロイラー、もも肉/100g  (円),115,118,121,125,
（肉類）/羊肉/輸入品、ラム/100g  (円),123,128,128,128,
（肉類）/レバー/豚レバー/100g  (円),101,100,101,101,
（肉類）/ハム/プレスハム、JAS規格品・上級/100g  (円),221,229,229,229,
（肉類）/ハム/ロースハム、JAS規格品・標準/100g  (円),274,284,284,285,
（肉類）/ソーセージ/ウインナーソーセージ、袋入り、JAS・上級/100g  (円),191,186,189,189,
（肉類）/ベーコン/ベーコン、JAS規格品・標準/100g  (円),238,254,255,256,
（乳卵類）/牛乳/瓶詰（200ml）配達、瓶代を除く、月極め/1本  (円),96,97,97,97,
（乳卵類）/牛乳/紙容器入り（1000ml入り）、店頭売り/1本  (円),211,204,203,203,
（乳卵類）/粉ミルク/調整粉乳、缶入り（980g入り）/1缶  (円),2648,2636,2636,2636,
（乳卵類）/バター/カルトン入り（200g入り）/1箱  (円),321,325,324,328,
（乳卵類）/チーズ/プロセスチーズ、固形（6個、150g入り）/1箱  (円),261,291,288,277,
（乳卵類）/チーズ/輸入品、ナチュラルチーズ缶入り（125g入り）「ジェラール」/1缶  (円),515,492,495,508,
（乳卵類）/ヨーグルト/プレーンヨーグルトポリ容器（500g又は520g入り）/1個  (円),219,210,212,213,
（乳卵類）/鶏卵/1個約60g/1kg  (円),330,312,310,338,
（野菜・海草）/キャベツ/1kg  (円),236,187,121,134,
（野菜・海草）/ほうれんそう/1kg  (円),728,871,541,501,
（野菜・海草）/はくさい/山東菜を除く/1kg  (円),120,241,117,101,
（野菜・海草）/ねぎ/1kg  (円),410,526,479,472,
（野菜・海草）/レタス/玉レタス/1kg  (円),705,590,332,343,
（野菜・海草）/もやし/だいずもやしを除く/100g  (円),18,18,18,17,
（野菜・海草）/ブロッコリー/1kg  (円),523,698,563,477,
（野菜・海草）/アスパラガス/グリーンアスパラガス/100g  (円),154,133,118,128,
（野菜・海草）/かんしょ/１kg  (円),423,409,405,395,
（野菜・海草）/ばれいしょ/１kg  (円),268,264,258,253,
（野菜・海草）/さといも/こいも、土付き/１kg  (円),464,495,453,439,
（野菜・海草）/だいこん/１kg  (円),149,194,114,106,
（野菜・海草）/にんじん/１kg  (円),271,296,287,266,
（野菜・海草）/ごぼう/１kg  (円),635,676,626,635,
（野菜・海草）/たまねぎ/１kg  (円),208,206,199,198,
（野菜・海草）/かぶ/１kg  (円),294,399,265,232,
（野菜・海草）/れんこん/１kg  (円),602,603,566,560,
（野菜・海草）/ながいも/１kg  (円),641,690,699,679,
（野菜・海草）/えだまめ/１００g  (円),        -,        -,        -,        -,
（野菜・海草）/さやえんどう/１００ｇ  (円),234,316,220,204,
（野菜・海草）/さやいんげん/１００ｇ  (円),191,176,162,192,
（野菜・海草）/かぼちゃ/１kg  (円),376,292,389,426,
（野菜・海草）/きゅうり/１kg  (円),669,502,487,449,
（野菜・海草）/なす/１kg  (円),801,609,618,664,
（野菜・海草）/トマト/１kg  (円),717,595,576,577,
（野菜・海草）/ピーマン/１００ｇ  (円),81,62,59,56,
（野菜・海草）/生しいたけ/１００ｇ  (円),195,188,188,170,
（野菜・海草）/えのきだけ/１００ｇ  (円),92,73,73,71,
（野菜・海草）/しめじ/ぶなしめじ/１００ｇ  (円),121,104,102,101,
（野菜・海草）/あずき/大粒/１００ｇ  (円),153,163,162,158,
（野菜・海草）/だいず/黄白豆/１００ｇ  (円),114,118,115,115,
（野菜・海草）/干ししいたけ/薄葉、並/１００ｇ  (円),1218,1195,1195,1251,
（野菜・海草）/のり/焼きのり、中、１帖（１０枚入り）/１帖  (円),442,439,441,440,
（野菜・海草）/わかめ/養殖もの、塩蔵わかめ（湯通しもの）、並/１００ｇ  (円),157,149,149,147,
（野菜・海草）/こんぶ/とろろこんぶ、並/１００ｇ  (円),557,566,583,574,
（野菜・海草）/豆腐/絹ごしを除く/１００ｇ  (円),34,33,33,32,
（野菜・海草）/油揚げ/薄揚げ/１００ｇ  (円),152,155,153,153,
（野菜・海草）/納豆/糸ひき納豆/１００ｇ  (円),100,105,105,105,
（野菜・海草）/こんにゃく/板こんにゃく/１００ｇ  (円),50,49,50,49,
（野菜・海草）/梅干し/中粒、並/１００ｇ  (円),225,228,231,223,
（野菜・海草）/たくあん漬/本漬、中/１００ｇ  (円),103,97,96,97,
（野菜・海草）/福神漬/並（瓶詰、缶詰を除く）/１００ｇ  (円),98,98,99,100,
（野菜・海草）/こんぶつくだ煮/並/１００ｇ  (円),208,211,212,213,
（野菜・海草）/はくさい漬/塩漬/１００ｇ  (円),80,79,78,79,
（野菜・海草）/キムチ/はくさいキムチ（瓶詰を除く）/１００ｇ  (円),133,131,130,126,
