財務大臣指定寄附金一覧,,,,
項番,法人種類,法人名称,主たる事業所住所,
1,国立大学法人,お茶の水女子大学,文京区,大塚2-1-1
2,大学共同利用機関法人,自然科学研究機構,三鷹市,大沢２－２１－１
3,大学共同利用機関法人,情報・システム研究機構,立川市,緑町１０－３
4,国立大学法人,政策研究大学院大学,港区,六本木7-22-1
5,国立大学法人,電気通信大学,調布市,調布ヶ丘1-5-1
6,国立大学法人,東京医科歯科大学,文京区,湯島1-5-45
7,国立大学法人,東京外国語大学,府中市,朝日町3-11-1
8,国立大学法人,東京海洋大学,港区,港南4-5-7
9,国立大学法人,東京学芸大学,小金井市,貫井北町4-1-1
10,国立大学法人,東京藝術大学,台東区,上野公園12-8
11,国立大学法人,東京工業大学,目黒区,大岡山2-12-1
12,国立大学法人,東京大学,文京区,本郷7-3-1
13,公立大学法人,東京都公立大学法人,新宿区,西新宿2-3-1
14,国立大学法人,東京農工大学,府中市,晴見町3-8-1
15,大学共同利用機関法人,人間文化研究機構,立川市,緑町１０－３
16,国立大学法人,一橋大学,国立市,中2-1
