"年度[西暦]","区分","調定額[円]","収納額[円]","不納欠損額[円]","未収額[円]","収納率[%]"
"2018","現年分","8618742000","7160723000","4891000","1453129000","83.45"
"2018","滞納繰越分","2499964000","772823000","532596000","1194546000","31.33"
"2018","合計","11118706000","7933546000","537487000","2647675000","71.81"
"2019","現年分","8374494000","7082701000","6539000","1285254000","84.88"
"2019","滞納繰越分","2511634000","697107000","607370000","1207157000","27.79"
"2019","合計","10886128000","7779808000","613909000","2492411000","71.69"
"2020","現年分","7974021000","6885496000","3811000","1084714000","86.61"
"2020","滞納繰越分","2375122000","504900000","1014052000","856171000","21.39"
"2020","合計","10349143000","7390396000","1017863000","1940885000","71.68"
"2021","現年分","7749493000","6783720000","1774000","963998000","87.80"
"2021","滞納繰越分","1879713000","386493000","713298000","779921000","20.74"
"2021","合計","9629205000","7170214000","715073000","1743919000","74.77"
"2022","現年分","8027451000","6995774000","4589000","1027089000","87.42"
"2022","滞納繰越分","1689628000","372950000","654987000","661692000","22.22"
"2022","合計","9717079000","7368723000","659575000","1688781000","76.12"

"令和5年度港区行政資料集　国民健康保険料調定収納状況","Ver202303",,,,,
