"年度[西暦]","款","予算現額[千円]","収入済額[千円]"
"2016","介護保険料",,"3734316"
"2016","使用料及び手数料",,"1"
"2016","国庫支出金",,"2973336"
"2016","支払基金交付金",,"3854724"
"2016","都支出金",,"2088234"
"2016","財産収入",,"57"
"2016","寄附金",,"0"
"2016","繰入金",,"2397782"
"2016","繰越金",,"332717"
"2016","諸収入",,"26355"
"2016","特別区債",,
"2016","歳入合計",,"15407523"
"2017","介護保険料",,"3766851"
"2017","使用料及び手数料",,"4"
"2017","国庫支出金",,"3173568"
"2017","支払基金交付金",,"3964060"
"2017","都支出金",,"2154307"
"2017","財産収入",,"38"
"2017","寄附金",,"0"
"2017","繰入金",,"2490346"
"2017","繰越金",,"448757"
"2017","諸収入",,"19615"
"2017","特別区債",,
"2017","歳入合計",,"16017546"
"2018","介護保険料",,"4075701"
"2018","使用料及び手数料",,"6"
"2018","国庫支出金",,"3116566"
"2018","支払基金交付金",,"3873309"
"2018","都支出金",,"2151480"
"2018","財産収入",,"129"
"2018","寄附金",,"0"
"2018","繰入金",,"2534044"
"2018","繰越金",,"515659"
"2018","諸収入",,"86"
"2018","特別区債",,
"2018","歳入合計",,"16266980"
"2019","介護保険料","3917399","4070062"
"2019","使用料及び手数料","1","8"
"2019","国庫支出金","3335408","3143381"
"2019","支払基金交付金","4280252","3985603"
"2019","都支出金","2362677","2200792"
"2019","財産収入","129","107"
"2019","寄附金","1","0"
"2019","繰入金","3020299","2701490"
"2019","繰越金","474321","474321"
"2019","諸収入","75","1561"
"2019","特別区債",,
"2019","歳入合計","17390562","16577325"
"2020","介護保険料","4021493","4044399"
"2020","使用料及び手数料","1","2"
"2020","国庫支出金","3630326","3683300"
"2020","支払基金交付金","4646557","4109469"
"2020","都支出金","2585889","2339666"
"2020","財産収入","244","243"
"2020","寄附金","1","0"
"2020","繰入金","3448579","3036995"
"2020","繰越金","371347","371347"
"2020","諸収入","91","56"
"2020","特別区債",,
"2020","歳入合計","18704528","17585478"

"令和3年度港区行政資料集　介護保険会計歳入決算","Ver202103",,
