全国地方公共団体コード,ID,地方公共団体名,年,月,戸籍謄抄本等,住民票の写し,印鑑証明,婚姻,離婚,出生,死亡,転入,転出,備考
132187,AA0000000001,東京都福生市,2022,04,1011,3410,1260,18,7,21,60,330,297,
132187,AA0000000002,東京都福生市,2022,05,1054,2992,1132,23,8,28,45,300,200,
132187,AA0000000003,東京都福生市,2022,06,1131,3578,1295,25,8,25,54,295,191,
132187,AA0000000004,東京都福生市,2022,07,970,3331,1216,32,7,25,57,265,211,
132187,AA0000000005,東京都福生市,2022,08,1077,3042,1174,21,6,38,75,268,211,
132187,AA0000000006,東京都福生市,2022,09,1061,2987,1176,18,8,31,61,237,195,
132187,AA0000000007,東京都福生市,2022,10,1121,3070,1268,29,15,32,63,304,214,
132187,AA0000000008,東京都福生市,2022,11,1068,2874,1313,31,8,22,59,210,193,
132187,AA0000000009,東京都福生市,2022,12,1052,2685,1062,18,12,22,57,226,210,
132187,AA0000000010,東京都福生市,2023,01,1126,2996,1146,22,10,28,64,188,192,
132187,AA0000000011,東京都福生市,2023,02,1232,2989,1360,31,13,22,72,225,196,
132187,AA0000000012,東京都福生市,2023,03,1371,3813,1396,28,7,25,58,431,412,
