文書番号,受付年月日,設置年月日,建築物の名称,建築敷地　地名地番,用途地域,高さ（ｍ）,延べ面積（㎡）,着工予定,主要用途,,
49,R5.10.5,R5.9.29,（仮称）区立志村小学校・志村第四中学校小中一貫型学校,板橋区志村三丁目33番1号他12筆,第一種住居地域,26.00 ,"18,500.00 ",R6.11.1,学校,,
50,R5.10.17,R5.10.13,（仮称）北区立堀船中学校等複合施設,北区堀船二丁目23-1、23-3、13-28,第一種住居地域,23.00 ,"12,150.00 ",R6.10下旬,中学校、水泳場、集会場,,
51,R5.10.19,R5.10.16,（仮称）ヤマダデンキ竹ノ塚店　新築工事,足立区竹ノ塚五丁目17-1、17-21、17-25、17-26,近隣商業地域、商業地域,24.95 ,"29,026.81 ",R6.2.1,物品販売業を営む店舗,,
52,R5.10.26,R5.10.19,①第３TIATビル②空港利用者駐車場,大田区羽田空港二丁目の一部、二丁目1番の一部、2番、3番の一部、三丁目1番の一部、3番1から14まで、3番15の一部及び5番,準工業地域,46.49 ,"14,265.36 ",R7.1.7,空港施設,,
53,R5.11.8,R5.11.1,平和の森小学校校舎新築その他工事,中野区新井三丁目45番地の1の一部、44番地10、1151番地12、15、16-2、27-2,第一種住居地域,20.80 ,"13,247.91 ",R7.7.1,学校、児童福祉施設,,
54,R5.11.14,R5.11.6,（仮称）江戸川区南葛西５丁目計画　新築工事,江戸川区南葛西五丁目6番4外3筆,第一種住居地域,29.65 ,"12,479.02 ",R6.3.1,共同住宅,,
55,R5.11.15,R5.11.9,（仮称）西日暮里２丁目計画,荒川区西日暮里二丁目283番1他,準工業地域,39.20 ,"16,687.16 ",R6.2.1,共同住宅、飲食店,,
56,R5.11.16,R5.11.13,石神井公園駅南口西地区第一種市街地再開発事業　施設建築物　北街区,練馬区石神井町三丁目地内,商業地域,90.90 ,"30,133.75 ",R6.10.1,店舗、公益施設、共同住宅、駐車場、駐輪場,,
57,R5.11.17,R5.11.16,笹塚駅南口東地区開発計画,渋谷区笹塚一丁目50番1、17、18、19,商業地域,98.00 ,"77,395.40 ",R6.2上旬,共同住宅、事務所、物販店舗、飲食店、保育所、その他,,
58,R5.11.20,R5.11.16,（仮称）港区港南四丁目29番5計画,港区港南四丁目29番5,第一種住居地域,46.58 ,"20,970.14 ",R6.8.14,共同住宅,,
59,R5.11.27,R5.11.27,（仮称）江東区有明１丁目計画　新築工事（住宅棟）,江東区有明一丁目104番地4,準工業地域,44.90 ,"39,368.61 ",R6.3.29,共同住宅,,
60,R5.11.27,R5.11.27,（仮称）江東区有明１丁目計画　新築工事（商業棟）,江東区有明一丁目104番地4,準工業地域,19.90 ,"14,732.27 ",R6.3.29,商業施設,,
61,R5.11.29,R5.11.28,（仮称）本郷ハウスマンション建替事業,文京区本郷一丁目106番１,商業地域、近隣商業地域,68.97 ,"34,828.33 ",R8.4.1,共同住宅,,
62,R5.12.1,R5.11.30,花王すみだ事業場（仮称）新祐啓塾建設計画,墨田区文花二丁目1-11番地　他,準工業地域,24.20 ,"2,585.01 ",R6.2.1,事務所、飲食店,,
63,R5.12.6,R5.12.1,（仮称）東京海洋大学（品川キャンパス）国際混住寮　新築工事,港区港南四丁目29番1の一部,第一種住居地域,31.30 ,"12,117.04 ",R6.5.15,寄宿舎、共同住宅,,
64,R5.12.8,R5.12.1,（仮称）錦糸町太平計画新築工事,墨田区太平四丁目4番1、3、6、11、27、28、30、31、42、6番1～4,商業地域、準工業地域,59.98 ,"12,487.97 ",R6.5.14,共同住宅,,
65,R5.12.11,R5.12.8,板橋トラックターミナル新３・４・７号棟建設工事,板橋区高島平六丁目1-2、1-3、1-4、1-12、1-13、1-15、1-16,準工業地域,16.79 ,"23,897.44 ",R6.2.15,トラックターミナル,,
66,R5.12.13,R5.12.8,（仮称）乃木坂プロジェクト,港区南青山一丁目49番1他,近隣商業地域、第二種住居地域、商業地域,96.00 ,"16,400.00 ",R6.7.1,共同住宅、事務所,,
67,R5.12.13,R5.12.9,（仮称）アベニュー高輪前川ビル建替計画,港区高輪三丁目466番5、6、7,商業地域,42.31 ,"10,679.69 ",R6.4.1,事務所、店舗、駐車場,,
