月日（曜日）,予報日数,予報発令地域,予報発令時間,注意報日数,注意報発令地域,注意報発令時間,学校情報日数,学校情報提供地域,学校情報提供時間,オキシダント最高濃度時刻,オキシダント最高濃度測定局,オキシダント最高濃度濃度ppm,被害届出数（人）
5月25日（火）,,,,,,,1,区西部,14:20～16:20,14,練馬区石神井町,0.112,
5月25日（火）,,,,,,,1,区南部,14:20～16:20,14,世田谷区世田谷,0.107,
5月25日（火）,,,,,,,1,多摩北部,14:20～16:20,14,武蔵野市関前,0.112,
5月25日（火）,,,,,,,1,多摩中部,14:20～15:20,14,狛江市中和泉,0.111,
5月25日（火）,,,,,,,1,多摩南部,14:20～ 16:20,14,多摩市愛宕,0.104,
6月8日（火）,,,,,,,2,区東部,14:20～15:20,14,江戸川区鹿骨,0.106,
6月8日（火）,,,,,,,2,区北部,14:20～15:20,14,葛飾区鎌倉,0.12,
6月8日（火）,,,,1,区西部,13:20～14:20,2,区西部,12:20～18:20,13,杉並区久我山,0.123,
6月8日（火）,,,,,,,2,区南部,15:20～18:20,15,世田谷区世田谷,0.112,
6月8日（火）,,,,,,,,,,16,世田谷区世田谷,0.112,
6月8日（火）,,,,1,多摩北部,13:20～17:20,2,多摩北部,12:20～18:20,16,小平市小川町,0.137,
6月8日（火）,,,,1,多摩中部,15:20～17:20,2,多摩中部,12:20～18:20,15,府中市四谷,0.135,
6月8日（火）,,,,,,,,,,16,府中市四谷,0.135,
6月8日（火）,,,,,,,2,多摩西部,12:20～16:20,13,青梅市東青梅,0.11,
6月8日（火）,,,,1,多摩南部,13:20～17:20,2,多摩南部,12:20～19:20,14,多摩市愛宕,0.134,
6月8日（火）,,,,,,,,,,15,多摩市愛宕,0.134,
6月8日（火）,,,,,,,,,,16,多摩市愛宕,0.134,
6月9日（水）,,,,,,,3,多摩北部,18:20～19:20,18,東大和市奈良橋,0.106,
6月9日（水）,,,,,,,3,多摩中部,18:20～19:20,18,府中市四谷,0.103,
6月9日（水）,,,,,,,3,多摩西部,18:20～20:20,18,福生市本町,0.112,
6月9日（水）,,,,,,,3,多摩南部,17:20～19:20,17,町田市金森,0.112,
6月10日（木）,,,,,,,4,区西部,14:20～16:20,14,杉並区久我山,0.103,
6月10日（木）,,,,,,,,,,14,練馬区石神井町,0.103,
6月10日（木）,,,,,,,,,,15,練馬区石神井町,0.103,
6月10日（木）,,,,,,,4,多摩北部,13:20～17:20,14,小平市小川町,0.116,
6月10日（木）,,,,,,,4,多摩西部,14:20～17:20,15,福生市本町,0.11,
6月10日（木）,,,,,,,,,,15,青梅市東青梅,0.11,
6月10日（木）,,,,,,,4,多摩南部,14:20～ 15:20,14,多摩市愛宕,0.106,
6月15日（火）,,,,,,,5,区西部,15:20～16:20,15,杉並区久我山,0.109,
6月15日（火）,,,,,,,5,多摩北部,15:20～17:20,15,武蔵野市関前,0.115,
6月15日（火）,,,,,,,5,多摩中部,14:20～16:20,14,狛江市中和泉,0.114,
6月15日（火）,,,,,,,5,多摩南部,14:20～ 16:20,14,町田市能ヶ谷,0.101,
7月7日（水）,,,,,,,6,多摩南部,16:20～ 18:20,17,町田市金森,0.126,
7月10日（土）,,,,,,,7,区東部,12:20～13:20,12,江戸川区春江町,0.105,
7月10日（土）,,,,,,,7,区北部,13:20～15:20,13,足立区西新井,0.116,
