月日（曜日）,予報日数,予報発令地域,予報発令時間,注意報日数,注意報発令地域,注意報発令時間,学校情報日数,学校情報提供地域,学校情報提供時間,オキシダント最高濃度時刻,オキシダント最高濃度測定局,オキシダント最高濃度濃度ppm,被害届出数（人）
4月22日（月）,,,,,,,1,多摩南部,17:20～18:20,17,多摩市愛宕,0.106,
5月10日（金）,,,,,,,2,区北部,16:20～17:20,15,葛飾区鎌倉,0.102,
5月10日（金）,,,,,,,2,区西部,18:20～20:20,19,練馬区石神井町,0.103,
5月10日（金）,,,,,,,2,区南部,18:20～20:20,19,渋谷区宇田川町,0.104,
5月10日（金）,,,,,,,,,,19,目黒区碑文谷,0.104,
5月10日（金）,,,,,,,2,多摩北部,17:20～20:20,18,武蔵野市関前,0.104,
5月10日（金）,,,,,,,,,,18,西東京市田無町,0.104,
5月10日（金）,,,,,,,2,多摩南部,17:20～19:20,17,町田市金森,0.104,
5月11日（土）,,,,,,,3,多摩北部,13:20～17:20,14,東大和市奈良橋,0.108,
5月11日（土）,,,,,,,3,多摩西部,14:20～17:20,16,青梅市東青梅,0.116,
5月11日（土）,,,,,,,3,多摩南部,12:20～16:20,15,八王子市片倉町,0.114,
5月23日（木）,,,,,,,4,多摩北部,16:20～18:20,17,武蔵野市関前,0.105,
5月23日（木）,,,,,,,,,,17,西東京市田無町,0.105,
5月24日（金）,,,,,,,5,区東部,15:20～16:20,15,江戸川区春江町,0.115,
5月24日（金）,,,,,,,5,区南部,14:20～17:20,15,品川区八潮,0.123,
5月24日（金）,,,,,,,5,多摩北部,16:20～18:20,16,小平市小川町,0.111,
5月24日（金）,,,,,,,,,,16,東大和市奈良橋,0.111,
5月24日（金）,,,,,,,5,多摩中部,16:20～17:20,16,調布市深大寺南町,0.107,
5月24日（金）,,,,,,,5,多摩西部,17:20～18:20,16,福生市本町,0.108,
5月24日（金）,,,,,,,5,多摩南部,15:20～17:20,16,多摩市愛宕,0.105,
5月25日（土）,,,,,,,6,区東部,12:20～16:20,13,江東区大島,0.117,
5月25日（土）,,,,,,,6,区北部,14:20～16:20,14,荒川区南千住,0.115,
5月25日（土）,,,,,,,6,区西部,14:20～16:20,15,練馬区石神井町,0.123,
5月25日（土）,,,,,,,6,区南部,14:20～16:20,14,世田谷区世田谷,0.111,
5月25日（土）,,,,1,多摩北部,14:20～15:20,6,多摩北部,12:20～16:20,14,武蔵野市関前,0.13,
5月25日（土）,,,,1,多摩中部,14:20～15:20,6,多摩中部,13:20～15:20,14,調布市深大寺南町,0.126,
5月25日（土）,,,,,,,6,多摩南部,13:20～14:20,13,多摩市愛宕,0.101,
5月26日（日）,1,区東部,10:20～13:20,2,区東部,13:20～16:20,7,区東部,12:20～17:20,14,江戸川区春江町,0.179,
5月26日（日）,1,区北部,10:20～13:20,2,区北部,13:20～16:20,7,区北部,11:20～17:20,14,荒川区南千住,0.194,
5月26日（日）,1,区西部,10:20～13:20,2,区西部,13:20～16:20,7,区西部,11:20～17:20,14,板橋区氷川町,0.183,
5月26日（日）,,,,,,,,,,14,練馬区北町,0.183,
5月26日（日）,,,,2,区南部,12:20～15:20,7,区南部,11:20～16:20,12,品川区豊町,0.201,
5月26日（日）,1,多摩北部,10:20～16:20,,,,7,多摩北部,11:20～17:20,12,武蔵野市関前,0.113,
5月26日（日）,,,,,,,,,,14,武蔵野市関前,0.113,
5月26日（日）,1,多摩中部,10:20～16:20,,,,7,多摩中部,11:20～16:20,13,狛江市中和泉,0.109,
5月26日（日）,1,多摩西部,10:20～16:20,,,,,,,16,青梅市東青梅,0.103,
5月26日（日）,1,多摩南部,10:20～16:20,,,,7,多摩南部,14:20～16:20,14,町田市金森,0.104,
5月27日（月）,2,区東部,10:20～15:20,,,,8,区東部,13:20～15:20,14,千代田区神田司町,0.116,
5月27日（月）,2,区北部,10:20～15:20,,,,8,区北部,13:20～15:20,14,荒川区南千住,0.121,
5月27日（月）,2,区西部,10:20～13:20,3,区西部,13:20～15:20,8,区西部,12:20～15:20,13,中野区若宮,0.148,
5月27日（月）,,,,,,,,,,13,練馬区石神井町,0.148,
5月27日（月）,2,区南部,10:20～12:20,3,区南部,12:20～14:20,8,区南部,12:20～15:20,12,世田谷区世田谷,0.147,
5月27日（月）,,,,,,,,,,13,品川区八潮,0.147,
5月27日（月）,,,,,,,,,,13,品川区豊町,0.147,
5月27日（月）,,,,3,多摩北部,13:20～15:20,8,多摩北部,11:20～15:20,13,武蔵野市関前,0.136,
5月27日（月）,,,,3,多摩中部,13:20～14:20,8,多摩中部,12:20～15:20,13,狛江市中和泉,0.133,
5月27日（月）,,,,,,,8,多摩西部,13:20～15:20,12,福生市本町,0.107,
5月27日（月）,,,,,,,8,多摩南部,11:20～15:20,12,多摩市愛宕,0.11,
6月6日（木）,,,,,,,9,区東部,14:20～15:20,14,江戸川区南葛西,0.105,
6月6日（木）,,,,,,,9,区西部,16:20～17:20,16,練馬区石神井町,0.101,
6月6日（木）,,,,,,,9,区南部,14:20～17:20,15,大田区東糀谷,0.106,
6月6日（木）,,,,,,,9,多摩北部,16:20～20:20,17,東大和市奈良橋,0.123,
6月6日（木）,,,,,,,9,多摩中部,16:20～19:20,16,府中市宮西町,0.12,
