"コース","番号","大見出し","施設名","小見出し","紹介文","電話","営業時間","休み","料金","備考","滞在時間","移動距離","所要時間","緯度","経度"
"A芝",,"増上寺や旧芝離宮恩賜庭園など江戸を感じる歴史的なスポットに加え、東京タワーといった東京の発展を支えてきたスポットを巡るコース",,,,,,,,,,,,,
"A芝","Start","増上寺や旧芝離宮恩賜庭園など江戸を感じる歴史的なスポットに加え、東京タワーといった東京の発展を支えてきたスポットを巡るコース","JR浜松町駅 モノレールのりかえ口",,,,,,,,,,,"35.654964","139.75664"
"A芝","A-1","増上寺や旧芝離宮恩賜庭園など江戸を感じる歴史的なスポットに加え、東京タワーといった東京の発展を支えてきたスポットを巡るコース","旧芝離宮恩賜庭園","日本庭園を眺め花を愛でる","江戸初期の大名庭園の面影を今に伝える名園の一つ。回遊式泉水庭園の特徴をよくあらわした庭園で、大泉水を中心とした地割りや石組の配置が非常に優れ、国の「名勝」に指定されています。","03-3434-4029","9:00～17:00（16:30閉門）",,"一般150円、65歳以上70円（小学生以下及び都内在住・在学の中学生は無料）身体障害者手帳、愛の手帳、精神障害者保健福祉手帳または療育手帳持参の方と付添の方は無料。",,"60分","約280ｍ","約5分","35.654964","139.758799"
"A芝","A-2","増上寺や旧芝離宮恩賜庭園など江戸を感じる歴史的なスポットに加え、東京タワーといった東京の発展を支えてきたスポットを巡るコース","芝大神宮","縁結びで有名","平安時代中頃の寛弘2年（1005年）に伊勢の内外両宮の御分霊をまつり飯倉に創建、源頼朝が飯倉に御厨を寄進したと伝わります。慶長（1600年）の頃、現在の場所に移転し、明治5年（1872年）芝大神宮と改称しました。","03-3431-4802",,,,,"10分","約560ｍ","約9分","35.657616","139.753074"
"A芝","A-3","増上寺や旧芝離宮恩賜庭園など江戸を感じる歴史的なスポットに加え、東京タワーといった東京の発展を支えてきたスポットを巡るコース","増上寺","将軍たちが眠る徳川家の菩提寺","開山から600年余り。徳川家の菩提寺として、6人の将軍が埋葬されています。都内最古の木造建築物の一つ「三解脱門」をはじめ、国の重要文化財など寺宝も多数あります。","03-3432-1431",,,"宝物展示室／一般700円、中高生300円（小学生以下無料）、徳川将軍家墓所拝観／大人500円（高校生以下無料）",,"30分","約530ｍ","約9分","35.65741","139.748302"
"A芝","A-4","増上寺や旧芝離宮恩賜庭園など江戸を感じる歴史的なスポットに加え、東京タワーといった東京の発展を支えてきたスポットを巡るコース","東京タワー","日本を代表する観光名所","333mの高さを誇る東京のシンボル。展望台のある電波塔で、昭和33年（1958年）に完成しました。東京タワーの定番ライトアップは、すっきりと涼しげな夏バージョンと温かみのある冬バージョンの2種類があります。","03-3433-5111","メインデッキ／9～22時30分(最終入場22時)、トップデッキツアー／9時～22時15分(最終ツアー21時45分)※営業時間は変更の場合あり、その他施設により異なる。",,"メインデッキ／大人1200円、トップデッキツアー／大人3000円、障害者手帳提示によって、本人と付き添い1名(合計2名)展望料金半額",,"60分","約270ｍ","約5分","35.658571","139.745476"
"A芝","A-5","増上寺や旧芝離宮恩賜庭園など江戸を感じる歴史的なスポットに加え、東京タワーといった東京の発展を支えてきたスポットを巡るコース","都立芝公園","日本最初の公園","明治6年（1873年）、明治政府が指定した日本最初の公園5つのうちの一つ。増上寺をぐるりと囲む形で整備され、四季折々の自然が楽しめます。","03-3431-4359",,,,,"30分","約50ｍ","約1分","35.657937","139.746337"
"A芝","Goal","増上寺や旧芝離宮恩賜庭園など江戸を感じる歴史的なスポットに加え、東京タワーといった東京の発展を支えてきたスポットを巡るコース","都営大江戸線 赤羽橋駅 中之橋口",,,,,,,,,"約480ｍ","約8分","35.655206","139.743487"
"B新橋",,"新橋は鉄道発祥の地。鉄道の歴史にふれながら、カレッタ汐留や虎ノ門ヒルズなど、都市型複合施設を巡るコース",,,,,,,,,,,,,
"B新橋","Start","新橋は鉄道発祥の地。鉄道の歴史にふれながら、カレッタ汐留や虎ノ門ヒルズなど、都市型複合施設を巡るコース","JR新橋駅 日比谷口",,,,,,,,,,,"35.66695554","139.7581037"
