"構造計算適合性判定業務を委任した機関
",,,,令和６年４月15日現在
NO.,機関の名称,機関の住所,判定の業務を行う事務所の所在地,"業務の開始日
※現在有効な委任の開始日"
1,一般財団法人　日本建築センター,東京都千代田区神田錦町一丁目９番地,東京都千代田区神田錦町一丁目９番地,令和2年6月1日
,,,大阪府大阪市中央区南本町一丁目７番 15 号,
2,公益財団法人　東京都防災・建築まちづくりセンター,東京都新宿区西新宿七丁目七番三十号小田急西新宿O-PLACE三階,東京都新宿区西新宿七丁目七番三十号小田急西新宿O-PLACE三階,令和2年6月1日
3,一般財団法人　住宅金融普及協会,東京都文京区関口一丁目２４番２号関口町ビル,東京都文京区関口一丁目２４番２号 関口町ビル,令和2年6月1日
4,一般財団法人　ベターリビング,東京都千代田区富士見二丁目７番２号,東京都千代田区富士見二丁目７番２号,令和2年6月1日
,,,愛知県名古屋市中区栄四丁目 3 番 26 号,
5,株式会社　都市居住評価センター,東京都港区虎ノ門一丁目１番21号,東京都港区虎ノ門一丁目１番21号,令和2年6月1日
6,株式会社　建築構造センター,東京都新宿区新宿１丁目８番１号大橋御苑駅ビル６階,東京都新宿区新宿１丁目８番１号　大橋御苑駅ビル６階,令和2年6月1日
,,,宮城県仙台市青葉区本町２丁目10 番28 号,
,,,福島県郡山市中町11 番５号,
,,,群馬県高崎市八島町262 番地,
,,,埼玉県さいたま市浦和区高砂２丁目２番３号,
,,,千葉県船橋市葛飾町２丁目402 番３号,
,,,神奈川県横浜市西区高島２丁目12 番６号,
,,,長野県長野市南県町1082 番地,
,,,愛知県名古屋市中区栄４丁目14 番２号,
,,,三重県四日市市浜田町12 番18 号,
,,,大阪府大阪市中央区南本町３丁目４番15 号,
,,,島根県松江市中原町６番地,
,,,岡山県岡山市北区内山下１丁目３番19 号,
,,,広島県広島市中区八丁堀15 番６号,
,,,香川県高松市亀井町２番１号,
,,,愛媛県松山市三番町７丁目13 番13 号,
,,,福岡県福岡市博多区博多駅前１丁目7番22号,
,,,佐賀県佐賀市駅前中央１丁目５番10 号,
,,,長崎県長崎市万才町３番４号,
,,,鹿児島県鹿児島市西千石町11 番21 号,
,,,沖縄県浦添市牧港５丁目６番８号,
7,株式会社　東京建築検査機構,東京都中央区日本橋富沢町10番16号,東京都中央区日本橋富沢町10番16号,令和2年6月1日
8,ハウスプラス確認検査　株式会社,東京都港区海岸一丁目11番１号,東京都港区海岸一丁目11番１号,令和2年6月1日
9,株式会社　グッド・アイズ建築検査機構,東京都新宿区百人町二丁目16番15号,東京都新宿区百人町二丁目16番15号,令和2年6月1日
,,,神奈川県横浜市西区高島2丁目19番12号,
10,ビューローベリタスジャパン　株式会社,東京都千代田区神田駿河台４丁目３番地,東京都千代田区神田駿河台４丁目３番地,令和2年6月1日
11,アウェイ建築評価ネット　株式会社,東京都新宿区揚場町２番18号,東京都新宿区揚場町２番18号,令和2年6月1日
12,日本建築検査協会　株式会社,東京都中央区日本橋三丁目13番11号,東京都中央区日本橋二丁目12番6号,令和2年6月1日
13,アスコ適判　株式会社,東京都品川区西五反田二丁目29番10号　五反田サニーフラット202号室,東京都品川区西五反田二丁目29番10号　五反田サニーフラット202号室,令和2年3月2日
