"年月[西暦]","調査項目","設問","選択肢","件数[件]","(全体)[%]","(除不)[%]"
"202003","組織・体制・人材について","Q4. 従業員の定着を図るための取組において問題となっていることを選択してください。（あてはまるものすべてに○）","職員の給与の引き上げ等労働状況の向上","58","43.9","50.0"
"202003","組織・体制・人材について","Q4. 従業員の定着を図るための取組において問題となっていることを選択してください。（あてはまるものすべてに○）","適切な人事評価制度の導入","16","12.1","13.8"
"202003","組織・体制・人材について","Q4. 従業員の定着を図るための取組において問題となっていることを選択してください。（あてはまるものすべてに○）","キャリアアップのための組織の整備","18","13.6","15.5"
"202003","組織・体制・人材について","Q4. 従業員の定着を図るための取組において問題となっていることを選択してください。（あてはまるものすべてに○）","研修等のスキルアップの機会を設ける","30","22.7","25.9"
"202003","組織・体制・人材について","Q4. 従業員の定着を図るための取組において問題となっていることを選択してください。（あてはまるものすべてに○）","介護の職場のイメージアップ","36","27.3","31.0"
"202003","組織・体制・人材について","Q4. 従業員の定着を図るための取組において問題となっていることを選択してください。（あてはまるものすべてに○）","事業所内における相談体制の充実","26","19.7","22.4"
"202003","組織・体制・人材について","Q4. 従業員の定着を図るための取組において問題となっていることを選択してください。（あてはまるものすべてに○）","管理者の指導能力・管理能力の向上","28","21.2","24.1"
"202003","組織・体制・人材について","Q4. 従業員の定着を図るための取組において問題となっていることを選択してください。（あてはまるものすべてに○）","時間的余裕がないこと","60","45.5","51.7"
"202003","組織・体制・人材について","Q4. 従業員の定着を図るための取組において問題となっていることを選択してください。（あてはまるものすべてに○）","必要な費用を支出する余裕がないこと","23","17.4","19.8"
"202003","組織・体制・人材について","Q4. 従業員の定着を図るための取組において問題となっていることを選択してください。（あてはまるものすべてに○）","効果的な取組み方法がわからないこと","6","4.5","5.2"
"202003","組織・体制・人材について","Q4. 従業員の定着を図るための取組において問題となっていることを選択してください。（あてはまるものすべてに○）","その他","11","8.3","9.5"
"202003","組織・体制・人材について","Q4. 従業員の定着を図るための取組において問題となっていることを選択してください。（あてはまるものすべてに○）","無回答","16","12.1",

"港区保健福祉基礎調査（事業所）・単純集計表・組織体制人材についてQ4","Ver202003",,,,,
