年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さ　やいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1444カット野菜(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ又はつがる)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,1583アボカド(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
令和３年５月,2021,5,424,106,94,203,359,117,125,612,268,170,369,316,126,...,279,156,681,161,803,320,159,531,2112,577,515,790,160,457,1067,255,1296,757,1574,...,2275,510,470,663,593,911,1584,871,485,636,511,...,509,...,439,527,975,...,...,...,...,...,490,826,1656,...,249,1037,842,215,224,346
令和３年６月,2021,6,436,95,81,204,353,114,130,608,279,167,361,313,131,...,279,172,734,205,763,360,158,693,2058,700,515,1052,178,415,1093,261,2249,749,1574,1656,2371,547,576,697,600,947,1559,865,499,668,514,...,630,...,386,522,...,...,2235,...,...,...,431,726,...,3838,257,991,869,198,223,330
令和３年６月上旬,2021,6上,422,103,81,200,...,103,133,599,275,169,...,...,...,...,...,150,697,178,751,403,...,695,2084,...,...,...,161,...,...,258,1452,...,...,1704,2343,543,624,692,583,855,...,779,...,...,...,...,635,...,...,...,...,...,2406,...,...,...,436,698,...,4691,...,...,...,196,222,331
令和３年６月中旬,2021,6中,430,91,83,206,353,122,124,615,273,159,361,313,131,...,279,175,764,222,756,371,158,729,2223,700,515,1052,187,415,1093,262,2556,749,1574,1702,2449,542,580,696,601,947,1559,919,499,668,514,...,615,...,386,522,...,...,2272,...,...,...,434,745,...,3708,257,991,869,196,224,330
令和３年６月下旬,2021,6下,455,92,78,205,...,117,133,609,290,172,...,...,...,...,...,190,742,216,781,305,...,656,1867,...,...,...,185,...,...,261,2739,...,...,1562,2321,557,523,702,616,1038,...,895,...,...,...,...,641,...,...,...,...,...,2028,...,...,...,424,734,...,3115,...,...,...,200,223,329
令和３年７月上旬,2021,7上,435,104,81,200,...,114,117,591,278,186,...,...,...,...,...,180,779,193,764,290,...,600,1915,...,...,...,192,...,...,261,2292,...,...,1475,2188,540,510,694,652,909,...,823,...,...,...,...,659,...,...,...,...,...,1950,3030,...,1223,420,703,...,2985,...,...,...,199,223,324
令和３年７月中旬,2021,7中,458,94,86,199,370,125,124,597,281,169,376,314,138,...,273,156,838,189,785,329,158,543,1772,711,434,1154,179,432,1095,267,1954,756,1558,1366,2161,531,491,641,667,914,1537,782,487,667,514,...,656,...,361,514,...,...,1693,2927,...,1226,420,692,...,3235,248,977,842,198,226,334
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮食品及び切り花）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和３年７月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７． 主 要 品 目 の 東 京 都 区 部 小 売 価 格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
