年,西暦（年）,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
昭和28年平均/前年比(%),1953,- ,- ,7.5,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和29年平均/前年比(%),1954,- ,- ,5.5,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和30年平均/前年比(%),1955,- ,- ,-1.4,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和31年平均/前年比(%),1956,- ,- ,0.9,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和32年平均/前年比(%),1957,- ,- ,3,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和33年平均/前年比(%),1958,- ,- ,1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和34年平均/前年比(%),1959,- ,- ,1.4,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和35年平均/前年比(%),1960,- ,- ,3.7,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和36年平均/前年比(%),1961,- ,- ,5.2,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和37年平均/前年比(%),1962,- ,- ,6.7,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和38年平均/前年比(%),1963,- ,- ,7.9,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和39年平均/前年比(%),1964,- ,- ,4,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和40年平均/前年比(%),1965,- ,- ,7.2,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和41年平均/前年比(%),1966,- ,- ,4.8,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和42年平均/前年比(%),1967,- ,- ,4.1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和43年平均/前年比(%),1968,- ,- ,5.6,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和44年平均/前年比(%),1969,- ,- ,5.6,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和45年平均/前年比(%),1970,- ,- ,7.2,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和46年平均/前年比(%),1971,6.2,6.5,6.3,6.6,6.1,7.2,1.5,4.5,10,1.4,3,9,7.4,5.3
昭和47年平均/前年比(%),1972,5.6,6.4,4.8,3.8,12,8.3,3.4,1.9,5.9,10,4.6,6.9,4.7,4.4
昭和48年平均/前年比(%),1973,11.8,11.3,11.8,13.5,11.2,11.1,6.6,12.2,21,-1.6,5.8,11.1,10.2,7.3
昭和49年平均/前年比(%),1974,21.2,20.4,22.7,25.9,13,22.3,17.1,36.2,21.4,8.1,16.3,19.4,21.2,15.4
昭和50年平均/前年比(%),1975,12.2,12.6,12,12.6,11.7,8.9,18.2,0.8,5.7,13.1,14.4,28.3,14.7,13.2
昭和51年平均/前年比(%),1976,9.6,9.2,9.6,9.5,9.5,9.3,11.3,0.8,8.9,9.3,9.3,16.3,6.4,20.8
昭和52年平均/前年比(%),1977,8.4,8.3,8.3,6.8,9.4,9,10.3,3.3,4.9,4.7,22,14.4,6.9,6.7
昭和53年平均/前年比(%),1978,4.9,5.1,4.3,3.8,9.3,6.9,-1.5,1.3,4.4,10.6,2.5,12.8,4.2,3
昭和54年平均/前年比(%),1979,3.8,3.7,3.5,1.5,5.9,5.9,5.8,1.3,3.9,4,5.8,9.7,3.1,2.9
昭和55年平均/前年比(%),1980,7.1,7.1,7.7,5.6,2.6,5.6,33,7.8,4.8,1.7,4.8,9.4,7.4,14.3
昭和56年平均/前年比(%),1981,4.7,4.7,4.9,5,3.7,4.4,8.3,3.5,3.7,2.6,3.9,7.7,4.8,5.1
昭和57年平均/前年比(%),1982,3.1,3.3,3.1,2.2,2.8,2.5,6.9,0.8,3.6,2.2,5.6,6.3,2,2
昭和58年平均/前年比(%),1983,2.1,2,2,2,2.7,3.5,-0.3,-0.3,2.3,1.4,-0.7,5.1,3,4.5
昭和59年平均/前年比(%),1984,2.5,2.4,2.7,2.9,2.4,3.5,1,0.6,3.1,3.4,1.7,4.3,2.5,2.1
昭和60年平均/前年比(%),1985,2.4,2.4,2.3,1.8,3.2,3.1,0.3,0.5,3.6,6.2,2.6,4.9,1.9,1.1
昭和61年平均/前年比(%),1986,0.9,1.1,0.7,0.1,2.1,1.7,-5,0.4,3,2,-0.2,3.8,1.9,1.8
昭和62年平均/前年比(%),1987,0.4,0.5,0.1,-0.3,2.8,2.8,-7.3,-0.4,-0.5,2.1,0.8,3.5,1,1.3
昭和63年平均/前年比(%),1988,1,0.8,1,1.2,1.7,2.1,-1.9,-0.5,1.4,0.2,-0.2,3.7,1.3,0.9
平成元年平均/前年比(%),1989,2.7,2.7,2.6,2.8,3.2,3.2,-1,0.7,5.5,1.3,1.1,3.1,3.6,1.6
平成2年平均/前年比(%),1990,3,2.7,3.2,4.3,3,3.5,0.6,0,3.8,0.6,1,4.4,4.1,1.6
平成3年平均/前年比(%),1991,3.3,2.9,3.3,4.6,3.4,3.7,0.7,0.8,6.2,1,0.8,3.5,2.8,1.9
平成4年平均/前年比(%),1992,1.9,2.4,1.7,0.6,3.3,3.9,0,1.2,2.5,2.7,2.4,3.5,2.7,1.3
平成5年平均/前年比(%),1993,1.2,1.3,0.9,1,3.5,2.4,-0.2,-0.8,-2.1,0.4,0.1,3.5,1.9,1.6
平成6年平均/前年比(%),1994,0.7,0.7,0.4,0.8,2.2,1.4,1,-2.6,-2.3,0.4,-0.6,3.1,0.9,1.1
平成7年平均/前年比(%),1995,-0.3,-0.1,-0.3,-1.4,0.4,1.3,1.6,-1.8,-0.8,0.6,1.4,2.3,-1.5,0.7
平成8年平均/前年比(%),1996,0,0,0,-0.2,-0.2,0,-0.8,-2.9,1,0.8,0.8,2.6,-0.9,0.5
平成9年平均/前年比(%),1997,1.3,1.4,1.5,1.6,0.6,0.1,3.3,-1.1,1.5,5.2,0.3,1.6,1.6,2
平成10年平均/前年比(%),1998,0.8,0.5,0.9,1.5,0.2,-0.2,-0.8,-1.9,2.1,8.1,-1.1,1.6,0.2,1.2
平成11年平均/前年比(%),1999,-0.4,-0.2,-0.7,-0.9,0.2,-0.4,-1.1,-1.4,-1.4,-0.8,-0.2,1.4,-0.9,0.2
平成12年平均/前年比(%),2000,-1,-0.7,-1,-2.1,-0.8,-0.6,0.9,-2.4,-0.6,-0.9,-0.4,1.1,-1,-0.5
平成13年平均/前年比(%),2001,-1.1,-1.2,-0.9,-0.5,-1.6,-0.7,0,-3.7,-1.6,0.5,-1.1,0.8,-2.9,0
平成14年平均/前年比(%),2002,-1,-0.9,-1,-0.6,-0.9,-0.6,-2.2,-4.2,-1.9,-1.1,-0.3,1.2,-2.1,-0.1
平成15年平均/前年比(%),2003,-0.4,-0.4,-0.4,-0.2,-0.6,-0.5,-0.2,-2.9,-1,3.5,-0.3,-0.1,-1.3,1.1
平成16年平均/前年比(%),2004,-0.1,-0.2,0,0.8,-0.2,0,-0.8,-2.2,0.1,-0.3,-0.3,0.3,-1.2,0.3
平成17年平均/前年比(%),2005,-0.5,-0.4,-0.6,-1.1,0,-0.3,-1.4,-2.5,0.1,-0.1,-0.8,0.5,-0.6,0.1
平成18年平均/前年比(%),2006,0.1,0,0.2,0.4,0.1,0,2.2,-1.9,0.7,-0.6,-0.4,0.6,-0.8,0.9
平成19年平均/前年比(%),2007,0.1,0,-0.1,0.2,0.1,-0.2,1.1,-1.8,-0.5,0,-0.2,1.2,-1,0.5
平成20年平均/前年比(%),2008,1,1,1.1,2.1,0.2,0.2,4.1,-1.2,0.1,0,1.2,0.7,-0.2,0.6
平成21年平均/前年比(%),2009,-1.2,-1,-1.2,-0.5,-0.5,-0.4,-1.9,-2.5,-1.6,0.1,-2.6,0.7,-3.1,-0.8
平成22年平均/前年比(%),2010,-1,-1.2,-1,-0.4,-0.8,-0.7,-2.2,-4.2,-1.5,-0.5,0.2,-4.8,-1.5,1
平成23年平均/前年比(%),2011,-0.5,-0.4,-0.5,-0.7,-0.5,-0.6,2.7,-5.6,0.4,-0.6,0.6,0,-3.4,2.8
平成24年平均/前年比(%),2012,-0.5,-0.5,-0.5,-0.7,-0.7,-0.6,6.2,-5.8,-0.2,-0.3,-0.2,0.2,-2.6,-0.6
平成25年平均/前年比(%),2013,0.1,0.1,0.2,-0.3,-0.5,-0.4,5.7,-2.5,-0.4,-0.6,0.5,0.2,-0.9,0.9
平成26年平均/前年比(%),2014,2.3,2.2,3,3.3,-0.2,0.5,5.5,3.3,1.8,0.8,2.4,2.2,3.8,3.8
平成27年平均/前年比(%),2015,0.7,0.6,1,2.5,-0.3,0.1,-2.7,0.5,0.9,1.2,-0.5,1.2,1.8,1.1
平成28年平均/前年比(%),2016,-0.2,-0.3,-0.1,1.5,-0.3,-0.6,-10.2,0,0.7,0.9,-1.2,0.9,1.5,0.7
平成29年平均/前年比(%),2017,0.1,0.2,0.3,0.4,-0.4,-0.2,1.4,-0.1,0.4,0.7,-0.5,0.3,0.5,-0.1
平成30年平均/前年比(%),2018,0.9,0.8,1.1,1.4,0.1,0,4.1,-0.4,0.5,1.8,0.5,0.5,1.3,0.5
令和元年平均/前年比(%),2019,0.8,0.9,0.9,0.7,0.5,0.9,3.2,2.6,1.2,0.8,-0.6,-1,1.8,0.5
令和2年平均/前年比(%),2020,0.1,0,0.1,1.3,0.6,1.6,-3,1.8,1.9,0.8,0.4,-6.5,-0.8,-0.5
令和3年平均/前年比(%),2021,-0.2,-0.2,-0.3,-0.1,0.5,1.5,-0.8,2.5,0.2,-0.3,-6.6,0.6,2.1,1.1
,,,,,,,,,,,,,,,
東京の物価／令和３年12月,,,,,,,,,,,,,,,
３．東京都区部消費者物価１０大費目指数（前年比）,,,,,,,,,,,,,,,
２０２０年＝１００／(令和２年＝１００),,,,,,,,,,,,,,,
