年月,西暦（年）,月,国/日本,国/アメリカ,国/カナダ,国/イギリス,国/ドイツ,国/フランス,国/イタリア,国/中国,国/韓国
前年比(%)/2014年平均,2014,,2.7,1.6,2,1.5,0.9,0.5,0.2,2,1.3
前年比(%)/2015年平均,2015,,0.8,0.1,1.1,0,0.3,0,0.1,1.4,0.7
前年比(%)/2016年平均,2016,,-0.1,1.3,1.4,0.7,0.5,0.2,-0.1,2,1
前年比(%)/2017年平均,2017,,0.5,2.1,1.6,2.7,1.5,1,1.2,1.6,1.9
前年比(%)/2018年平均,2018,,1,2.4,2.3,2.5,1.8,1.8,1.2,2.1,1.5
前年比(%)/2019年平均,2019,,0.5,1.8,1.9,1.8,1.4,1.1,0.6,2.9,0.4
前年比(%)/2020年平均,2020,,0,1.2,0.7,0.9,0.5,0.5,-0.2,2.5,0.5
前年同月比(%)/令和元年12月,2019,12,0.8,2.3,2.2,1.3,1.5,1.5,0.5,4.5,0.7
前年同月比(%)/令和2年1月,2020,1,0.7,2.5,2.4,1.8,1.7,1.5,0.5,5.4,1.5
前年同月比(%)/令和2年2月,2020,2,0.4,2.3,2.2,1.7,1.7,1.4,0.3,5.2,1.1
前年同月比(%)/令和2年3月,2020,3,0.4,1.5,0.9,1.5,1.4,0.7,0.1,4.3,1
前年同月比(%)/令和2年4月,2020,4,0.1,0.3,-0.2,0.8,0.9,0.3,0,3.3,0.1
前年同月比(%)/令和2年5月,2020,5,0.1,0.1,-0.4,0.5,0.6,0.4,-0.2,2.4,-0.3
前年同月比(%)/令和2年6月,2020,6,0.1,0.6,0.7,0.6,0.9,0.2,-0.2,2.5,0
前年同月比(%)/令和2年7月,2020,7,0.3,1,0.1,1,-0.1,0.8,-0.4,2.7,0.3
前年同月比(%)/令和2年8月,2020,8,0.2,1.3,0.1,0.2,0,0.2,-0.5,2.4,0.7
前年同月比(%)/令和2年9月,2020,9,0,1.4,0.5,0.5,-0.2,0,-0.6,1.7,1
前年同月比(%)/令和2年10月,2020,10,-0.4,1.2,0.7,0.7,-0.2,0,-0.3,0.5,0.1
前年同月比(%)/令和2年11月,2020,11,-0.9,1.2,1,0.3,-0.3,0.2,-0.2,-0.5,0.6
前年同月比(%)/令和2年12月,2020,12,-1.2,1.4,0.7,0.6,-0.3,0,-0.2,0.2,0.5
前年同月比(%)/令和3年1月,2021,1,-0.7,1.4,1,0.7,1,0.6,0.4,-0.3,0.6
前年同月比(%)/令和3年2月,2021,2,-0.5,1.7,1.1,0.4,1.3,0.6,0.6,-0.2,1.1
前年同月比(%)/令和3年3月,2021,3,-0.4,2.6,2.2,0.7,1.7,1.1,0.8,0.4,1.5
前年同月比(%)/令和3年4月,2021,4,-1.1,4.2,3.4,1.5,2,1.2,1.1,0.9,2.3
前年同月比(%)/令和3年5月,2021,5,-0.8,5,3.6,2.1,2.5,1.4,1.3,1.3,2.6
前年同月比(%)/令和3年6月,2021,6,-0.5,5.4,3.1,2.5,2.3,1.5,1.3,1.1,2.4
前年同月比(%)/令和3年7月,2021,7,-0.3,5.4,3.7,2,3.8,1.2,1.9,1,2.6
前年同月比(%)/令和3年8月,2021,8,-0.4,5.3,4.1,3.2,3.9,1.9,2,0.8,2.6
前年同月比(%)/令和3年9月,2021,9,0.2,5.4,4.4,3.1,4.1,2.2,2.5,0.7,2.5
前年同月比(%)/令和3年10月,2021,10,0.1,6.2,4.7,4.2,4.5,2.6,3,1.5,3.2
前年同月比(%)/令和3年11月,2021,11,0.6,6.8,4.7,5.1,5.2,2.8,3.7,2.3,3.7
,,,,,,,,,,,
東京の物価／令和３年12月分,,,,,,,,,,,
参考表６　主要国の消費者物価指数変化率,,,,,,,,,,,
資料　総務省統計局,,,,,,,,,,,
