年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さ　やいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1444カット野菜(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ又はつがる)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,1583アボカド(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
令和３年３月,2021,3,432,93,93,203,356,105,135,598,264,143,350,316,124,341,269,144,619,128,851,326,157,457,1738,552,423,760,151,413,1016,254,989,785,1569,...,2302,525,570,736,613,1069,1600,998,499,683,502,...,446,852,411,506,751,...,...,...,...,...,...,...,1854,...,247,1045,746,201,233,360
令和３年４月,2021,4,434,87,91,198,349,120,123,608,259,161,359,312,124,...,260,151,662,164,784,302,158,551,1893,553,480,729,140,464,1050,257,1125,767,1573,...,2271,491,503,688,625,995,1563,870,486,615,508,...,447,...,425,500,862,...,...,...,...,...,...,...,1649,...,252,1088,808,198,226,341
令和３年４月上旬,2021,4上,427,88,96,203,...,123,119,597,262,165,...,...,...,...,...,147,592,166,759,298,...,548,1839,...,...,...,141,...,...,257,1067,...,...,...,2218,498,506,688,653,1022,...,875,...,...,...,...,455,...,...,...,810,...,...,...,...,...,...,...,1716,...,...,...,...,195,227,350
令和３年４月中旬,2021,4中,438,86,84,192,349,117,135,607,258,161,359,312,124,...,260,156,665,161,793,301,158,572,1862,553,480,729,139,464,1050,257,1134,767,1573,...,2315,495,510,685,618,1005,1563,895,486,615,508,...,439,...,425,500,835,...,...,...,...,...,...,...,1641,...,252,1088,808,198,226,337
令和３年４月下旬,2021,4下,438,87,92,200,...,120,114,619,257,159,...,...,...,...,...,149,730,163,799,306,...,532,1977,...,...,...,141,...,...,256,1175,...,...,...,2278,480,494,691,604,956,...,839,...,...,...,...,447,...,...,...,941,...,...,...,...,...,...,...,1591,...,...,...,...,200,224,336
令和３年５月上旬,2021,5上,420,140,110,207,...,134,122,600,279,173,...,...,...,...,...,175,737,164,832,335,...,502,2062,...,...,...,160,...,...,250,1293,...,...,...,2286,494,472,654,606,953,...,871,...,...,...,...,480,...,...,...,914,...,...,...,...,...,498,853,1648,...,...,...,...,249,230,368
令和３年５月中旬,2021,5中,432,89,82,200,359,109,116,617,255,166,369,316,126,...,279,151,661,163,808,312,159,547,2237,577,515,790,165,457,1067,257,1285,757,1574,...,2257,516,481,680,591,929,1584,904,485,636,511,...,493,...,439,527,999,...,...,...,...,...,512,831,1678,...,249,1037,842,201,222,339
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮食品及び切り花）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和３年５月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７． 主 要 品 目 の 東 京 都 区 部 小 売 価 格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
