年月,西暦（年）,月,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
前年同月比(％)／令和2年8月,2020,8,0.3,-0.3,0.3,2.9,0.6,2,-1.4,2.4,2.2,0.9,0.7,-8.9,-3.1,-1.3
前年同月比(％)／令和2年9月,2020,9,0.2,-0.2,0.2,1.9,0.7,2,-2,2.6,2.8,0.8,0.9,-8.8,-2.1,-1.2
前年同月比(％)／令和2年10月,2020,10,-0.3,-0.5,-0.4,0.9,0.4,0.8,-3.4,1.5,1.6,-0.1,0,-1.8,-4.4,1
前年同月比(％)／令和2年11月,2020,11,-0.8,-0.7,-1,-0.6,0.5,0.9,-6.3,2.2,1.1,0.2,-0.4,-1.8,-4.1,1.1
前年同月比(％)／令和2年12月,2020,12,-1.2,-0.9,-1.5,-1.3,0.6,1,-7.9,1.8,-0.1,0.2,-0.6,-1.8,-4.4,0.9
前年同月比(％)／令和3年1月,2021,1,-0.5,-0.5,-0.7,-0.5,0.6,1.5,-8.5,2.8,0.3,-0.3,-1,-1.8,0.2,0.7
前年同月比(％)／令和3年2月,2021,2,-0.3,-0.3,-0.4,-0.1,0.7,1.7,-8,2.9,0.5,-0.1,-0.6,-1.9,0.1,1.2
前年同月比(％)／令和3年3月,2021,3,-0.2,-0.1,-0.2,-0.3,0.6,1.8,-7.1,3.6,0.9,-0.3,-0.2,-1.9,0.8,1.2
前年同月比(％)／令和3年4月,2021,4,-0.6,-0.2,-0.7,-1.4,0.5,1.6,-5.5,4.4,0.7,-0.2,-3.9,0.5,1.1,1.5
前年同月比(％)／令和3年5月,2021,5,-0.4,-0.2,-0.5,-1,0.3,1.2,-3.1,3.3,0.6,-0.2,-3.6,1.8,0.8,1.2
,,,,,,,,,,,,,,,,
東京の物価／令和３年５月,,,,,,,,,,,,,,,,
１．東京都区部消費者物価１０大費目指数（月別）,,,,,,,,,,,,,,,,
２０１５年＝１００／（平成２７年＝１００）,,,,,,,,,,,,,,,,
