年月,西暦（年）,月,消費者物価指数/全国,消費者物価指数/東京都 区部,企業物価指数/総平均/全国, 注1) 消費動向指数/世帯消費動向指数（総世帯実質）/全国,生計分析調査（勤労者世帯）/実収入（円）/東京都,生計分析調査（勤労者世帯）/消費支出（円）/東京都,生計分析調査（勤労者世帯）/ 注3)平均消費性向（％）/東京都,生計分析調査（勤労者世帯）/ 注4)公共的料金負担率（％）/東京都, 注2) 実質賃金指数/調 査産業計/東京都
平成13年平均,2001,,96.7,99.2,94.7,- ,628068,364721,69.8,29.5,- 
平成14年平均,2002,,95.8,98.2,92.8,124.2,633711,361608,68.2,29.4,- 
平成15年平均,2003,,95.5,97.8,91.9,123.1,583065,355982,73.2,29.8,- 
平成16年平均,2004,,95.5,97.7,93.1,123.2,596372,362122,72.7,30.1,- 
平成17年平均,2005,,95.2,97.2,94.6,123.4,578340,352303,72.8,29.5,- 
平成18年平均,2006,,95.5,97.3,96.7,120.9,585818,350664,72.4,29.5,- 
平成19年平均,2007,,95.5,97.4,98.4,121.2,574514,346256,73,29.9,- 
平成20年平均,2008,,96.8,98.4,102.9,118.9,581293,343972,72.4,29.2,- 
平成21年平均,2009,,95.5,97.2,97.5,117.4,598723,359096,74.1,29.1,- 
平成22年平均,2010,,94.8,96.2,97.4,118.2,615748,363141,73.2,28.4,- 
平成23年平均,2011,,94.5,95.7,98.8,115.4,565071,337458,73.8,30.2,104.1
平成24年平均,2012,,94.5,95.3,98,115.9,575440,348158,75.2,29.6,103.8
平成25年平均,2013,,94.9,95.3,99.2,117.5,578628,363721,78.2,30,104
平成26年平均,2014,,97.5,97.5,102.4,113.3,585636,353261,75.8,28.7,101.3
平成27年平均,2015,,98.2,98.2,100,109.2,574733,354241,77,29.6,100
平成28年平均,2016,,98.1,98.1,96.5,106.4,605530,356829,73.7,29.9,100.2
平成29年平均,2017,,98.6,98.2,98.7,105.3,580063,364470,77.9,28.7,100.8
平成30年平均,2018,,99.5,99.1,101.3,105.2,632404,353941,70.3,30.1,100.8
令和元年平均,2019,,100,99.9,101.5,105.2,673468,360606,66.8,29.2,99.5
令和2年平均,2020,,100,100,100.3,100,701538,343451,61.2,29,97.8
平成31年3月,2019,3,99.7,99.6,101.5,113.8,563258,360240,79.8,29.8,89.7
平成31年4月,2019,4,100,100,101.9,107.6,620256,370113,72.6,35.4,83.3
令和元年5月,2019,5,100,99.8,101.7,107.1,532382,407787,100.6,32.1,85.4
令和元年6月,2019,6,99.8,99.8,101.2,101.1,1013714,354506,44.9,27.6,158.4
令和元年7月,2019,7,99.8,99.7,101.1,103.1,772278,371464,61.5,24.3,107.8
令和元年8月,2019,8,100,100,100.9,106,613614,358348,71.2,26.4,80.1
令和元年9月,2019,9,100.1,100,100.9,108.4,544457,381857,87.4,31.1,81.2
令和元年10月,2019,10,100.4,100.3,102,99.1,605380,334025,67.4,31.4,80.9
令和元年11月,2019,11,100.5,100.3,102.1,98.4,559504,354028,78,24.6,87.4
令和元年12月,2019,12,100.5,100.4,102.3,114.1,1189450,361576,37.6,26.1,179.7
令和2年1月,2020,1,100.5,100.2,102.3,102.1,563659,346351,76.3,28.4,81.1
令和2年2月,2020,2,100.3,100.1,101.9,98.5,570442,327464,70.4,29.9,79.5
令和2年3月,2020,3,100.3,100.1,101.1,104.6,586958,332215,71.6,31.1,87.7
令和2年4月,2020,4,100.2,100.3,99.5,94.9,583275,329344,69.9,39.8,82.5
令和2年5月,2020,5,100.1,100.3,99,89.8,527280,301232,75,31,80.8
令和2年6月,2020,6,99.9,100,99.6,99.2,1079611,327538,38.7,27.7,155.3
令和2年7月,2020,7,100,100.2,100.2,95.8,810215,330295,50,27.2,105.7
令和2年8月,2020,8,100.1,100.2,100.3,99.3,600926,333977,68.2,25.8,78.3
令和2年9月,2020,9,99.9,99.8,100.1,96.9,566715,352760,77.9,29.6,80.7
令和2年10月,2020,10,99.8,99.9,99.8,103,636986,397492,76.6,29.3,79.8
