"年月[西暦]","調査項目","設問","選択肢","件数[件]","(全体)[%]","(除不)[%]"
"202003","組織・体制・人材について","Q5-1. 貴事業所では、介護職員処遇改善加算の申請を行いましたか。（○は１つ）","加算１を申請している","55","41.7","47.4"
"202003","組織・体制・人材について","Q5-1. 貴事業所では、介護職員処遇改善加算の申請を行いましたか。（○は１つ）","加算２を申請している","9","6.8","7.8"
"202003","組織・体制・人材について","Q5-1. 貴事業所では、介護職員処遇改善加算の申請を行いましたか。（○は１つ）","加算３を申請している","2","1.5","1.7"
"202003","組織・体制・人材について","Q5-1. 貴事業所では、介護職員処遇改善加算の申請を行いましたか。（○は１つ）","加算４を申請している","1","0.8","0.9"
"202003","組織・体制・人材について","Q5-1. 貴事業所では、介護職員処遇改善加算の申請を行いましたか。（○は１つ）","加算５を申請している","0","0.0","0.0"
"202003","組織・体制・人材について","Q5-1. 貴事業所では、介護職員処遇改善加算の申請を行いましたか。（○は１つ）","申請する予定","2","1.5","1.7"
"202003","組織・体制・人材について","Q5-1. 貴事業所では、介護職員処遇改善加算の申請を行いましたか。（○は１つ）","申請する予定はない","47","35.6","40.5"
"202003","組織・体制・人材について","Q5-1. 貴事業所では、介護職員処遇改善加算の申請を行いましたか。（○は１つ）","無回答","16","12.1",

"港区保健福祉基礎調査（事業所）・単純集計表・組織体制人材についてQ5-1","Ver202003",,,,,
