"年度","区分","胃がん検診 35歳以上の人[人]","子宮頸がん検診 20歳以上の女性[人]","肺がん検診 40歳以上の人[人]","乳がん検診 30歳以上の女性[人]","乳がん検診(視触診) 30～39歳の女性[人]","乳がん検診(マンモグラフィ検査) 40歳以上の女性[人]","大腸がん検診 35歳以上の人[人]","喉頭がん検診 40歳以上の人[人]","前立腺がん検診 55歳から75歳までの奇数年齢の男性[人]"
"2013","受診者","19318","16149","13896","19087",,,"27756","3717","2632"
"2013","要精密","1936","476","577","416",,,"2034","51","202"
"2013","がんであった人","13","6","11","12",,,"27","0","13"
"2014","受診者","19490","17342","24679","20032",,,"28741","4413","2760"
"2014","要精密","1802","521","840","429",,,"2270","65","211"
"2014","がんであった人","13","12","14","14",,,"34","2","9"
"2015","受診者","20254","20340","27083","22745",,,"30193","4353","2850"
"2015","要精密","1605","592","842","580",,,"2124","66","228"
"2015","がんであった人","6","9","13","17",,,"32","1","10"
"2016","受診者","19083","19646","26948",,"4291","9837","29318","4207","2741"
"2016","要精密","1349","446","867",,"229","1077","2038","42","224"
"2016","がんであった人","12","12","11",,"0","22","32","0","10"
"2017","受診者","18906","19148","27650",,"3673","8498","29324","4226","2677"
"2017","要精密","1347","390","864",,"119","937","1987","45","215"
"2017","がんであった人","8","8","13",,"0","33","32","0","12"

"平成30年度港区行政資料集　がん検診","Ver201803",,,,,,,,,
