"年月[西暦]","調査項目","設問","方法","調査回答者の属性種別","調査回答者の属性","調査数[人]","利用したことがある[人]","実際に利用したことはないが、利用すると思う","利用しないと思う[人]","無回答[人]"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","全体",,"558","70","114","306","68"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","性・年代別","男性（計）","231","21","47","143","20"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","性・年代別","男性 18～29歳","13","2","3","7","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","性・年代別","男性 30～39歳","38","6","1","27","4"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","性・年代別","男性 40～49歳","50","10","14","25","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","性・年代別","男性 50～59歳","47","0","15","29","3"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","性・年代別","男性 60～69歳","42","2","10","27","3"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","性・年代別","男性 70歳以上","40","1","4","27","8"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","性・年代別","男性 無回答","1","0","0","1","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","性・年代別","女性（計）","313","49","66","161","37"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","性・年代別","女性 18～29歳","26","8","3","14","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","性・年代別","女性 30～39歳","49","13","12","20","4"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","性・年代別","女性 40～49歳","78","19","19","34","6"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","性・年代別","女性 50～59歳","62","6","16","33","7"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","３　メールを利用して相談する","性・年代別","女性 60～69歳","56","1","12","34","9"
