"業態","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日"
"高度管理医療機器販売業・貸与業","株式会社ザイマックス","東京都港区赤坂一丁目1番1号","ザイマックス赤坂111ビル","03-5544-6604","5港み生機器第76号","2023/8/15"
"高度管理医療機器販売業・貸与業","株式会社ＣＯＬＬＡＢＯ","東京都港区赤坂一丁目3番3号","T-FRONTビル6階","03-6441-3731","2港み生機器第9号","2020/4/27"
"高度管理医療機器販売業・貸与業","株式会社溜池コンタクト","東京都港区赤坂一丁目3番5号","赤坂アビタシオンビル1階",,"31港み生機器第117号","2019/11/1"
"高度管理医療機器販売業・貸与業","広友物産株式会社","東京都港区赤坂一丁目4番17号",,"03-3587-1211","2港み生機器第165号","2021/4/14"
"高度管理医療機器販売業・貸与業","広友サービス株式会社","東京都港区赤坂一丁目4番17号","広友ビル","03-3586-1211","31港み生機器第41号","2019/6/4"
"高度管理医療機器販売業・貸与業","溜池薬局","東京都港区赤坂一丁目5番12号",,"03-3583-0600","4港み生機器第230号","2023/4/1"
"高度管理医療機器販売業・貸与業","Ｉｎｔｅｇｒａ　Ｊａｐａｎ株式会社　本社","東京都港区赤坂一丁目7番1号","赤坂榎坂ビル",,"5港み生機器第186号","2024/3/15"
"高度管理医療機器販売業・貸与業","株式会社未来設計","東京都港区赤坂一丁目7番1号","赤坂榎坂ビル4F","03-5114-5104","31港み生機器第18号","2019/5/16"
"高度管理医療機器販売業・貸与業","みらい薬局","東京都港区赤坂一丁目7番1号","赤坂榎坂ビル4F","03-5114-5101","4港み生機器第260号","2023/2/1"
"高度管理医療機器販売業・貸与業","南青山コンタクト","東京都港区赤坂一丁目7番1号","赤坂榎坂ビル",,"5港み生機器第162号","2024/1/1"
"高度管理医療機器販売業","株式会社アクシア","東京都港区赤坂一丁目7番3号","第6新倉ビル","03-5575-5488","3港み生機器第58号","2021/7/22"
"高度管理医療機器販売業・貸与業","セコム株式会社　東京本部","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR9階","03-3560-2561","5港み生機器第132号","2023/11/16"
"高度管理医療機器販売業・貸与業","グラクソ・スミスクライン株式会社","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR",,"5港み生機器第172号","2024/2/13"
"高度管理医療機器販売業","そうごう薬局　赤坂インターシティＡＩＲ店","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR地下1階","03-6441-0971","4港み生機器第39号","2022/6/8"
"高度管理医療機器販売業・貸与業","富士レビオ株式会社　本社オフィス","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR","03-6279-0859","4港み生機器第345号","2023/5/8"
"高度管理医療機器販売業・貸与業","株式会社エスアールエル","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR",,"5港み生機器第16号","2023/5/8"
"高度管理医療機器販売業・貸与業","Ｈ．Ｕ．ウェルネス株式会社","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR","050-2000-5003","5港み生機器第120号","2023/10/2"
"高度管理医療機器販売業・貸与業","エムスリーＡＩ株式会社","東京都港区赤坂一丁目11番44号","赤坂インターシティ","03-6229-8900","3港み生機器第235号","2022/3/16"
"高度管理医療機器販売業・貸与業","インテュイティブサージカル合同会社","東京都港区赤坂一丁目12番32号","アーク森ビル","03-5575-1365","29港み生機器第190号","2018/4/16"
"高度管理医療機器販売業・貸与業","株式会社カネカメディックス　東京事業所","東京都港区赤坂一丁目12番32号","アーク森ビル","050-3181-4100","4港み生機器第175号","2022/11/9"
"高度管理医療機器販売業・貸与業","株式会社カネカ　東京本社","東京都港区赤坂一丁目12番32号","アーク森ビル","03-5574-8023","4港み生機器第208号","2022/12/21"
"高度管理医療機器販売業・貸与業","マリンクロットファーマ株式会社","東京都港区赤坂一丁目12番32号","アーク森ビル",,"4港み生機器第221号","2023/1/1"
"高度管理医療機器販売業・貸与業","グローム・マネジメント株式会社","東京都港区赤坂一丁目12番32号","アーク森ビル","03-6856-7320","30港み生機器第203号","2019/2/25"
"高度管理医療機器販売業・貸与業","ウェルネス・コミュニケーションズ株式会社","東京都港区赤坂一丁目12番32号","アーク森ビル14階","03-6858-3264","31港み生機器第213号","2020/3/30"
"高度管理医療機器販売業・貸与業","株式会社カネカメディカルテック　本社","東京都港区赤坂一丁目12番32号","アーク森ビル","050-3181-5840","2港み生機器第87号","2020/10/21"
"高度管理医療機器販売業・貸与業","株式会社Ｍｅａｌｔｈｙ　東京支店","東京都港区赤坂一丁目12番32号","アーク森ビル","03-4500-8088","2港み生機器第183号","2021/3/29"
"高度管理医療機器販売業・貸与業","ゼロシーセブン株式会社","東京都港区赤坂一丁目12番32号","アーク森ビル","03-4360-8261","3港み生機器第10号","2021/5/13"
"高度管理医療機器販売業・貸与業","ＭＡＭＯ株式会社","東京都港区赤坂一丁目14番5号","アークヒルズエグゼクティブタワー",,"3港み生機器第195号","2022/1/18"
"高度管理医療機器販売業・貸与業","エースタイル薬局","東京都港区赤坂二丁目3番5号","赤坂スターゲートプラザ地下1階","03-6441-0990","5港み生機器第181号","2024/2/1"
"高度管理医療機器販売業・貸与業","株式会社ホギメディカル","東京都港区赤坂二丁目7番7号",,"03-6229-1357","4港み生機器第240号","2023/4/1"
"高度管理医療機器販売業・貸与業","プレジール株式会社","東京都港区赤坂二丁目8番14号","丸玉第3ビル2階","03-3560-7557","4港み生機器第68号","2022/6/28"
"高度管理医療機器販売業","フォレスタデント・ジャパン株式会社","東京都港区赤坂二丁目10番12号","生駒硝子ビル2階","03-6277-6980","3港み生機器第52号","2021/7/13"
"高度管理医療機器販売業・貸与業","有限会社グローバルメディカルコーポレーション","東京都港区赤坂二丁目11番15号","第2堀内ビル","03-3505-9970","4港み生機器第320号","2023/4/1"
"高度管理医療機器販売業","アイン薬局　赤坂溜池店","東京都港区赤坂二丁目11番15号","MY赤坂ビル1階","03-3568-7030","3港み生機器第193号","2022/3/1"
"高度管理医療機器販売業・貸与業","株式会社メディカルロジック","東京都港区赤坂二丁目12番12号","赤坂フローラビル2階","03-6230-0888","5港み生機器第26号","2023/6/16"
"高度管理医療機器販売業・貸与業","株式会社重松商事","東京都港区赤坂二丁目12番21号","ディアシティ赤坂西館5階","03-3585-6030","4港み生機器第17号","2022/5/2"
"高度管理医療機器販売業・貸与業","株式会社いきがい","東京都港区赤坂二丁目13番21号","清川ビル2階201",,"2港み生機器第141号","2021/2/1"
"高度管理医療機器販売業・貸与業","ビオメリュー・ジャパン株式会社","東京都港区赤坂二丁目17番7号","赤坂溜池タワー2階","03-6834-2666","5港み生機器第104号","2023/11/1"
"高度管理医療機器販売業・貸与業","綜合警備保障株式会社　城南支社赤坂営業所","東京都港区赤坂二丁目21番15号","赤坂OSビル","03-6880-1300","2港み生機器第61号","2020/10/2"
"高度管理医療機器販売業・貸与業","ＫＦメディカルサポート株式会社","東京都港区赤坂二丁目23番1号","アークヒルズフロントタワーRoP704号","03-6277-8328","2港み生機器第58号","2020/8/25"
"高度管理医療機器販売業","ＢＥＡＵＴＥＸ株式会社","東京都港区赤坂二丁目23番1号","アークヒルズフロントタワー","03-6807-4324","5港み生機器第73号","2023/8/1"
"高度管理医療機器販売業","ビックカメラ赤坂見附駅店","東京都港区赤坂三丁目1番6号",,"03-6230-1111","31港み生機器第24号","2019/5/24"
"高度管理医療機器販売業・貸与業","スギ薬局　赤坂見附店","東京都港区赤坂三丁目9番7号",,"03-5797-8622","31港み生機器第11号","2019/5/9"
"高度管理医療機器販売業","ピカソ赤坂店","東京都港区赤坂三丁目11番14号",,"03-6229-9411","31港み生機器第135号","2019/12/2"
"高度管理医療機器販売業・貸与業","デジタルメディカ株式会社","東京都港区赤坂三丁目11番14号","赤坂ベルゴ903","03-6555-3984","4港み生機器第43号","2022/6/8"
"高度管理医療機器販売業・貸与業","株式会社Ｌｏｖｅ＆Ｈｕｍａｎ","東京都港区赤坂三丁目11番19号","UFビル3 五階","03-3582-8889","4港み生機器第339号","2023/3/29"
"高度管理医療機器販売業・貸与業","株式会社ベアハグビューティ＆ヘルスケア","東京都港区赤坂三丁目13番3号","セントラルビル5階","03-3505-6155","30港み生機器第77号","2018/8/28"
"高度管理医療機器販売業・貸与業","日本調剤　赤坂中央薬局","東京都港区赤坂三丁目13番11号","佐藤ビル1階","03-6230-9372","31港み生機器第114号","2019/9/27"
"高度管理医療機器販売業・貸与業","健康日本堂調剤薬局　赤坂店","東京都港区赤坂三丁目14番3号","渡林赤坂ビル1階","03-5797-8712","31港み生機器第10号","2019/4/25"
"高度管理医療機器販売業・貸与業","東海貿易株式会社","東京都港区赤坂三丁目16番11号","東海赤坂ビル2階","03-5575-5511","3港み生機器第225号","2022/3/22"
"高度管理医療機器販売業・貸与業","株式会社医療福祉運営機構","東京都港区赤坂四丁目1番26号","国際医療福祉大学東京赤坂キャンパスW棟","03-5770-3781","4港み生機器第248号","2022/12/27"
