"年月[西暦]","調査項目","設問","政策目標","調査回答者の属性種別","調査回答者の属性","調査数[人]","強くそう思う[人]","どちらかといえばそう思う[人]","あまりそう思わない[人]","全くそう思わない[人]","無回答[人]"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(5)バスや鉄道の利便性が高い","全体",,"658","232","316","80","17","13"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(5)バスや鉄道の利便性が高い","性・年代別","男性（計）","248","91","118","26","8","5"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(5)バスや鉄道の利便性が高い","性・年代別","男性 18～29歳","23","12","8","3","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(5)バスや鉄道の利便性が高い","性・年代別","男性 30～39歳","35","16","18","1","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(5)バスや鉄道の利便性が高い","性・年代別","男性 40～49歳","41","19","18","1","3","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(5)バスや鉄道の利便性が高い","性・年代別","男性 50～59歳","49","16","24","7","2","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(5)バスや鉄道の利便性が高い","性・年代別","男性 60～69歳","39","9","23","6","0","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(5)バスや鉄道の利便性が高い","性・年代別","男性 70歳以上","60","19","26","8","3","4"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(5)バスや鉄道の利便性が高い","性・年代別","男性 無回答","1","0","1","0","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(5)バスや鉄道の利便性が高い","性・年代別","女性（計）","400","138","192","54","9","7"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(5)バスや鉄道の利便性が高い","性・年代別","女性 18～29歳","28","9","15","3","1","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(5)バスや鉄道の利便性が高い","性・年代別","女性 30～39歳","65","26","26","11","1","1"
