路線名,取りまとめ駅,取りまとめ駅／電話番号,区間駅名,提出警察署,提出警察署／電話番号
都営地下鉄・バス,お忘れ物センター,03-3816-5700,都営地下鉄・バス全線の忘れ物,遺失物センター,0570-550-142
東京地下鉄,東京メトロお客様センター,0570-033-555,東京地下鉄全線の忘れ物,遺失物センター,0570-550-142
京王電鉄全線,忘れ物取扱所,03-3325-6644,京王電鉄全線の忘れ物,遺失物センター,0570-550-142
京浜急行電鉄／忘れ物情報,京急ご案内センター,03-5789-8686,京浜急行電鉄全線の忘れ物,鶴見警察署,045-504-0110
東急電鉄／忘れ物情報,東急お客さまセンター,03-3477-0109,東急全線／（平日午前9時から午後5時まで）／（土曜日・日曜日、祝日午前9時から午後5時まで）／（年末年始等を除く),,
東急電鉄／東横線,東急お客さまセンター,03-3477-0109,渋谷駅から多摩川駅まで,遺失物センター,0570-550-142
東急電鉄／東横線,東急お客さまセンター,03-3477-0109,新丸子駅から横浜駅まで,戸部警察署,045-324-0110
東急電鉄／目黒線,東急お客さまセンター,03-3477-0109,目黒駅から田園調布駅まで,遺失物センター,0570-550-142
東急電鉄／東急多摩川線,東急お客さまセンター,03-3477-0109,多摩川駅から蒲田駅まで,遺失物センター,0570-550-142
東急電鉄／池上線,東急お客さまセンター,03-3477-0109,五反田駅から蒲田駅まで,遺失物センター,0570-550-142
東急電鉄／大井町線,東急お客さまセンター,03-3477-0109,大井町駅から上野毛駅まで,遺失物センター,0570-550-142
東急電鉄／田園都市線,東急お客さまセンター,03-3477-0109,渋谷駅から二子玉川駅まで,遺失物センター,0570-550-142
東急電鉄／田園都市線,東急お客さまセンター,03-3477-0109,二子新地駅から中央林間駅まで,高津警察署,044-822-0110
東急電鉄／こどもの国線,東急お客さまセンター,03-3477-0109,長津田駅からこどもの国駅まで,高津警察署,044-822-0110
東急電鉄／世田谷線,東急お客さまセンター,03-3477-0109,下高井戸駅から三軒茶屋駅まで,遺失物センター,0570-550-142
小田急電鉄全線,小田急お客さまセンター,044-299-8200,小田急電鉄全線の忘れ物,多摩警察署,044-922-0110
西武鉄道／忘れ物情報,西武池袋駅,03-3971-0607,西武池袋線・西武新宿線等全線の忘れ物の問合せ先,,
西武鉄道／池袋線,西武池袋駅,03-3971-0607,池袋駅から秋津駅まで,遺失物センター,0570-550-142
西武鉄道／新宿線,西武池袋駅,03-3971-0607,西武新宿駅から多摩湖駅まで,遺失物センター,0570-550-142
西武鉄道／多摩湖線,西武池袋駅,03-3971-0607,全線,遺失物センター,0570-550-142
西武鉄道／国分寺線,西武池袋駅,03-3971-0607,全線,遺失物センター,0570-550-142
西武鉄道／拝島線,西武池袋駅,03-3971-0607,全線,遺失物センター,0570-550-142
西武鉄道／西武園線,西武池袋駅,03-3971-0607,全線,遺失物センター,0570-550-142
西武鉄道／池袋線,所沢駅,04-2922-2147,所沢駅から元加治駅まで,所沢警察署,04-2996-0110
西武鉄道／新宿線,所沢駅,04-2922-2147,所沢駅から新狭山駅まで,所沢警察署,04-2996-0110
西武鉄道／狭山線,所沢駅,04-2922-2147,全線,所沢警察署,04-2996-0110
西武鉄道／山口線,所沢駅,04-2922-2147,西武球場前駅から西武園ゆうえんち駅まで,所沢警察署,04-2996-0110
西武鉄道／池袋線,飯能駅,042-972-2056,飯能駅から正丸駅まで,飯能警察署,042-972-0110
西武鉄道／池袋線・秩父線,西武秩父駅,0494-22-2459,芦ヶ久保駅から西武秩父駅まで,秩父警察署,0494-24-0110
西武鉄道／新宿線,本川越駅,049-222-0367,南大塚駅から本川越駅まで,川越警察署,049-224-0110
西武鉄道／多摩川線,白糸台駅,042-369-2011,全線,府中警察署,042-360-0110
東武鉄道,東武鉄道お客様センター,03-5962-0102,東武鉄道全線,,
東武鉄道／東上線,池袋駅,03-3984-0501,池袋駅から成増駅まで,遺失物センター,0570-550-142
東武鉄道／東上線,川越市駅,049-222-0406,和光市駅から寄居駅・越生線まで,川越警察署,049-224-0110
東武鉄道／伊勢崎線,浅草駅,03-3841-0603,浅草駅から竹ノ塚駅まで,遺失物センター,0570-550-142
東武鉄道／伊勢崎線,浅草駅,03-3841-0603,亀戸線（亀戸駅から曳舟駅まで）,遺失物センター,0570-550-142
東武鉄道／伊勢崎線,浅草駅,03-3841-0603,大師線（西新井駅から大師前駅まで）,遺失物センター,0570-550-142
東武鉄道／伊勢崎線,北越谷駅,048-976-2819,谷塚駅からせんげん台駅まで,越谷警察署,048-964-0110
東武鉄道／伊勢崎線,春日部駅,048-761-4136,武里駅から北春日部駅まで,春日部警察署,048-734-0110
東武鉄道／伊勢崎線,東武動物公園駅,0480-32-0022,姫宮駅から和戸駅まで,杉戸警察署,0480-33-0110
東武鉄道／伊勢崎線,久喜駅,0480-21-0007,久喜駅から羽生駅まで,久喜警察署,0480-24-0110
東武鉄道／伊勢崎線,館林駅,0276-72-4468,川俣駅から福居駅・小泉線・佐野線まで,館林警察署,0276-75-0110
東武鉄道／伊勢崎線,太田駅,0276-22-3205,東武和泉駅から伊勢崎駅・桐生線まで,太田警察署,0276-33-0110
東武鉄道／宇都宮線,東武宇都宮駅,028-633-2054,藤岡駅から家中駅・宇都宮線まで,栃木警察署,0282-25-0110
東武鉄道／日光線,東武動物公園駅,0480-32-0022,東武動物公園駅から板倉東洋大前駅まで,杉戸警察署,0480-33-0110
東武鉄道／日光線,新栃木駅,0282-22-0204,藤岡駅から家中駅及び野州平川駅まで,栃木警察署,0282-25-0110
東武鉄道／日光線,東武日光駅,0288-54-0137,東武金崎駅から東武日光駅・鬼怒川線まで,日光警察署,0288-53-0110
東武鉄道／野田線,岩槻駅,048-756-1142,大宮駅から東岩槻駅まで,岩槻警察署,048-757-0110
東武鉄道／野田線,春日部駅,048-761-4136,豊春駅から南桜井駅まで,春日部警察署,048-734-0110
東武鉄道／野田線,野田市駅,04-7124-9255,川間駅から船橋駅まで,野田警察署,04-7125-0110
京成電鉄全線,お忘れ物センター,03-5876-8915,京成電鉄の忘れ物取扱い,遺失物センター,0570-550-142
東京モノレール,お客様センター,050-2016-1640,全線の忘れ物の問合せ,遺失物センター,0570-550-142
多摩都市モノレール,お忘れもの取扱所,042-523-0332,全線の忘れ物の問合せ,立川警察署,042-527-0110
ゆりかもめ,お忘れものセンター,03-3569-0391,新橋駅から豊洲駅まで,遺失物センター,0570-550-142
東京臨海高速鉄道,大井町駅,03-3529-6137,新木場駅から大崎駅まで,遺失物センター,0570-550-142
首都圏新都市鉄道（株）（つくばエクスプレス）,つくば駅,029-855-7108,つくば駅から守谷駅まで,つくば中央警察署,029-851-0110
首都圏新都市鉄道（株）（つくばエクスプレス）,流山おおたかの森駅,04-7156-1211,柏たなか駅から八潮駅まで,流山警察署,04-7159-0110
首都圏新都市鉄道（株）（つくばエクスプレス）,浅草駅,03-3847-0922,六町駅から秋葉原駅まで,浅草警察署,03-3871-0110
北総鉄道（株）,忘れ物センター,047-445-1567,新柴又駅から印旛日本医大駅まで,鎌ヶ谷警察署,047-444-0110
東葉高速鉄道（株）,忘れ物センター,047-487-2013,月曜日から金曜日まで午前10時から午後4時15分まで／（土曜日・日曜日・祝日休み）,八千代警察署,047-486-0110
埼玉高速鉄道（株）,お忘れ物センター,048-878-5184,全線の忘れ物の問合せ,浦和東警察署,048-712-0110
横浜高速鉄道（株）（みなとみらい線）,元町・中華街駅,045-663-0974,新高島駅から元町・中華街駅まで,加賀町警察署,045-641-0110
（株）リムジン・パッセンジャーサービス,リムジンバス(遺失物取扱所),03-3665-7205,全線の忘れ物の問合せ,久松警察署,03-3661-0110
JRバス関東（株）,JRバス関東高速バス案内センター,03-3844-1950,東京駅着の高速バスの忘れ物,丸の内警察署,03-3213-0110
JR線千葉県内,落とし物係,043-222-1774,千葉県内のJRの忘れ物,,
