大項目,中項目,確認項目,確認項目（配点）,確認項目（水準上回る）,確認項目（水準どおり）,確認項目（水準下回る）
管理状況,適切な管理の履行,協定や事業計画に沿って適切に管理が行われているか,配点,水準を上回る2点,水準どおり1点,水準を下回る0点
管理状況,適切な管理の履行,人員配置（配置数、配置箇所、専門性等）,×1,,○,
管理状況,適切な管理の履行,人材育成の取組（専門性向上、接遇向上等）,×1,,○,
管理状況,適切な管理の履行,施設の使用許可等（適正な手続き処理）,×1,,○,
管理状況,適切な管理の履行,場内管理（緑地管理等）,×1,,○,
管理状況,適切な管理の履行,施設管理（空港土木施設、航空灯火、空港内設備等）,×1,,○,
管理状況,適切な管理の履行,運用管理（運用業務、空港警備、鳥獣防除、駐車場等）,×1,○,,
管理状況,適切な管理の履行,施設の清掃,×1,,○,
管理状況,適切な管理の履行,【評価の内容】年間事業計画に沿って適切に管理が行われている。また、運用管理の鳥獣防除において新たな対策を検討・実施し鳥衝突件数減少に向け、積極的な取り組みを実施した。,,,,
管理状況,安全性の確保,施設の安全性は確保されているか,配点,水準を上回る2点,水準どおり1点,水準を下回る0点
管理状況,安全性の確保,防災への配慮（安全管理活動を含む）,×1,,○,
管理状況,安全性の確保,防犯への配慮,×1,,○,
管理状況,安全性の確保,緊急時対策（航空機不法奪等対策、救急患者ヘリ時間外対応を含む）,×1,,○,
管理状況,安全性の確保,施設・設備管理に関する書類等の整理,×1,,○,
管理状況,安全性の確保,事故への対応,×1,,○,
管理状況,安全性の確保,【評価の内容】管理瑕疵による事故はなく、緊急時対策に係る情報収集、訓練なども適宜実施し、安全性を確保している。,,,,
管理状況,法令等の遵守,個人情報保護、報告等は適切に行われているか,配点,水準を上回る2点,水準どおり1点,水準を下回る0点
管理状況,法令等の遵守,個人情報保護の取組（内部規定の策定、研修等）,×1,,○,
管理状況,法令等の遵守,情報公開の取組（都への協力）,×1,,○,
管理状況,法令等の遵守,各種法令等の遵守,×1,,○,
管理状況,法令等の遵守,利用記録等各種情報の管理,×1,,○,
管理状況,法令等の遵守,情報事故への対応,×1,,○,
管理状況,法令等の遵守,【評価の内容】個人情報保護の取扱い、管理、適正管理のための研修等を実施し法令等を遵守している。,,,,
管理状況,適切な財務・財産管理,適切な財務運営・財産管理が行われているか,配点,水準を上回る2点,水準どおり1点,水準を下回る0点
管理状況,適切な財務・財産管理,収支状況,×1,,○,
管理状況,適切な財務・財産管理,経理処理,×1,,○,
管理状況,適切な財務・財産管理,都有財産等（物品・現金等）の管理,×1,,○,
管理状況,適切な財務・財産管理,経理・現金に関する書類等の管理,×1,,○,
管理状況,適切な財務・財産管理,【評価の内容】現金の取扱いや貸与物品について、適切な処理および管理をしている。,,,,
事務効果,事業の取組,事業計画どおりのサービスが提供されているか,配点,水準を上回る2点,水準どおり1点,水準を下回る0点
事務効果,事業の取組,利用者サービス向上に向けた取組,×2,,○,
事務効果,事業の取組,利用促進への取組（広報、PR等）,×2,,○,
事務効果,事業の取組,【評価の内容】制限区域内見学会や空の日イベントを主催し、利用促進への取組みを積極的に行った。,,,,
事務効果,利用の状況,事業計画どおりの利用状況となっているか,配点,水準を上回る2点,水準どおり1点,水準を下回る0点
事務効果,利用の状況,利用件数（環境の変化など外部要因を考慮）,×2,,○,
事務効果,利用の状況,【評価の内容】事業計画どおりの利用状況となっている。,,,,
事務効果,利用者の反応,利用者の満足を得られているか。,配点,水準を上回る2点,水準どおり1点,水準を下回る0点
事務効果,利用者の反応,職員の接客対応,×2,○,,
事務効果,利用者の反応,施設設備の状況,×2,○,,
事務効果,利用者の反応,利用条件,×2,○,,
事務効果,利用者の反応,【評価の内容】アンケートの接客対応項目（電話対応・窓口対応・徴収事務対応・全体の満億度）において、5段階評価で４以上の回答が非常に多かった。,,,,
事務効果,行政目的の達成,行政と連携を図り施設の目的を達成しているか。,配点,水準を上回る2点,水準どおり1点,水準を下回る0点
事務効果,行政目的の達成,施設の目的達成（関係機関との連携）,×2,,○,
事務効果,行政目的の達成,【評価の内容】関係機関と連携を図り、円滑に業務を遂行した。,,,,
