,西暦,,アジア人需要（インバウンド（海上）,欧米人需要(インバウンド(海上),欧米人需要(インバウンド(航空）,日本人アウトバウンド需要(海上)
東京湾クルーズ需要(万人),2013,25,0.1,0.3,0.1,3.3
東京湾クルーズ需要(万人),2014,26,0.2,0.3,0.3,4.4
東京湾クルーズ需要(万人),2015,27,0.2,0.4,0.5,5.5
東京湾クルーズ需要(万人),2016,28,0.2,0.4,0.8,6.5
東京湾クルーズ需要(万人),2017,29,0.3,0.5,1.1,7.6
東京湾クルーズ需要(万人),2018,30,0.3,0.6,1.5,8.7
東京湾クルーズ需要(万人),2019,31,0.4,0.6,2.4,9.8
東京湾クルーズ需要(万人),2020,32,0.7,1.0,3.1,16.1
東京湾クルーズ需要(万人),2021,33,0.9,1.2,2.9,18.7
東京湾クルーズ需要(万人),2022,34,1.0,1.4,3.4,21.3
東京湾クルーズ需要(万人),2023,35,1.3,1.6,4.0,23.8
東京湾クルーズ需要(万人),2024,36,1.5,1.8,4.6,26.4
東京湾クルーズ需要(万人),2025,37,1.8,2.1,5.3,28.8
東京湾クルーズ需要(万人),2026,38,2.2,2.5,6.0,31.3
東京湾クルーズ需要(万人),2027,39,2.6,2.8,6.7,33.8
東京湾クルーズ需要(万人),2028,40,3.2,3.3,7.5,36.2
