（輸入）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"2,904,220",96.9%,"35,213,604",100.0%,100.0%
1,中国,"1,264,492",95.0%,"15,299,750",99.1%,43.4%
,(香港),"150,068",90.6%,"1,916,136",100.6%,5.4%
2,アメリカ,"336,871",98.3%,"4,182,500",100.2%,11.9%
3,タイ,"213,167",106.2%,"2,431,720",104.1%,6.9%
4,ベトナム,"178,579",100.7%,"2,012,633",105.7%,5.7%
5,台湾,"120,253",100.1%,"1,457,610",125.6%,4.1%
6,韓国,"114,241",97.5%,"1,370,569",97.7%,3.9%
7,カナダ,"97,663",90.3%,"1,265,884",109.1%,3.6%
8,シンガポール,"85,198",91.0%,"1,115,891",97.3%,3.2%
9,マレーシア,"76,911",95.8%,"922,636",93.2%,2.6%
10,インドネシア,"74,084",100.4%,"877,622",103.6%,2.5%
11,フィリピン,"55,646",85.5%,"679,479",86.0%,1.9%
12,ドイツ,"49,904",113.4%,"573,436",99.0%,1.6%
13,オランダ,"45,805",110.3%,"513,695",96.8%,1.5%
14,チリ,"27,750",70.6%,"372,390",76.7%,1.1%
15,フランス,"25,600",118.7%,"322,687",104.2%,0.9%
16,ニュージーランド,"11,847",71.8%,"227,970",96.5%,0.6%
17,メキシコ,"11,335",65.1%,"184,335",94.9%,0.5%
18,イタリア,"11,089",84.9%,"169,654",90.3%,0.5%
19,イギリス,"15,971",116.0%,"166,945",94.5%,0.5%
20,インド,"6,316",64.7%,"105,263",103.5%,0.3%
,その他,"81,498",116.0%,"960,935",91.4%,2.7%
5,台湾,"120,,-,315,420,-,420,674,-,674,"1,120",-,"1,120",285,-,285,330,5,縺昴�莉夜尅遨�
6,驥手除繝ｻ譫懃黄,"1,318,459","34,542","1,283,917","124,203","5,954","118,249","129,641","2,593","127,048","142,066","2,934","139,132","118,272","1,358","116,914","119,322",479,"118,843","100,885",6,驥手除繝ｻ譫懃黄
7,邯ｿ闃ｱ,381,-,381,60,-,60,30,-,30,47,-,47,30,-,30,90,-,90,-,7,邯ｿ闃ｱ
8,縺昴�莉冶ｾｲ逕｣蜩�,"241,629","8,299","233,330","20,552",638,"19,914","20,548",699,"19,849","20,405",794,"19,611","19,510",608,"18,902","20,552",694,"19,858","18,091",8,縺昴�莉冶ｾｲ逕｣蜩�
9,鄒頑ｯ�,833,-,833,104,-,104,117,-,117,63,-,63,58,-,58,45,-,45,42,9,鄒頑ｯ�
10,縺昴�莉也復逕｣蜩�,"1,705,841","35,191","1,670,650","145,484","2,288","143,196","124,478","2,782","121,696","136,577","2,818","133,759","148,458","3,445","145,013","141,130","2,727","138,403","131,241",10,縺昴�莉也復逕｣蜩�
11,豌ｴ逕｣蜩�,"1,158,364","234,785","923,579","117,682","25,680","92,002","97,962","29,849","68,113","83,895","23,561","60,334","106,114","31,580","74,534","100,274","32,606","67,668","87,623",11,豌ｴ逕｣蜩�
譫礼肇蜩�,,"1,027,063","24,010","1,003,053","68,818","1,447","67,371","88,352","1,926","86,426","80,849","2,781","78,068","94,541","2,513","92,028","99,610","1,907","97,703","94,217",譫礼肇蜩�,
12,蜴滓惠,"6,457","2,870","3,587",276,84,192,465,180,285,589,357,232,"1,757",811,946,474,131,343,722,12,蜴滓惠
13,陬ｽ譚�,"877,383","20,429","856,954","57,396","1,333","56,063","74,807","1,686","73,121","68,750","2,387","66,363","77,365","1,627","75,738","85,853","1,608","84,245","79,602",13,陬ｽ譚�
14,讓ｹ閼る｡�,"78,935",347,"78,588","6,044",-,"6,044","7,085",-,"7,085","6,697",22,"6,675","8,321",36,"8,285","7,526",108,"7,418","7,658",14,讓ｹ閼る｡�
