 3-(1)海上出入貨物月別前年比較表,,,,,,,,,,(単位：トン）,,,,,,,,,,(単位：トン）
月,平成30年(2018年),,,,,,,,,,平成29年(2017年),,,,,,,,,
,合計,外貿,,,（外貿コンテナ）,,,内貿,,,合計,外貿,,,（外貿コンテナ）,,,内貿,,
１１月　,"7,975,414","4,397,169","1,066,839","3,330,330","4,269,937","1,039,908","3,230,029","3,578,245","1,328,675","2,249,570","8,184,212","4,592,500","1,154,444","3,438,056","4,368,157","1,071,638","3,296,519","3,591,712","1,376,175","2,215,537"
,97.4%,95.7%,92.4%,96.9%,97.8%,97.0%,98.0%,99.6%,96.5%,101.5%,,,,,,,,,,
１２月　,"7,703,952","4,161,111","1,170,897","2,990,214","4,027,672","1,123,452","2,904,220","3,542,841","1,237,130","2,305,711","8,023,864","4,384,491","1,217,189","3,167,302","4,169,122","1,171,614","2,997,508","3,639,373","1,346,340","2,293,033"
,96.0%,94.9%,96.2%,94.4%,96.6%,95.9%,96.9%,97.3%,91.9%,100.6%,,,,,,,,,,
累計,"91,543,456","49,827,841","13,288,658","36,539,183","47,984,015","12,770,411","35,213,604","41,715,615","15,751,422","25,964,193","90,780,146","50,116,156","13,508,587","36,607,569","48,151,899","12,950,374","35,201,525","40,663,990","15,791,781","24,872,209"
,100.8%,99.4%,98.4%,99.8%,99.7%,98.6%,100.0%,102.6%,99.7%,104.4%,,,,,,,,,,
前年累計,"90,780,146","50,116,156","13,508,587","36,607,569","48,151,899","12,950,374","35,201,525","40,663,990","15,791,781","24,872,209",,,,,,,,,,
増(－)減,"763,310","-288,315","-219,929","-68,386","-167,884","-179,963","12,079","1,051,625","-40,359","1,091,984",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
