 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"308,109","131,714","3,693,421","1,414,106","96,607","129,587","1,120,680","1,379,742","211,502","2,127","2,572,741","34,364"
,95.7%,102.0%,100.0%,104.4%,93.1%,103.1%,97.4%,104.7%,96.9%,61.5%,101.2%,93.7%
外航計,"285,508","113,867","3,414,421","1,156,374","85,921","113,187","973,542","1,143,921","199,587",680,"2,440,879","12,453"
,96.7%,106.8%,100.4%,105.2%,95.7%,107.1%,98.4%,105.4%,97.1%,71.4%,101.2%,87.6%
外航定期計,"285,508","113,867","3,414,421","1,156,374","85,921","113,187","973,542","1,143,921","199,587",680,"2,440,879","12,453"
,96.7%,106.8%,100.4%,105.2%,95.7%,107.1%,98.4%,105.4%,97.1%,71.4%,101.2%,87.6%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"42,177","22,282","487,428","185,895","17,026","22,104","180,311","182,112","25,151",178,"307,117","3,783"
,102.8%,134.0%,99.1%,109.3%,106.2%,135.0%,94.3%,110.7%,100.6%,69.8%,102.1%,67.7%
北米東岸(カリビア海含む),"10,741","2,352","127,645","23,448","5,052","2,348","55,643","23,146","5,689",4,"72,002",302
,90.2%,180.4%,90.8%,89.9%,78.4%,182.0%,80.4%,89.2%,103.9%,28.6%,100.8%,204.1%
北欧・地中海,"20,721","2,435","225,220","23,371","10,276","2,392","100,186","22,912","10,445",43,"125,034",459
,112.6%,175.3%,105.2%,97.5%,111.9%,177.6%,106.6%,97.2%,113.2%,102.4%,104.0%,111.1%
南米西岸,"2,019","2,127","39,854","16,926",191,"2,019","2,292","15,609","1,828",108,"37,562","1,317"
,46.9%,251.4%,80.1%,140.8%,64.7%,243.3%,123.2%,134.1%,45.6%,675.0%,78.5%,350.3%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
