 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"7,703,952 ","91,543,456 ","4,161,111 ","1,170,897 ","2,990,214 ","49,827,841 ","13,288,658 ","36,539,183 ","3,542,841 ","1,237,130 ","2,305,711 ","41,715,615 ","15,751,422 ","25,964,193 "
公共計,"3,529,045 ","42,385,972 ","1,178,880 ","255,180 ","923,700 ","14,313,319 ","2,760,778 ","11,552,541 ","2,350,165 ","1,126,733 ","1,223,432 ","28,072,653 ","14,287,498 ","13,785,155 "
ドルフィン,"7,901 ","78,568 ",-,-,-,-,-,-,"7,901 ","7,901 ",-,"78,568 ","78,568 ",-
芝浦ふ頭,"93,337 ","810,536 ",-,-,-,-,-,-,"93,337 ","1,992 ","91,345 ","810,536 ","21,087 ","789,449 "
芝浦物揚場,"7,254 ","89,887 ",-,-,-,-,-,-,"7,254 ","5,235 ","2,019 ","89,887 ","62,329 ","27,558 "
日の出ふ頭,"3,485 ","39,785 ",-,-,-,-,-,-,"3,485 ",-,"3,485 ","39,785 ",610 ,"39,175 "
竹芝ふ頭,"7,622 ","82,896 ",-,-,-,-,-,-,"7,622 ","5,562 ","2,060 ","82,896 ","56,043 ","26,853 "
品川岸壁,"631,397 ","7,888,268 ","347,299 ","76,126 ","271,173 ","4,425,936 ","994,043 ","3,431,893 ","284,098 ","164,008 ","120,090 ","3,462,332 ","2,064,733 ","1,397,599 "
 品川コンテナ,"347,299 ","4,341,547 ","347,299 ","76,126 ","271,173 ","4,341,480 ","979,870 ","3,361,610 ",-,-,-,67 ,7 ,60 
 品川外貿,-,"84,456 ",-,-,-,"84,456 ","14,173 ","70,283 ",-,-,-,-,-,-
 品川内貿,"284,098 ","3,462,265 ",-,-,-,-,-,-,"284,098 ","164,008 ","120,090 ","3,462,265 ","2,064,726 ","1,397,539 "
月島ふ頭,"1,711 ","17,373 ",-,-,-,-,-,-,"1,711 ",756 ,955 ,"17,373 ","7,781 ","9,592 "
10号西岸壁,"535,773 ","6,392,914 ",-,-,-,-,-,-,"535,773 ","310,112 ","225,661 ","6,392,914 ","3,736,580 ","2,656,334 "
10号東岸壁,"35,217 ","396,786 ",-,-,-,-,-,-,"35,217 ",107 ,"35,110 ","396,786 ","4,947 ","391,839 "
東京港フェリーふ頭,"900,025 ","10,868,450 ",-,-,-,-,-,-,"900,025 ","455,680 ","444,345 ","10,868,450 ","5,675,580 ","5,192,870 "
辰巳ふ頭,"33,912 ","376,394 ",-,-,-,-,-,-,"33,912 ","16,654 ","17,258 ","376,394 ","157,614 ","218,780 "
青海コンテナふ頭（公共）,"819,358 ","9,393,381 ","798,978 ","178,737 ","620,241 ","9,228,235 ","1,765,400 ","7,462,835 ","20,380 ","10,415 ","9,965 ","165,146 ","97,279 ","67,867 "
大井水産物ふ頭,-,"4,792 ",-,-,-,"4,489 ","1,018 ","3,471 ",-,-,-,303 ,160 ,143 
大井食品ふ頭（OL）,"19,998 ","313,721 ","11,570 ",-,"11,570 ","244,286 ",-,"244,286 ","8,428 ",-,"8,428 ","69,435 ",30 ,"69,405 "
大井食品ふ頭（OM）,"17,694 ","131,014 ","17,694 ",-,"17,694 ","131,014 ",-,"131,014 ",-,-,-,-,-,-
大井食品ふ頭（ON）,-,"14,453 ",-,-,-,"14,453 ",-,"14,453 ",-,-,-,-,-,-
若洲内貿ふ頭,"54,726 ","647,898 ",-,-,-,-,-,-,"54,726 ","37,654 ","17,072 ","647,898 ","465,712 ","182,186 "
15号地木材ふ頭,"4,557 ","89,805 ","3,339 ",317 ,"3,022 ","84,581 ",317 ,"84,264 ","1,218 ","1,218 ",-,"5,224 ","5,224 ",-
若洲建材ふ頭,"61,960 ","666,843 ",-,-,-,-,-,-,"61,960 ","3,311 ","58,649 ","666,843 ","41,957 ","624,886 "
大井建材ふ頭,"144,034 ","1,576,791 ",-,-,-,-,-,-,"144,034 ",-,"144,034 ","1,576,791 ","3,786 ","1,573,005 "
城南島建設発生土ふ頭,"33,440 ","1,010,054 ",-,-,-,-,-,-,"33,440 ","33,440 ",-,"1,010,054 ","1,010,054 ",-
中央防波堤内側ばら物ふ頭,"6,875 ","228,111 ",-,-,-,"180,325 ",-,"180,325 ","6,875 ","4,500 ","2,375 ","47,786 ","14,729 ","33,057 "
中央防波堤内側建設発生土ふ頭,"27,310 ","280,124 ",-,-,-,-,-,-,"27,310 ","27,310 ",-,"280,124 ","280,124 ",-
中央防波堤内側内貿ふ頭,"81,459 ","985,378 ",-,-,-,-,-,-,"81,459 ","40,878 ","40,581 ","985,378 ","502,571 ","482,807 "
その他,-,"1,750 ",-,-,-,-,-,-,-,-,-,"1,750 ",-,"1,750 "
東京港埠頭㈱計,"2,880,996 ","34,517,626 ","2,770,578 ","881,574 ","1,889,004 ","32,969,591 ","10,033,373 ","22,936,218 ","110,418 ","46,362 ","64,056 ","1,548,035 ","748,213 ","799,822 "
青海コンテナふ頭(埠頭㈱),"603,997 ","7,161,545 ","591,700 ","121,169 ","470,531 ","7,046,985 ","1,507,152 ","5,539,833 ","12,297 ","10,813 ","1,484 ","114,560 ","104,946 ","9,614 "
お台場ライナーふ頭,"75,239 ","896,848 ","62,826 ","45,077 ","17,749 ","709,775 ","491,576 ","218,199 ","12,413 ",956 ,"11,457 ","187,073 ","16,485 ","170,588 "
大井コンテナふ頭,"2,201,760 ","26,459,233 ","2,116,052 ","715,328 ","1,400,724 ","25,212,831 ","8,034,645 ","17,178,186 ","85,708 ","34,593 ","51,115 ","1,246,402 ","626,782 ","619,620 "
民間計,"1,293,911 ","14,639,858 ","211,653 ","34,143 ","177,510 ","2,544,931 ","494,507 ","2,050,424 ","1,082,258 ","64,035 ","1,018,223 ","12,094,927 ","715,711 ","11,379,216 "
,,,,,,,,,,,,,,
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
345",-,-,-,-,-,-,-,-,-,30,-,4,60,その他繊維工業品,,,,,
61,砂糖,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,61,砂糖,,,,,
62,製造食品,205,"2,806",-,-,"3,109",-,97,"2,671",-,-,-,4,-,-,-,-,3,240,-,9,62,製造食品,,,,,
63,飲料,-,233,-,-,537,-,-,410,-,-,-,4,-,-,-,-,-,105,-,-,63,飲料,,,,,
64,水,-,-,-,-,"1,726",-,-,"1,726",-,-,-,-,-,-,-,-,-,-,-,-,64,水,,,,,
65,たばこ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,たばこ,,,,,
66,その他食料工業品,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,66,その他食料工業品,,,,,
雑工業品,,-,"50,527",-,807,"80,643",-,"19,795","28,929",1,"2,142",-,394,-,60,26,15,"1,223","27,133",-,150,雑工業品,,,,,,
67,がん具,-,263,-,-,"1,714",-,11,"1,703",-,-,-,-,-,-,-,-,-,-,-,-,67,がん具,,,,,
68,衣服・身廻品・はきもの,-,"6,000",-,4,"54,179",-,"13,596","10,882",-,"2,112",-,-,-,-,-,-,"1,183","26,061",-,120,68,衣服・身廻品・はきもの,,,,,
69,文房具・運動娯楽用品・楽器,-,779,-,45,"1,588",-,23,"1,229",1,-,-,-,-,30,-,-,10,243,-,-,69,文房具・運動娯楽用品・楽器,,,,,
70,家具装備品,-,"15,338",-,-,"3,306",-,"1,500","1,769",-,-,-,-,-,-,-,-,30,7,-,-,70,家具装備品,,,,,
71,その他日用品,-,"6,012",-,45,"2,810",-,-,"2,420",-,-,-,-,-,-,-,-,-,16,-,-,71,その他日用品,,,,,
72,ゴム製品,-,"12,786",-,672,"13,893",-,"4,664","7,834",-,30,-,394,-,30,-,15,-,805,-,-,72,ゴム製品,,,,,
73,木製品,-,50,-,-,90,-,-,64,-,-,-,-,-,-,26,-,-,-,-,-,73,木製品,,,,,
74,その他製造工業品,-,"9,299",-,41,"3,063",-,1,"3,028",-,-,-,-,-,-,-,-,-,1,-,30,74,その他製造工業品,,,,,
特殊品,,180,"172,329",-,"18,115","117,638",-,"12,351","97,775",-,-,-,-,-,-,-,3,28,"6,394",-,61,特殊品,,,,,,
75,金属くず,-,462,-,"10,000","4,358",-,26,"2,895",-,-,-,-,-,-,-,-,-,"1,437",-,-,75,金属くず,,,,,
76,再利用資材,-,"136,666",-,"7,294","47,844",-,"10,981","34,778",-,-,-,-,-,-,-,-,-,"1,560",-,-,76,再利用資材,,,,,
77,動植物性製造飼肥料,-,-,-,-,23,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,77,動植物性製造飼肥料,,,,,
78,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,廃棄物,,,,,
79,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,廃土砂,,,,,
80,輸送用容器,180,"9,435",-,743,"4,604",-,819,"3,550",-,-,-,-,-,-,-,-,20,4,-,-,80,輸送用容器,,,,,
81,取合せ品,-,"25,766",-,78,"60,809",-,525,"56,529",-,-,-,-,-,-,-,3,8,"3,393",-,61,81,取合せ品,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
