 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,088 ","15,625,053 ","24,375 ","183,112,211 ",465 ,"11,704,491 ","5,478 ","136,356,408 ","1,623 ","3,920,562 ","18,897 ","46,755,803 "
公共計,990 ,"5,583,838 ","11,942 ","66,489,234 ",184 ,"2,649,783 ","2,192 ","30,914,701 ",806 ,"2,934,055 ","9,750 ","35,574,533 "
ドルフィン,6 ,"3,482 ",49 ,"32,373 ",-,-,-,-,6 ,"3,482 ",49 ,"32,373 "
芝浦ふ頭,41 ,"119,009 ",411 ,"1,006,629 ",-,-,-,-,41 ,"119,009 ",411 ,"1,006,629 "
芝浦物揚場,24 ,"10,861 ",288 ,"127,380 ",-,-,-,-,24 ,"10,861 ",288 ,"127,380 "
日の出ふ頭,8 ,"5,578 ",91 ,"65,751 ",-,-,-,-,8 ,"5,578 ",91 ,"65,751 "
竹芝ふ頭,144 ,"384,691 ","1,893 ","4,284,303 ",-,-,-,-,144 ,"384,691 ","1,893 ","4,284,303 "
品川岸壁,153 ,"1,633,732 ","1,780 ","19,102,843 ",77 ,"766,520 ",936 ,"9,298,836 ",76 ,"867,212 ",844 ,"9,804,007 "
 品川コンテナ,84 ,"773,357 ",945 ,"8,673,376 ",77 ,"766,520 ",886 ,"8,614,757 ",7 ,"6,837 ",59 ,"58,619 "
 品川外貿,-,-,50 ,"684,079 ",-,-,50 ,"684,079 ",-,-,-,-
 品川内貿,69 ,"860,375 ",785 ,"9,745,388 ",-,-,-,-,69 ,"860,375 ",785 ,"9,745,388 "
晴海ふ頭,1 ,"22,472 ",88 ,"1,904,567 ",1 ,"22,472 ",13 ,"581,137 ",-,-,75 ,"1,323,430 "
月島ふ頭,5 ,"1,945 ",47 ,"15,578 ",-,-,-,-,5 ,"1,945 ",47 ,"15,578 "
漁業基地,3 ,"2,942 ",25 ,"34,706 ",-,-,-,-,3 ,"2,942 ",25 ,"34,706 "
10号西岸壁,64 ,"649,749 ",753 ,"7,715,670 ",-,-,-,-,64 ,"649,749 ",753 ,"7,715,670 "
10号東岸壁,36 ,"15,607 ",418 ,"182,644 ",-,-,-,-,36 ,"15,607 ",418 ,"182,644 "
東京港フェリーふ頭,29 ,"366,444 ",347 ,"4,384,692 ",-,-,-,-,29 ,"366,444 ",347 ,"4,384,692 "
多目的ふ頭,-,-,26 ,"60,835 ",-,-,-,-,-,-,26 ,"60,835 "
辰巳ふ頭,76 ,"26,671 ",937 ,"329,072 ",-,-,-,-,76 ,"26,671 ",937 ,"329,072 "
青海コンテナふ頭（公共）,144 ,"1,749,792 ","1,598 ","18,897,446 ",94 ,"1,708,961 ","1,059 ","18,452,388 ",50 ,"40,831 ",539 ,"445,058 "
有明ふ頭,3 ,"2,609 ",63 ,"53,851 ",-,-,-,-,3 ,"2,609 ",63 ,"53,851 "
大井水産物ふ頭,-,-,14 ,"143,679 ",-,-,6 ,"70,818 ",-,-,8 ,"72,861 "
大井食品ふ頭（OL）,21 ,"46,611 ",185 ,"890,299 ",2 ,"43,075 ",37 ,"862,231 ",19 ,"3,536 ",148 ,"28,068 "
大井食品ふ頭（OM）,8 ,"71,832 ",102 ,"916,167 ",8 ,"71,832 ",102 ,"916,167 ",-,-,-,-
大井食品ふ頭（ON）,-,-,7 ,"71,992 ",-,-,6 ,"61,473 ",-,-,1 ,"10,519 "
若洲内貿ふ頭,12 ,"120,408 ",140 ,"1,404,760 ",-,-,-,-,12 ,"120,408 ",140 ,"1,404,760 "
15号地木材ふ頭,6 ,"37,439 ",37 ,"411,548 ",2 ,"36,923 ",14 ,"407,267 ",4 ,516 ,23 ,"4,281 "
若洲建材ふ頭,39 ,"23,273 ",390 ,"229,668 ",-,-,-,-,39 ,"23,273 ",390 ,"229,668 "
大井建材ふ頭,102 ,"58,227 ","1,088 ","623,747 ",-,-,-,-,102 ,"58,227 ","1,088 ","623,747 "
城南島建設発生土ふ頭,26 ,"14,456 ",663 ,"442,054 ",-,-,-,-,26 ,"14,456 ",663 ,"442,054 "
中央防波堤内側ばら物ふ頭,5 ,"2,494 ",54 ,"282,050 ",-,-,19 ,"264,384 ",5 ,"2,494 ",35 ,"17,666 "
中央防波堤内側建設発生土ふ頭,11 ,"11,602 ",104 ,"123,463 ",-,-,-,-,11 ,"11,602 ",104 ,"123,463 "
中央防波堤内側内貿ふ頭,19 ,"201,120 ",251 ,"2,647,065 ",-,-,-,-,19 ,"201,120 ",251 ,"2,647,065 "
官公庁（晴海）,-,-,21 ,"62,562 ",-,-,-,-,-,-,21 ,"62,562 "
官公庁（月島）,4 ,792 ,59 ,"11,677 ",-,-,-,-,4 ,792 ,59 ,"11,677 "
官公庁（有明）,-,-,12 ,"29,964 ",-,-,-,-,-,-,12 ,"29,964 "
その他,-,-,1 ,199 ,-,-,-,-,-,-,1 ,199 
東京港埠頭㈱計,382 ,"8,969,708 ","4,447 ","104,797,645 ",255 ,"8,757,615 ","2,995 ","102,300,680 ",127 ,"212,093 ","1,452 ","2,496,965 "
青海コンテナふ頭(埠頭㈱),83 ,"2,078,425 ",919 ,"23,938,945 ",71 ,"2,069,212 ",795 ,"23,785,604 ",12 ,"9,213 ",124 ,"153,341 "
お台場ライナーふ頭,31 ,"203,082 ",421 ,"3,734,611 ",12 ,"140,542 ",164 ,"2,842,670 ",19 ,"62,540 ",257 ,"891,941 "
大井コンテナふ頭,268 ,"6,688,201 ","3,107 ","77,124,089 ",172 ,"6,547,861 ","2,036 ","75,672,406 ",96 ,"140,340 ","1,071 ","1,451,683 "
民間計,716 ,"1,071,507 ","7,986 ","11,825,332 ",26 ,"297,093 ",291 ,"3,141,027 ",690 ,"774,414 ","7,695 ","8,684,305 "
,,,,,,,,,,,,
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
