< 輸  入 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,衣服・身廻品・はきもの,電気機械,製造食品,その他化学工業品,家具装備品
,"2,904,220",100.0%,"377,287","285,149","216,277","179,944","177,558"
,96.9%,,92.7%,101.1%,97.7%,92.8%,95.9%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,その他畜産品,動植物性製造飼肥料,製造食品,製材,野菜・果物
,"372,655",12.8%,"78,214","68,423","40,999","30,910","18,509"
,101.7%,,118.9%,95.3%,106.7%,78.9%,99.0%
北米東岸(カリビア海含む),,,その他畜産品,紙・パ　ル　プ,野菜・果物,その他化学工業品,ゴム製品
,"83,714",2.9%,"16,763","16,464","8,371","5,968","3,543"
,104.0%,,85.9%,92.0%,87.2%,124.8%,299.0%
北欧・地中海,,,製造食品,その他化学工業品,飲料,産業機械,自動車部品
,"149,143",5.1%,"18,662","15,001","14,891","12,111","8,791"
,114.0%,,128.8%,96.6%,95.8%,176.6%,128.4%
南米西岸,,,水産品,野菜・果物,飲料,その他畜産品,動植物性製造飼肥料
,"26,588",0.9%,"12,620","4,008","3,625","1,310","1,200"
,46.8%,,85.8%,43.9%,23.0%,35.2%,70.2%
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,製造食品,その他畜産品,製材,木製品,その他化学工業品
,"17,036",0.6%,"4,068","3,270","2,667","2,504","1,034"
,108.2%,,63.6%,202.9%,158.3%,94.3%,184.6%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,衣服・身廻品・はきもの,電気機械,家具装備品,その他化学工業品,製造食品
,"1,272,130",43.8%,"174,363","158,745","101,373","96,096","78,655"
,113.5%,,105.6%,117.1%,113.5%,101.1%,106.3%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,その他化学工業品,製造食品,産業機械,飲料,木製品
,"134,670",4.6%,"18,999","17,591","7,365","7,344","7,192"
,92.3%,,89.8%,102.2%,103.3%,55.8%,104.5%
中国(香港含む),,,衣服・身廻品・はきもの,電気機械,家具装備品,製造食品,金属製品
,"848,284",29.2%,"189,350","112,665","63,164","52,545","46,486"
,80.4%,,84.2%,84.8%,77.2%,79.2%,101.2%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
