（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"1,123,452",95.9%,"12,770,411",98.6%,100.0%
1,中国,"313,922",102.3%,"3,620,834",92.1%,28.4%
,(香港),"41,319",77.5%,"478,327",81.3%,3.7%
2,アメリカ,"279,413",113.5%,"2,841,018",101.3%,22.2%
3,タイ,"64,712",84.9%,"889,159",101.0%,7.0%
4,台湾,"56,330",67.8%,"625,111",88.6%,4.9%
5,ベトナム,"46,193",82.2%,"557,756",90.0%,4.4%
6,オランダ,"65,616",138.1%,"555,357",107.4%,4.3%
7,マレーシア,"42,026",102.5%,"525,563",138.3%,4.1%
8,韓国,"38,661",77.1%,"500,606",98.6%,3.9%
9,インドネシア,"31,811",79.9%,"432,777",123.9%,3.4%
10,インド,"32,168",87.9%,"356,363",100.1%,2.8%
11,ドイツ,"25,455",136.7%,"246,914",114.6%,1.9%
12,フィリピン,"19,357",106.5%,"243,835",108.0%,1.9%
13,シンガポール,"20,940",99.2%,"241,399",99.2%,1.9%
14,イギリス,"13,285",76.4%,"168,711",96.6%,1.3%
15,カナダ,"7,338",58.1%,"145,826",83.0%,1.1%
16,ロシア,"8,057",42.4%,"89,113",92.0%,0.7%
17,ブラジル,"6,038",92.5%,"71,954",95.2%,0.6%
18,フランス,"6,869",114.7%,"68,708",100.9%,0.5%
19,アラブ首長国,"4,202",102.6%,"65,972",92.1%,0.5%
20,オーストラリア,"4,518",84.7%,"52,610",84.8%,0.4%
,その他,"36,541",61.8%,"470,825",95.9%,3.7%
,,,,,,
