"年度[西暦]","処理内容","建築基準法根拠規定別同意件数[件]"
"2017","同意 第43条接道義務の許可","0"
"2017","同意 第44条道路内建築制限の許可","9"
"2017","同意 第48条用途制限の許可","1"
"2017","同意 第52条容積率制限の許可","0"
"2017","同意 第56条の２日影による高さ制限の許可","1"
"2017","同意 第58条高度地区斜線制限の許可","0"
"2017","同意 第59条の２総合設計の許可","0"
"2017","同意 第68条の３再開発地区計画区域内の許可","1"
"2017","同意 その他","0"
"2017","同意 合計","12"
"2017","審査請求 審査請求件数","1"
"2017","審査請求 裁決件数","2"
"2017","審査請求 取下げ件数","0"
"2017","審査請求 審理中（年度末時点）","0"
"2018","同意 第43条接道義務の許可","0"
"2018","同意 第44条道路内建築制限の許可","20"
"2018","同意 第48条用途制限の許可","0"
"2018","同意 第52条容積率制限の許可","0"
"2018","同意 第56条の２日影による高さ制限の許可","1"
"2018","同意 第58条高度地区斜線制限の許可","0"
"2018","同意 第59条の２総合設計の許可","0"
"2018","同意 第68条の３再開発地区計画区域内の許可","0"
"2018","同意 その他","0"
"2018","同意 合計","21"
"2018","審査請求 審査請求件数","0"
"2018","審査請求 裁決件数","0"
"2018","審査請求 取下げ件数","0"
"2018","審査請求 審理中（年度末時点）","0"
"2019","同意 第43条接道義務の許可","1"
"2019","同意 第44条道路内建築制限の許可","11"
"2019","同意 第48条用途制限の許可","0"
"2019","同意 第52条容積率制限の許可","0"
"2019","同意 第56条の２日影による高さ制限の許可","0"
"2019","同意 第58条高度地区斜線制限の許可","0"
"2019","同意 第59条の２総合設計の許可","0"
"2019","同意 第68条の３再開発地区計画区域内の許可","0"
"2019","同意 その他","0"
"2019","同意 合計","12"
"2019","審査請求 審査請求件数","1"
"2019","審査請求 裁決件数","1"
"2019","審査請求 取下げ件数","0"
"2019","審査請求 審理中（年度末時点）","0"
"2020","同意 第43条接道義務の許可","2"
"2020","同意 第44条道路内建築制限の許可","18"
"2020","同意 第48条用途制限の許可","0"
"2020","同意 第52条容積率制限の許可","0"
"2020","同意 第56条の２日影による高さ制限の許可","1"
"2020","同意 第58条高度地区斜線制限の許可","0"
"2020","同意 第59条の２総合設計の許可","0"
"2020","同意 第68条の３再開発地区計画区域内の許可","0"
"2020","同意 その他","3"
"2020","同意 合計","24"
"2020","審査請求 審査請求件数","0"
"2020","審査請求 裁決件数","0"
"2020","審査請求 取下げ件数","0"
"2020","審査請求 審理中（年度末時点）","0"
"2021","同意 第43条接道義務の許可","0"
"2021","同意 第44条道路内建築制限の許可","15"
"2021","同意 第48条用途制限の許可","0"
"2021","同意 第52条容積率制限の許可","0"
"2021","同意 第56条の２日影による高さ制限の許可","0"
"2021","同意 第58条高度地区斜線制限の許可","0"
"2021","同意 第59条の２総合設計の許可","0"
"2021","同意 第68条の３再開発地区計画区域内の許可","0"
"2021","同意 その他","0"
"2021","同意 合計","15"
"2021","審査請求 審査請求件数","0"
"2021","審査請求 裁決件数","0"
"2021","審査請求 取下げ件数","0"
"2021","審査請求 審理中（年度末時点）","0"

"令和4年度港区行政資料集　建築審査会処理状況","Ver202203",
