"年月日[西暦]","地区","学童クラブ名","定員[人]","電話番号","FAX番号","所在地","運営事業者","所管課"
"20240401","芝","神明子ども中高生プラザ学童クラブ","110","03-5733-5199","03-6809-2625","東京都港区浜松町一丁目6番7号","（株）日本保育サービス","芝地区総合支所管理課施設運営担当"
"20240401","芝","放課ＧＯ→学童クラブおなりもん","35","03-3431-2767","03-3431-2767","東京都港区芝公園三丁目2番4号御成門小学校内","（株）プロケア","芝地区総合支所管理課施設運営担当"
"20240401","芝","放課ＧＯ→学童クラブしば","150","03-3456-5082","03-3456-5082","東京都港区芝二丁目21番3号芝小学校内","（株）日本保育サービス","芝地区総合支所管理課施設運営担当"
"20240401","芝","放課ＧＯ→学童クラブあかばね","77","03-5443-0331","03-5443-0331","東京都港区三田二丁目6番2号赤羽小学校内","（株）プロケア","芝地区総合支所管理課施設運営担当"
"20240401","麻布","飯倉学童クラブ","66","03-3583-6355","03-3583-4364","東京都港区東麻布一丁目21番2号","区直営","麻布地区総合支所管理課施設運営担当"
"20240401","麻布","麻布子ども中高生プラザ学童クラブ","80","03-5447-0611","03-5447-0612","東京都港区南麻布四丁目6番7号","（公財）児童育成協会","麻布地区総合支所管理課施設運営担当"
"20240401","麻布","放課ＧＯ→学童クラブあざぶ","36","03-3583-5883","03-3583-5883","東京都港区麻布台一丁目5番15号麻布小学校内","（株）パソナフォスター","麻布地区総合支所管理課施設運営担当"
"20240401","麻布","放課ＧＯ→学童クラブなんざん","70","03-3470-9699","03-3470-9699","東京都港区元麻布三丁目8番15号南山小学校内","ミアヘルサ（株）","麻布地区総合支所管理課施設運営担当"
"20240401","麻布","放課ＧＯ→学童クラブほんむら","52","03-3473-4781","03-3473-4781","東京都港区南麻布三丁目9番33号本村小学校内","（株）プロケア","麻布地区総合支所管理課施設運営担当"
"20240401","麻布","放課ＧＯ→学童クラブこうがい","100","03-3404-3301","03-3404-3301","東京都港区西麻布三丁目11番16号笄小学校内","（株）パソナフォスター","麻布地区総合支所管理課施設運営担当"
"20240401","麻布","放課ＧＯ→学童クラブひがしまち","25","03-3451-7728","03-3451-7728","東京都港区南麻布一丁目8番11号東町小学校内","（株）日本保育サービス","麻布地区総合支所管理課施設運営担当"
"20240401","麻布","東麻布学童クラブ","64","03-3568-1042","03-3568-1046","東京都港区東麻布二丁目1番1号東麻布二丁目複合施設内","キッズベースキャンプ　コンソーシアム","麻布地区総合支所管理課施設運営担当"
"20240401","麻布","南麻布学童クラブ","120","03-6809-5291","03-6809-5292","東京都港区南麻布二丁目11番10号ＯＪビル4階","キッズベースキャンプ　コンソーシアム","麻布地区総合支所管理課施設運営担当"
"20240401","赤坂","赤坂子ども中高生プラザ学童クラブ","120","03-5561-7830","03-5561-7836","東京都港区赤坂六丁目6番14号","（福）東京聖労院","赤坂地区総合支所管理課施設運営担当"
"20240401","赤坂","赤坂子ども中高生プラザ青山館学童クラブ","80","03-5786-6567","03-3408-1722","東京都港区北青山三丁目4番1号　201号","（福）東京聖労院","赤坂地区総合支所管理課施設運営担当"
"20240401","赤坂","放課ＧＯ→学童クラブあかさか","54","03-3404-6931","03-3404-6931","東京都港区赤坂八丁目13番29号赤坂小学校内","（株）日本保育サービス","赤坂地区総合支所管理課施設運営担当"
"20240401","赤坂","放課ＧＯ→学童クラブあおやま","40","03-5474-2760","03-5474-2760","東京都港区南青山二丁目21番2号青山小学校内","（株）明日葉","赤坂地区総合支所管理課施設運営担当"
"20240401","赤坂","放課ＧＯ→学童クラブせいなん","120","03-3404-8610","03-3404-7013","東京都港区南青山四丁目19番7号","（株）パソナフォスター","赤坂地区総合支所管理課施設運営担当"
"20240401","高輪","豊岡児童館学童クラブ","76","03-3453-1592","03-3453-0624","東京都港区三田五丁目7番7号","区直営","高輪地区総合支所管理課施設運営担当"
"20240401","高輪","高輪児童館学童クラブ","55","03-3449-1642","03-3449-0819","東京都港区高輪三丁目18番15号","区直営","高輪地区総合支所管理課施設運営担当"
"20240401","高輪","白金台児童館学童クラブ","66","03-3444-1899","03-3444-1647","東京都港区白金台四丁目8番5号","区直営","高輪地区総合支所管理課施設運営担当"
"20240401","高輪","高輪子ども中高生プラザ学童クラブ","77","03-3443-1555","03-3443-3433","東京都港区高輪一丁目4番35号","（一財）本所賀川記念館","高輪地区総合支所管理課施設運営担当"
"20240401","高輪","放課ＧＯ→学童クラブみた","40","03-3445-9200","03-3445-9200","東京都港区白金三丁目18番2号御田小学校仮校舎（旧三光小学校）内","（株）プロケア","高輪地区総合支所管理課施設運営担当"
"20240401","高輪","放課ＧＯ→学童クラブたかなわだい","40","03-5449-6911","03-5449-6912","東京都港区高輪二丁目8番24号高輪台小学校内","ミアヘルサ（株）","高輪地区総合支所管理課施設運営担当"
"20240401","高輪","放課ＧＯ→学童クラブしろかね","40","03-3440-4321","03-3440-4321","東京都港区白金台一丁目4番26号白金小学校内","（株）プロケア","高輪地区総合支所管理課施設運営担当"
"20240401","高輪","放課ＧＯ→学童クラブしろかねのおか","80","03-3441-8395","03-3441-5539","東京都港区白金四丁目1番12号白金の丘学園白金の丘小学校内","労働者協同組合ワーカーズコープ・センター事業団","高輪地区総合支所管理課施設運営担当"
"20240401","高輪","桂坂学童クラブ","200","03-6455-7973","03-6455-7974","東京都港区高輪二丁目12番24号高輪桂坂ビル","ミアヘルサ（株）","高輪地区総合支所管理課施設運営担当"
"20240401","高輪","神応学童クラブ","170","03-5422-7535","03-5447-0068","東京都港区白金六丁目9番5号神応ほっとプラザ3階","労働者協同組合ワーカーズコープ・センター事業団","高輪地区総合支所管理課施設運営担当"
