区分,総数,総数割合,何らかの活動に参加,何らかの活動に参加割合,参加した分野／障害者、高齢者等の支援などの福祉、医療に関する活動,参加した分野／障害者、高齢者等の支援などの福祉、医療に関する活動割合,参加した分野／講演会、教室・学習会、展覧会等の企画・運営、手伝いなどの教育、文化に関する活動,参加した分野／講演会、教室・学習会、展覧会等の企画・運営、手伝いなどの教育、文化に関する活動割合,参加した分野／スポーツ大会などのスポーツ、運動に関する活動,参加した分野／スポーツ大会などのスポーツ、運動に関する活動割合,参加した分野／お祭り、町会・自治会などの地域の活動,参加した分野／お祭り、町会・自治会などの地域の活動割合,参加した分野／企業の商品やサービスの開発・販売促進への協力,参加した分野／企業の商品やサービスの開発・販売促進への協力割合,参加した分野／その他,参加した分野／その他割合,特にない,特にない割合,無回答,無回答割合
障害者等総数,1463,100,469,32.1,182,12.4,150,10.3,124,8.5,191,13.1,86,5.9,33,2.3,767,52.4,227,15.5
身体障害者,914,100,280,30.6,100,10.9,86,9.4,72,7.9,112,12.3,52,5.7,24,2.6,471,51.5,163,17.8
知的障害者,362,100,83,22.9,27,7.5,14,3.9,23,6.4,35,9.7,11,3,7,1.9,216,59.7,63,17.4
精神障害者,241,100,81,33.6,40,16.6,25,10.4,18,7.5,27,11.2,15,6.2,6,2.5,117,48.5,43,17.8
自立支援医療受給者,108,100,45,41.7,29,26.9,12,11.1,10,9.3,12,11.1,11,10.2,3,2.8,55,50.9,8,7.4
難病医療費助成者,316,100,133,42.1,59,18.7,57,18,37,11.7,57,18,19,6,7,2.2,154,48.7,29,9.2
医療費助成対象外の難病患者,22,100,11,50,4,18.2,3,13.6,2,9.1,6,27.3,3,13.6,1,4.5,8,36.4,3,13.6
発達障害と診断,30,100,11,36.7,4,13.3,3,10,2,6.7,4,13.3,2,6.7,1,3.3,14,46.7,5,16.7
高次脳機能障害と診断,25,100,10,40,2,8,1,4,2,8,3,12,4,16,1,4,10,40,5,20
認知症と診断,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,80,2,20
