区分,総数,総数割合,何らかの活動に参加,何らかの活動に参加割合,参加した分野／障害者、高齢者等の支援などの福祉、医療に関する活動,参加した分野／障害者、高齢者等の支援などの福祉、医療に関する活動割合,参加した分野／講演会、教室・学習会、展覧会等の企画・運営、手伝いなどの教育、文化に関する活動,参加した分野／講演会、教室・学習会、展覧会等の企画・運営、手伝いなどの教育、文化に関する活動割合,参加した分野／スポーツ大会などのスポーツ、運動に関する活動,参加した分野／スポーツ大会などのスポーツ、運動に関する活動割合,参加した分野／お祭り、町会・自治会などの地域の活動,参加した分野／お祭り、町会・自治会などの地域の活動割合,参加した分野／企業の商品やサービスの開発・販売促進への協力,参加した分野／企業の商品やサービスの開発・販売促進への協力割合,参加した分野／その他,参加した分野／その他割合,特にない,特にない割合,無回答,無回答割合
障害者等総数,1463,100,461,31.5,131,9,117,8,73,5,248,17,25,1.7,58,4,795,54.3,207,14.1
身体障害者,914,100,271,29.6,78,8.5,76,8.3,44,4.8,148,16.2,14,1.5,28,3.1,492,53.8,151,16.5
知的障害者,362,100,75,20.7,21,5.8,10,2.8,15,4.1,38,10.5,3,0.8,14,3.9,230,63.5,57,15.7
精神障害者,241,100,79,32.8,29,12,14,5.8,12,5,31,12.9,6,2.5,14,5.8,119,49.4,43,17.8
自立支援医療受給者,108,100,36,33.3,15,13.9,9,8.3,3,2.8,14,13,2,1.9,8,7.4,65,60.2,7,6.5
難病医療費助成者,316,100,135,42.7,34,10.8,32,10.1,19,6,84,26.6,5,1.6,15,4.7,154,48.7,27,8.5
医療費助成対象外の難病患者,22,100,11,50,2,9.1,3,13.6,1,4.5,6,27.3,0,0,2,9.1,6,27.3,5,22.7
発達障害と診断,30,100,11,36.7,3,10,4,13.3,1,3.3,5,16.7,1,3.3,2,6.7,16,53.3,3,10
,100,25,36.7,6,10,2,13.3,2,3.3,1,16.7,4,3.3,1,6.7,0,53.3,14,10,5
高次脳機能障害と診断,25,100,6,24,2,8,2,8,1,4,4,16,1,4,0,0,14,56,5,20
認知症と診断,10,100,4,40,2,20,1,10,0,0,3,30,0,0,0,0,4,40,2,20
