区分,総数,総数割合,何らかの活動に参加,何らかの活動に参加割合,参加した分野／障害者、高齢者等の支援などの福祉、医療に関する活動,参加した分野／障害者、高齢者等の支援などの福祉、医療に関する活動割合,参加した分野／講演会、教室・学習会、展覧会等の企画・運営、手伝いなどの教育、文化に関する活動,参加した分野／講演会、教室・学習会、展覧会等の企画・運営、手伝いなどの教育、文化に関する活動割合,参加した分野／スポーツ大会などのスポーツ、運動に関する活動,参加した分野／スポーツ大会などのスポーツ、運動に関する活動割合,参加した分野／お祭り、町会・自治会などの地域の活動,参加した分野／お祭り、町会・自治会などの地域の活動割合,参加した分野／企業の商品やサービスの開発・販売促進への協力,参加した分野／企業の商品やサービスの開発・販売促進への協力割合,参加した分野／その他,参加した分野／その他割合,特にない,特にない割合,無回答,無回答割合
身体障害者総数,914,100,271,29.6,78,8.5,76,8.3,44,4.8,148,16.2,14,1.5,28,3.1,492,53.8,151,16.5
視覚,119,100,34,28.6,9,7.6,10,8.4,7,5.9,17,14.3,0,0,5,4.2,67,56.3,18,15.1
聴覚,133,100,48,36.1,11,8.3,17,12.8,12,9,21,15.8,3,2.3,6,4.5,63,47.4,22,16.5
平衡機能,28,100,5,17.9,0,0,1,3.6,0,0,5,17.9,1,3.6,0,0,13,46.4,10,35.7
音声機能・言語機能・そしゃく機能,93,100,25,26.9,9,9.7,9,9.7,2,2.2,12,12.9,0,0,2,2.2,55,59.1,13,14
上肢,175,100,35,20,15,8.6,12,6.9,6,3.4,13,7.4,3,1.7,3,1.7,108,61.7,32,18.3
下肢,261,100,64,24.5,23,8.8,18,6.9,4,1.5,32,12.3,3,1.1,5,1.9,149,57.1,48,18.4
体幹,105,100,18,17.1,10,9.5,2,1.9,0,0,6,5.7,1,1,3,2.9,61,58.1,26,24.8
脳原性運動機能,72,100,15,20.8,7,9.7,4,5.6,3,4.2,5,6.9,1,1.4,2,2.8,45,62.5,12,16.7
内部障害,259,100,89,34.4,21,8.1,23,8.9,14,5.4,57,22,5,1.9,7,2.7,132,51,38,14.7
