区分,総数,総数割合,外出支援（同行援護、重度訪問介護、行動援護、盲ろう者通訳、介助者派遣など）を利用している,外出支援（同行援護、重度訪問介護、行動援護、盲ろう者通訳、介助者派遣など）を利用している割合,補装具（車椅子、義肢、杖、白杖、補聴器など）を使用している,補装具（車椅子、義肢、杖、白杖、補聴器など）を使用している割合,補助犬（盲導犬、介助犬、聴導犬）と一緒に外出している,補助犬（盲導犬、介助犬、聴導犬）と一緒に外出している割合,特にない,特にない割合,無回答,無回答割合
障害者等総数,1463,100,217,14.8,384,26.2,1,0.1,862,58.9,103,7
身体障害者,914,100,155,17,355,38.8,1,0.1,445,48.7,54,5.9
知的障害者,362,100,118,32.6,92,25.4,0,0,180,49.7,16,4.4
精神障害者,241,100,36,14.9,49,20.3,0,0,160,66.4,15,6.2
自立支援医療受給者,108,100,12,11.1,15,13.9,0,0,84,77.8,3,2.8
難病医療費助成者,316,100,20,6.3,53,16.8,0,0,225,71.2,30,9.5
医療費助成対象外の難病患者,22,100,4,18.2,7,31.8,0,0,12,54.5,2,9.1
発達障害と診断,30,100,1,3.3,4,13.3,0,0,23,76.7,2,6.7
高次脳機能障害と診断,25,100,5,20,10,40,0,0,9,36,4,16
認知症と診断,10,100,4,40,4,40,0,0,3,30,1,10
