区分,総数,総数割合,スタジアム、体育館などの建物や設備のバリアフリー化,スタジアム、体育館などの建物や設備のバリアフリー化割合,交通機関やまちのバリアフリー化,交通機関やまちのバリアフリー化割合,会場までの送迎,会場までの送迎割合,障害者に配慮した観戦席の充実,障害者に配慮した観戦席の充実割合,介助者や手話通訳などの支援,介助者や手話通訳などの支援割合,テレビ・インターネット等の文字情報、字幕の対応,テレビ・インターネット等の文字情報、字幕の対応割合,情報機器操作の支援,情報機器操作の支援割合,障害に対応した情報の提供や問合せ方法の充実,障害に対応した情報の提供や問合せ方法の充実割合,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進割合,一緒に観戦する仲間,一緒に観戦する仲間割合,観戦料の減免,観戦料の減免割合,その他,その他割合,特にない,特にない割合,観戦したいと思わない,観戦したいと思わない割合,わからない,わからない割合,無回答,無回答割合
身体障害者総数,914,100,232,25.4,168,18.4,157,17.2,197,21.6,57,6.2,105,11.5,12,1.3,78,8.5,65,7.1,79,8.6,168,18.4,12,1.3,165,18.1,40,4.4,43,4.7,101,11.1
視覚,119,100,30,25.2,22,18.5,22,18.5,31,26.1,8,6.7,12,10.1,3,2.5,15,12.6,7,5.9,13,10.9,13,10.9,0,0,15,12.6,10,8.4,6,5,15,12.6
聴覚,133,100,18,13.5,9,6.8,16,12,20,15,15,11.3,54,40.6,4,3,19,14.3,13,9.8,10,7.5,21,15.8,1,0.8,18,13.5,4,3,10,7.5,13,9.8
平衡機能,28,100,7,25,6,21.4,8,28.6,2,7.1,3,10.7,3,10.7,1,3.6,3,10.7,3,10.7,4,14.3,4,14.3,0,0,6,21.4,1,3.6,2,7.1,5,17.9
音声機能・言語機能・そしゃく機能,93,100,21,22.6,14,15.1,21,22.6,22,23.7,8,8.6,4,4.3,1,1.1,8,8.6,2,2.2,10,10.8,18,19.4,0,0,22,23.7,4,4.3,5,5.4,7,7.5
上肢,175,100,67,38.3,48,27.4,38,21.7,48,27.4,15,8.6,10,5.7,3,1.7,19,10.9,18,10.3,14,8,27,15.4,3,1.7,22,12.6,10,5.7,8,4.6,16,9.1
下肢,261,100,102,39.1,73,28,61,23.4,67,25.7,13,5,15,5.7,3,1.1,25,9.6,21,8,17,6.5,45,17.2,7,2.7,34,13,12,4.6,10,3.8,25,9.6
体幹,105,100,42,40,31,29.5,30,28.6,38,36.2,10,9.5,7,6.7,0,0,10,9.5,9,8.6,3,2.9,13,12.4,1,1,10,9.5,6,5.7,6,5.7,9,8.6
脳原性運動機能,72,100,34,47.2,24,33.3,18,25,27,37.5,13,18.1,3,4.2,3,4.2,6,8.3,12,16.7,9,12.5,15,20.8,2,2.8,6,8.3,3,4.2,3,4.2,3,4.2
内部障害,259,100,56,21.6,38,14.7,30,11.6,41,15.8,4,1.5,19,7.3,1,0.4,17,6.6,17,6.6,21,8.1,59,22.8,3,1.2,65,25.1,8,3.1,11,4.2,32,12.4
