区分,総数,総数割合,活動したいが、身体的にできない,活動したいが、身体的にできない割合,活動したいが、身近なところにスポーツや運動がやれる所がない,活動したいが、身近なところにスポーツや運動がやれる所がない割合,活動したいが、自分に合ったスポーツや運動の情報がない,活動したいが、自分に合ったスポーツや運動の情報がない割合,活動したいが、一緒にやる人がいない,活動したいが、一緒にやる人がいない割合,活動したいが、時間がない,活動したいが、時間がない割合,その他,その他割合,活動したいと思わない,活動したいと思わない割合,無回答,無回答割合
障害者等総数,431,100,219,50.8,34,7.9,41,9.5,37,8.6,43,10,44,10.2,90,20.9,11,2.6
Q29保有している手帳、難病医療費助成、障害の診断／身体障害者,291,100,175,60.1,24,8.2,22,7.6,20,6.9,21,7.2,29,10,51,17.5,10,3.4
Q29保有している手帳、難病医療費助成、障害の診断／知的障害者,122,100,49,40.2,12,9.8,16,13.1,16,13.1,10,8.2,13,10.7,33,27,1,0.8
Q29保有している手帳、難病医療費助成、障害の診断／精神障害者,81,100,39,48.1,9,11.1,9,11.1,5,6.2,8,9.9,5,6.2,23,28.4,3,3.7
Q29保有している手帳、難病医療費助成、障害の診断／自立支援医療受給者,33,100,16,48.5,3,9.1,4,12.1,5,15.2,4,12.1,1,3,8,24.2,1,3
Q29保有している手帳、難病医療費助成、障害の診断／難病医療費助成者,82,100,53,64.6,3,3.7,5,6.1,4,4.9,11,13.4,7,8.5,13,15.9,2,2.4
Q29保有している手帳、難病医療費助成、障害の診断／医療費助成対象外の難病患者,9,100,7,77.8,0,0,0,0,0,0,3,33.3,1,11.1,1,11.1,0,0
Q29保有している手帳、難病医療費助成、障害の診断／発達障害と診断,10,100,1,10,0,0,4,40,1,10,0,0,2,20,3,30,0,0
Q29保有している手帳、難病医療費助成、障害の診断／高次脳機能障害と診断,7,100,5,71.4,1,14.3,1,14.3,0,0,0,0,2,28.6,0,0,0,0
Q29保有している手帳、難病医療費助成、障害の診断／認知症と診断,5,100,2,40,0,0,0,0,0,0,0,0,1,20,2,40,0,0
Q2年代／10代,3,100,1,33.3,0,0,1,33.3,1,33.3,1,33.3,0,0,0,0,0,0
Q2年代／20代,55,100,12,21.8,12,21.8,14,25.5,12,21.8,9,16.4,5,9.1,15,27.3,0,0
Q2年代／30代,38,100,17,44.7,1,2.6,5,13.2,4,10.5,4,10.5,7,18.4,9,23.7,0,0
Q2年代／40代,55,100,23,41.8,6,10.9,6,10.9,10,18.2,11,20,1,1.8,12,21.8,0,0
Q2年代／50代,52,100,26,50,5,9.6,5,9.6,3,5.8,11,21.2,2,3.8,12,23.1,1,1.9
Q2年代／60代,73,100,40,54.8,2,2.7,4,5.5,3,4.1,5,6.8,8,11,15,20.5,5,6.8
Q2年代／70代,77,100,50,64.9,4,5.2,3,3.9,3,3.9,1,1.3,6,7.8,16,20.8,4,5.2
Q2年代／80代以上,76,100,48,63.2,4,5.3,3,3.9,1,1.3,1,1.3,15,19.7,11,14.5,1,1.3
