区分,総数,総数割合,文化、芸術活動を行う施設のバリアフリー化,文化、芸術活動を行う施設のバリアフリー化割合,交通機関やまちのバリアフリー化,交通機関やまちのバリアフリー化割合,活動の場までの送迎,活動の場までの送迎割合,活動できる場の充実,活動できる場の充実割合,障害にあわせたプログラムの充実,障害にあわせたプログラムの充実割合,介助者や手話通訳などの支援,介助者や手話通訳などの支援割合,障害に対応した情報の提供や問合せ方法の充実,障害に対応した情報の提供や問合せ方法の充実割合,施設や用具等を利用する際に必要な手続きの支援,施設や用具等を利用する際に必要な手続きの支援割合,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進割合,適切な指導者,適切な指導者割合,一緒に行う仲間,一緒に行う仲間割合,用具等の貸出,用具等の貸出割合,施設の利用料減免,施設の利用料減免割合,その他,その他割合,特にない,特にない割合,活動したいと思わない,活動したいと思わない割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1463,100,222,15.2,217,14.8,207,14.1,194,13.3,188,12.9,100,6.8,164,11.2,67,4.6,69,4.7,246,16.8,223,15.2,58,4,238,16.3,27,1.8,286,19.5,63,4.3,109,7.5,157,10.7
身体障害者,914,100,176,19.3,167,18.3,141,15.4,104,11.4,105,11.5,79,8.6,98,10.7,42,4.6,44,4.8,122,13.3,119,13,30,3.3,133,14.6,17,1.9,159,17.4,44,4.8,65,7.1,116,12.7
知的障害者,362,100,47,13,46,12.7,71,19.6,55,15.2,77,21.3,38,10.5,49,13.5,26,7.2,24,6.6,78,21.5,63,17.4,7,1.9,47,13,7,1.9,48,13.3,13,3.6,38,10.5,35,9.7
精神障害者,241,100,28,11.6,33,13.7,32,13.3,45,18.7,31,12.9,10,4.1,33,13.7,13,5.4,12,5,41,17,44,18.3,18,7.5,58,24.1,5,2.1,37,15.4,8,3.3,18,7.5,36,14.9
自立支援医療受給者,108,100,10,9.3,16,14.8,22,20.4,24,22.2,22,20.4,11,10.2,21,19.4,7,6.5,5,4.6,27,25,24,22.2,13,12,38,35.2,5,4.6,13,12,6,5.6,4,3.7,6,5.6
難病医療費助成者,316,100,38,12,46,14.6,38,12,44,13.9,26,8.2,8,2.5,23,7.3,9,2.8,12,3.8,59,18.7,40,12.7,15,4.7,49,15.5,5,1.6,98,31,9,2.8,16,5.1,30,9.5
医療費助成対象外の難病患者,22,100,0,0,1,4.5,4,18.2,1,4.5,1,4.5,0,0,3,13.6,1,4.5,0,0,3,13.6,4,18.2,2,9.1,5,22.7,0,0,4,18.2,0,0,2,9.1,4,18.2
発達障害と診断,30,100,2,6.7,3,10,3,10,4,13.3,5,16.7,2,6.7,8,26.7,4,13.3,4,13.3,8,26.7,7,23.3,5,16.7,7,23.3,3,10,3,10,2,6.7,2,6.7,0,0
高次脳機能障害と診断,25,100,6,24,4,16,8,32,2,8,8,32,2,8,1,4,0,0,2,8,6,24,5,20,0,0,4,16,1,4,0,0,0,0,0,0,4,16
認知症と診断,10,100,2,20,2,20,3,30,1,10,0,0,1,10,1,10,0,0,1,10,1,10,0,0,0,0,0,0,0,0,1,10,2,20,1,10,2,20
