区分,総数,総数割合,スタジアム、体育館などの建物や設備のバリアフリー化,スタジアム、体育館などの建物や設備のバリアフリー化割合,交通機関やまちのバリアフリー化,交通機関やまちのバリアフリー化割合,会場までの送迎,会場までの送迎割合,障害者に配慮した観戦席の充実,障害者に配慮した観戦席の充実割合,介助者や手話通訳などの支援,介助者や手話通訳などの支援割合,テレビ・インターネット等の文字情報、字幕の対応,テレビ・インターネット等の文字情報、字幕の対応割合,情報機器操作の支援,情報機器操作の支援割合,障害に対応した情報の提供や問合せ方法の充実,障害に対応した情報の提供や問合せ方法の充実割合,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進割合,一緒に観戦する仲間,一緒に観戦する仲間割合,観戦料の減免,観戦料の減免割合,その他,その他割合,特にない,特にない割合,観戦したいと思わない,観戦したいと思わない割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1463,100,322,22,241,16.5,237,16.2,317,21.7,78,5.3,135,9.2,22,1.5,140,9.6,108,7.4,170,11.6,295,20.2,18,1.2,277,18.9,76,5.2,76,5.2,147,10
身体障害者,914,100,232,25.4,168,18.4,157,17.2,197,21.6,57,6.2,105,11.5,12,1.3,78,8.5,65,7.1,79,8.6,168,18.4,12,1.3,165,18.1,40,4.4,43,4.7,101,11.1
知的障害者,362,100,73,20.2,50,13.8,71,19.6,112,30.9,30,8.3,19,5.2,6,1.7,36,9.9,33,9.1,69,19.1,76,21,3,0.8,42,11.6,33,9.1,24,6.6,36,9.9
精神障害者,241,100,45,18.7,39,16.2,41,17,52,21.6,13,5.4,21,8.7,5,2.1,35,14.5,17,7.1,35,14.5,63,26.1,3,1.2,37,15.4,8,3.3,14,5.8,31,12.9
自立支援医療受給者,108,100,15,13.9,15,13.9,15,13.9,27,25,10,9.3,11,10.2,7,6.5,18,16.7,7,6.5,22,20.4,43,39.8,1,0.9,18,16.7,11,10.2,4,3.7,5,4.6
難病医療費助成者,316,100,71,22.5,63,19.9,49,15.5,51,16.1,7,2.2,18,5.7,2,0.6,18,5.7,18,5.7,30,9.5,58,18.4,7,2.2,89,28.2,9,2.8,15,4.7,24,7.6
医療費助成対象外の難病患者,22,100,3,13.6,3,13.6,5,22.7,4,18.2,1,4.5,2,9.1,0,0,1,4.5,1,4.5,1,4.5,3,13.6,0,0,4,18.2,0,0,1,4.5,4,18.2
発達障害と診断,30,100,4,13.3,3,10,4,13.3,10,33.3,3,10,7,23.3,2,6.7,6,20,4,13.3,6,20,9,30,0,0,2,6.7,4,13.3,3,10,1,3.3
高次脳機能障害と診断,25,100,8,32,7,28,7,28,7,28,2,8,1,4,0,0,4,16,1,4,3,12,8,32,0,0,1,4,1,4,0,0,5,20
認知症と診断,10,100,3,30,1,10,4,40,3,30,1,10,0,0,0,0,1,10,1,10,0,0,0,0,0,0,2,20,0,0,1,10,1,10
