区分,総数,総数割合,活動場所のバリアフリー化,活動場所のバリアフリー化割合,交通機関やまちのバリアフリー化,交通機関やまちのバリアフリー化割合,活動の場までの送迎,活動の場までの送迎割合,介助者や手話通訳などの支援,介助者や手話通訳などの支援割合,障害に対応した情報の提供や問合せ方法の充実,障害に対応した情報の提供や問合せ方法の充実割合,施設等を利用する際に必要な手続きの支援,施設等を利用する際に必要な手続きの支援割合,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進割合,一緒に行う仲間,一緒に行う仲間割合,ボランティア活動に関する情報提供の充実,ボランティア活動に関する情報提供の充実割合,その他,その他割合,特にない,特にない割合,活動したいと思わない,活動したいと思わない割合,わからない,わからない割合,無回答,無回答割合
身体障害者総数,914,100,96,10.5,99,10.8,96,10.5,51,5.6,106,11.6,47,5.1,47,5.1,113,12.4,108,11.8,20,2.2,162,17.7,101,11.1,120,13.1,188,20.6
視覚,119,100,13,10.9,11,9.2,16,13.4,11,9.2,18,15.1,7,5.9,5,4.2,19,16,5,4.2,1,0.8,19,16,18,15.1,10,8.4,26,21.8
聴覚,133,100,4,3,6,4.5,7,5.3,19,14.3,22,16.5,6,4.5,12,9,14,10.5,19,14.3,5,3.8,20,15,20,15,15,11.3,28,21.1
平衡機能,28,100,4,14.3,3,10.7,1,3.6,1,3.6,2,7.1,0,0,1,3.6,1,3.6,3,10.7,4,14.3,2,7.1,1,3.6,2,7.1,13,46.4
音声機能・言語機能・そしゃく機能,93,100,7,7.5,6,6.5,8,8.6,10,10.8,11,11.8,5,5.4,2,2.2,11,11.8,8,8.6,6,6.5,19,20.4,9,9.7,14,15.1,18,19.4
上肢,175,100,29,16.6,32,18.3,23,13.1,9,5.1,20,11.4,5,2.9,14,8,24,13.7,22,12.6,7,4,20,11.4,16,9.1,25,14.3,35,20
下肢,261,100,39,14.9,46,17.6,31,11.9,8,3.1,24,9.2,10,3.8,12,4.6,32,12.3,27,10.3,8,3.1,36,13.8,24,9.2,35,13.4,63,24.1
体幹,105,100,18,17.1,18,17.1,11,10.5,7,6.7,10,9.5,2,1.9,6,5.7,10,9.5,10,9.5,3,2.9,11,10.5,13,12.4,17,16.2,27,25.7
脳原性運動機能,72,100,13,18.1,12,16.7,6,8.3,5,6.9,9,12.5,4,5.6,6,8.3,14,19.4,7,9.7,4,5.6,11,15.3,6,8.3,14,19.4,12,16.7
内部障害,259,100,17,6.6,15,5.8,28,10.8,6,2.3,26,10,20,7.7,9,3.5,35,13.5,35,13.5,4,1.5,64,24.7,25,9.7,35,13.5,45,17.4
