区分,総数,総数割合,それぞれの障害者が情報入手できるようさまざまな媒体（発声、点字、テキストデータなど）で提供してほしい,それぞれの障害者が情報入手できるようさまざまな媒体（発声、点字、テキストデータなど）で提供してほしい割合,誰もが読みやすい文字などを使用してほしい,誰もが読みやすい文字などを使用してほしい割合,パンフレットやホームページなどを色の使い方に配慮して作成してほしい,パンフレットやホームページなどを色の使い方に配慮して作成してほしい割合,問い合わせ先は電話番号だけでなく、ファックスやメールアドレスを載せてほしい,問い合わせ先は電話番号だけでなく、ファックスやメールアドレスを載せてほしい割合,SNS（ツイッター、フェイスブックなど）で発信してほしい,SNS（ツイッター、フェイスブックなど）で発信してほしい割合,手話、筆談で対応できる人を増やしてほしい,手話、筆談で対応できる人を増やしてほしい割合,わかりやすい文言・表現・絵文字（ピクトグラム）を使用してほしい,わかりやすい文言・表現・絵文字（ピクトグラム）を使用してほしい割合,動画などでわかる資料を作成してほしい,動画などでわかる資料を作成してほしい割合,必要な情報をわかりやすく説明してくれる人がほしい,必要な情報をわかりやすく説明してくれる人がほしい割合,その他,その他割合,特にない,特にない割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1463,100,247,16.9,325,22.2,82,5.6,195,13.3,88,6,70,4.8,221,15.1,126,8.6,328,22.4,43,2.9,344,23.5,130,8.9,165,11.3
身体障害者,914,100,162,17.7,198,21.7,53,5.8,128,14,48,5.3,61,6.7,115,12.6,61,6.7,186,20.4,29,3.2,218,23.9,83,9.1,105,11.5
知的障害者,362,100,44,12.2,95,26.2,16,4.4,26,7.2,12,3.3,9,2.5,93,25.7,48,13.3,116,32,8,2.2,53,14.6,50,13.8,35,9.7
精神障害者,241,100,37,15.4,52,21.6,11,4.6,39,16.2,20,8.3,9,3.7,24,10,24,10,56,23.2,6,2.5,44,18.3,30,12.4,35,14.5
自立支援医療受給者,108,100,17,15.7,24,22.2,4,3.7,23,21.3,12,11.1,5,4.6,19,17.6,17,15.7,47,43.5,4,3.7,26,24.1,9,8.3,1,0.9
難病医療費助成者,316,100,61,19.3,79,25,21,6.6,46,14.6,20,6.3,5,1.6,46,14.6,22,7,57,18,6,1.9,97,30.7,23,7.3,21,6.6
医療費助成対象外の難病患者,22,100,3,13.6,4,18.2,1,4.5,1,4.5,2,9.1,1,4.5,1,4.5,2,9.1,4,18.2,2,9.1,8,36.4,0,0,3,13.6
発達障害と診断,30,100,6,20,7,23.3,2,6.7,3,10,7,23.3,1,3.3,7,23.3,9,30,13,43.3,2,6.7,2,6.7,2,6.7,1,3.3
高次脳機能障害と診断,25,100,1,4,3,12,0,0,1,4,1,4,1,4,4,16,4,16,7,28,1,4,6,24,3,12,4,16
認知症と診断,10,100,3,30,1,10,0,0,1,10,0,0,3,30,2,20,0,0,4,40,0,0,1,10,1,10,1,10
