区分,総数,総数割合,自分の家,自分の家割合,職場（一般企業など）,職場（一般企業など）割合,職場（福祉的就労の施設）（就労継続支援A型・B型、就労移行支援）,職場（福祉的就労の施設）（就労継続支援A型・B型、就労移行支援）割合,学校,学校割合,通所施設（生活介護、デイケアなど）,通所施設（生活介護、デイケアなど）割合,入所施設,入所施設割合,その他,その他割合,無回答,無回答割合
障害者等総数,1463,100,763,52.2,334,22.8,108,7.4,18,1.2,122,8.3,57,3.9,36,2.5,25,1.7
Q29保有している手帳、難病医療費助成、障害の診断／身体障害者,914,100,550,60.2,167,18.3,32,3.5,8,0.9,83,9.1,37,4,25,2.7,12,1.3
Q29保有している手帳、難病医療費助成、障害の診断／知的障害者,362,100,73,20.2,84,23.2,81,22.4,6,1.7,75,20.7,31,8.6,9,2.5,3,0.8
Q29保有している手帳、難病医療費助成、障害の診断／精神障害者,241,100,145,60.2,42,17.4,17,7.1,2,0.8,15,6.2,8,3.3,9,3.7,3,1.2
Q29保有している手帳、難病医療費助成、障害の診断／自立支援医療受給者,108,100,57,52.8,27,25,15,13.9,1,0.9,6,5.6,1,0.9,1,0.9,0,0
Q29保有している手帳、難病医療費助成、障害の診断／難病医療費助成者,316,100,199,63,84,26.6,6,1.9,4,1.3,10,3.2,3,0.9,9,2.8,1,0.3
Q29保有している手帳、難病医療費助成、障害の診断／医療費助成対象外の難病患者,22,100,13,59.1,7,31.8,0,0,0,0,1,4.5,0,0,0,0,1,4.5
Q29保有している手帳、難病医療費助成、障害の診断／発達障害と診断,30,100,8,26.7,12,40,4,13.3,2,6.7,1,3.3,1,3.3,2,6.7,0,0
Q29保有している手帳、難病医療費助成、障害の診断／高次脳機能障害と診断,25,100,11,44,1,4,4,16,0,0,4,16,2,8,3,12,0,0
Q29保有している手帳、難病医療費助成、障害の診断／認知症と診断,10,100,4,40,1,10,0,0,0,0,1,10,3,30,1,10,0,0
Q2年代／10代,27,100,2,7.4,9,33.3,3,11.1,7,25.9,5,18.5,1,3.7,0,0,0,0
Q2年代／20代,185,100,22,11.9,63,34.1,51,27.6,10,5.4,31,16.8,3,1.6,3,1.6,2,1.1
Q2年代／30代,176,100,38,21.6,69,39.2,25,14.2,1,0.6,29,16.5,11,6.3,3,1.7,0,0
Q2年代／40代,191,100,70,36.6,77,40.3,20,10.5,0,0,11,5.8,7,3.7,4,2.1,2,1
Q2年代／50代,189,100,97,51.3,69,36.5,4,2.1,0,0,8,4.2,6,3.2,3,1.6,2,1.1
Q2年代／60代,248,100,172,69.4,36,14.5,4,1.6,0,0,15,6,6,2.4,10,4,5,2
Q2年代／70代,269,100,225,83.6,9,3.3,1,0.4,0,0,11,4.1,9,3.3,8,3,6,2.2
Q2年代／80代以上,170,100,132,77.6,2,1.2,0,0,0,0,12,7.1,13,7.6,5,2.9,6,3.5
