区分,総数,総数割合,パソコン,パソコン割合,タブレット,タブレット割合,携帯電話,携帯電話割合,スマートフォン,スマートフォン割合,その他,その他割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,730,100,575,78.8,197,27,139,19,444,60.8,8,1.1,11,1.5,3,0.4
Q29保有している手帳、難病医療費助成、障害の診断／身体障害者,388,100,308,79.4,96,24.7,85,21.9,219,56.4,4,1,8,2.1,3,0.8
Q29保有している手帳、難病医療費助成、障害の診断／知的障害者,128,100,84,65.6,38,29.7,17,13.3,71,55.5,1,0.8,6,4.7,0,0
Q29保有している手帳、難病医療費助成、障害の診断／精神障害者,122,100,99,81.1,34,27.9,21,17.2,68,55.7,2,1.6,2,1.6,0,0
Q29保有している手帳、難病医療費助成、障害の診断／自立支援医療受給者,74,100,60,81.1,26,35.1,13,17.6,46,62.2,0,0,0,0,0,0
Q29保有している手帳、難病医療費助成、障害の診断／難病医療費助成者,211,100,174,82.5,60,28.4,42,19.9,147,69.7,2,0.9,1,0.5,0,0
Q29保有している手帳、難病医療費助成、障害の診断／医療費助成対象外の難病患者,11,100,8,72.7,4,36.4,2,18.2,7,63.6,0,0,0,0,0,0
Q29保有している手帳、難病医療費助成、障害の診断／発達障害と診断,21,100,17,81,7,33.3,9,42.9,12,57.1,0,0,0,0,0,0
Q29保有している手帳、難病医療費助成、障害の診断／高次脳機能障害と診断,7,100,5,71.4,2,28.6,1,14.3,4,57.1,0,0,0,0,0,0
Q29保有している手帳、難病医療費助成、障害の診断／認知症と診断,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2年代／10代,17,100,15,88.2,6,35.3,3,17.6,12,70.6,0,0,0,0,0,0
Q2年代／20代,121,100,93,76.9,42,34.7,15,12.4,84,69.4,3,2.5,1,0.8,0,0
Q2年代／30代,111,100,89,80.2,34,30.6,20,18,90,81.1,2,1.8,0,0,0,0
Q2年代／40代,137,100,102,74.5,36,26.3,27,19.7,98,71.5,1,0.7,2,1.5,0,0
Q2年代／50代,133,100,105,78.9,40,30.1,25,18.8,92,69.2,0,0,0,0,1,0.8
Q2年代／60代,127,100,106,83.5,29,22.8,25,19.7,48,37.8,0,0,3,2.4,1,0.8
Q2年代／70代,59,100,47,79.7,5,8.5,16,27.1,13,22,2,3.4,1,1.7,1,1.7
Q2年代／80代以上,23,100,17,73.9,4,17.4,8,34.8,6,26.1,0,0,3,13,0,0
Q30身体障害種別／視覚,44,100,31,70.5,8,18.2,9,20.5,20,45.5,0,0,2,4.5,3,6.8
Q30身体障害種別／聴覚,55,100,43,78.2,18,32.7,15,27.3,34,61.8,1,1.8,2,3.6,0,0
Q30身体障害種別／平衡機能,9,100,7,77.8,0,0,3,33.3,4,44.4,0,0,1,11.1,0,0
Q30身体障害種別／音声機能・言語機能・そしゃく機能,25,100,18,72,5,20,5,20,12,48,1,4,0,0,0,0
Q30身体障害種別／上肢,81,100,68,84,19,23.5,19,23.5,36,44.4,1,1.2,1,1.2,0,0
Q30身体障害種別／下肢,106,100,84,79.2,23,21.7,22,20.8,47,44.3,0,0,2,1.9,0,0
Q30身体障害種別／体幹,36,100,30,83.3,13,36.1,12,33.3,16,44.4,0,0,1,2.8,0,0
Q30身体障害種別／脳原性運動機能,28,100,22,78.6,9,32.1,9,32.1,17,60.7,1,3.6,0,0,0,0
Q30身体障害種別／内部障害,131,100,106,80.9,31,23.7,22,16.8,89,67.9,3,2.3,4,3.1,0,0
