区分,総数,総数割合,携帯電話、スマートフォン、タブレット、パソコン,携帯電話、スマートフォン、タブレット、パソコン割合,ファックス,ファックス割合,メール,メール割合,点字,点字割合,指点字,指点字割合,手書き文字（てのひら書き）,手書き文字（てのひら書き）割合,拡大文字,拡大文字割合,録音物（デイジー版など）,録音物（デイジー版など）割合,読み上げソフト、アプリ等,読み上げソフト、アプリ等割合,朗読サービス,朗読サービス割合,手話,手話割合,筆談,筆談割合,要約筆記通訳や手話通訳,要約筆記通訳や手話通訳割合,補聴器・補聴援助機器,補聴器・補聴援助機器割合,口話・読話,口話・読話割合,行動（身振り・手振り）,行動（身振り・手振り）割合,会話を文字化するアプリ,会話を文字化するアプリ割合,絵文字（ピクトグラム）,絵文字（ピクトグラム）割合,その他,その他割合,無回答,無回答割合
障害者等総数,1463,100,765,52.3,31,2.1,349,23.9,4,0.3,2,0.1,12,0.8,17,1.2,2,0.1,6,0.4,4,0.3,20,1.4,67,4.6,5,0.3,70,4.8,175,12,101,6.9,5,0.3,13,0.9,108,7.4,381,26
身体障害者,914,100,430,47,16,1.8,196,21.4,4,0.4,2,0.2,10,1.1,15,1.6,1,0.1,5,0.5,3,0.3,19,2.1,63,6.9,5,0.5,66,7.2,112,12.3,75,8.2,4,0.4,6,0.7,72,7.9,256,28
知的障害者,362,100,134,37,1,0.3,56,15.5,0,0,0,0,2,0.6,1,0.3,0,0,2,0.6,1,0.3,2,0.6,8,2.2,0,0,11,3,56,15.5,33,9.1,0,0,3,0.8,46,12.7,106,29.3
精神障害者,241,100,130,53.9,4,1.7,66,27.4,0,0,0,0,1,0.4,4,1.7,0,0,3,1.2,1,0.4,2,0.8,9,3.7,0,0,5,2.1,29,12,12,5,1,0.4,2,0.8,19,7.9,67,27.8
自立支援医療受給者,108,100,77,71.3,1,0.9,36,33.3,0,0,0,0,0,0,1,0.9,0,0,1,0.9,0,0,1,0.9,1,0.9,0,0,3,2.8,20,18.5,11,10.2,1,0.9,0,0,12,11.1,10,9.3
難病医療費助成者,316,100,225,71.2,13,4.1,101,32,1,0.3,0,0,1,0.3,2,0.6,2,0.6,0,0,1,0.3,0,0,1,0.3,0,0,2,0.6,24,7.6,10,3.2,0,0,3,0.9,14,4.4,61,19.3
医療費助成対象外の難病患者,22,100,12,54.5,1,4.5,8,36.4,0,0,0,0,1,4.5,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,2,9.1,2,9.1,0,0,0,0,1,4.5,0,0,8,36.4
発達障害と診断,30,100,21,70,2,6.7,10,33.3,0,0,0,0,0,0,2,6.7,0,0,0,0,1,3.3,0,0,1,3.3,0,0,3,10,5,16.7,2,6.7,0,0,0,0,4,13.3,2,6.7
高次脳機能障害と診断,25,100,9,36,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,3,12,3,12,0,0,0,0,5,20,8,32
認知症と診断,10,100,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,1,10,4,40,5,50,0,0,0,0,1,10,1,10

