区分,総数,総数割合,スタジアム・体育館などで観戦したい,スタジアム・体育館などで観戦したい割合,沿道で観戦したい,沿道で観戦したい割合,テレビ、ラジオ、インターネット配信等で観戦したい,テレビ、ラジオ、インターネット配信等で観戦したい割合,ボランティアとして関わりたい,ボランティアとして関わりたい割合,関わりたいと思わない,関わりたいと思わない割合,その他,その他割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1463,100,462,31.6,136,9.3,852,58.2,147,10,158,10.8,33,2.3,91,6.2,90,6.2
Q29保有している手帳、難病医療費助成、障害の診断／身体障害者,914,100,262,28.7,79,8.6,557,60.9,72,7.9,97,10.6,26,2.8,50,5.5,61,6.7
Q29保有している手帳、難病医療費助成、障害の診断／知的障害者,362,100,109,30.1,35,9.7,157,43.4,21,5.8,49,13.5,8,2.2,48,13.3,24,6.6
Q29保有している手帳、難病医療費助成、障害の診断／精神障害者,241,100,53,22,13,5.4,137,56.8,24,10,30,12.4,2,0.8,14,5.8,22,9.1
Q29保有している手帳、難病医療費助成、障害の診断／自立支援医療受給者,108,100,29,26.9,12,11.1,71,65.7,18,16.7,13,12,1,0.9,4,3.7,5,4.6
Q29保有している手帳、難病医療費助成、障害の診断／難病医療費助成者,316,100,126,39.9,34,10.8,201,63.6,49,15.5,27,8.5,3,0.9,11,3.5,13,4.1
Q29保有している手帳、難病医療費助成、障害の診断／医療費助成対象外の難病患者,22,100,8,36.4,1,4.5,15,68.2,2,9.1,1,4.5,0,0,0,0,2,9.1
Q29保有している手帳、難病医療費助成、障害の診断／発達障害と診断,30,100,7,23.3,2,6.7,10,33.3,5,16.7,7,23.3,1,3.3,4,13.3,1,3.3
Q29保有している手帳、難病医療費助成、障害の診断／高次脳機能障害と診断,25,100,9,36,2,8,16,64,1,4,1,4,1,4,0,0,5,20
Q29保有している手帳、難病医療費助成、障害の診断／認知症と診断,10,100,1,10,1,10,5,50,0,0,1,10,1,10,2,20,1,10
Q2年代／10代,27,100,12,44.4,3,11.1,13,48.1,4,14.8,4,14.8,0,0,2,7.4,1,3.7
Q2年代／20代,185,100,73,39.5,15,8.1,84,45.4,25,13.5,19,10.3,2,1.1,27,14.6,6,3.2
30代,176,100,69,39.2,23,13.1,81,46,24,13.6,29,16.5,5,2.8,14,8,9,5.1
Q2年代／40代,191,100,80,41.9,27,14.1,102,53.4,39,20.4,24,12.6,5,2.6,15,7.9,4,2.1
Q2年代／50代,189,100,70,37,24,12.7,110,58.2,23,12.2,19,10.1,3,1.6,8,4.2,8,4.2
Q2年代／60代,248,100,67,27,18,7.3,165,66.5,21,8.5,32,12.9,7,2.8,4,1.6,16,6.5
Q2年代／70代,269,100,70,26,16,5.9,186,69.1,10,3.7,14,5.2,6,2.2,8,3,21,7.8
Q2年代／80代以上,170,100,19,11.2,9,5.3,108,63.5,0,0,17,10,5,2.9,12,7.1,23,13.5
