区分,総数,総数割合,家族や友人,家族や友人割合,学校や職場、施設の人,学校や職場、施設の人割合,ボランティア、ヘルパーなどの支援者,ボランティア、ヘルパーなどの支援者割合,テレビやラジオ,テレビやラジオ割合,新聞,新聞割合,区市町村等の広報紙,区市町村等の広報紙割合,障害者団体の会合や機関誌,障害者団体の会合や機関誌割合,インターネット,インターネット割合,SNS（ツイッター、フェイスブックなど）,SNS（ツイッター、フェイスブックなど）割合,行政の窓口,行政の窓口割合,その他,その他割合,わからない,わからない割合,無回答,無回答割合
身体障害者総数,914,100,493,53.9,183,20,94,10.3,676,74,423,46.3,328,35.9,73,8,314,34.4,92,10.1,60,6.6,15,1.6,19,2.1,53,5.8
視覚,119,100,75,63,30,25.2,15,12.6,100,84,30,25.2,30,25.2,9,7.6,32,26.9,8,6.7,12,10.1,2,1.7,3,2.5,4,3.4
聴覚,133,100,72,54.1,24,18,10,7.5,85,63.9,75,56.4,53,39.8,12,9,47,35.3,23,17.3,9,6.8,3,2.3,6,4.5,3,2.3
平衡機能,28,100,13,46.4,7,25,2,7.1,22,78.6,13,46.4,8,28.6,2,7.1,6,21.4,1,3.6,1,3.6,0,0,1,3.6,3,10.7
音声機能・言語機能・そしゃく機能,93,100,49,52.7,19,20.4,12,12.9,61,65.6,37,39.8,35,37.6,10,10.8,17,18.3,8,8.6,2,2.2,0,0,2,2.2,8,8.6
上肢,175,100,83,47.4,56,32,31,17.7,120,68.6,62,35.4,48,27.4,25,14.3,66,37.7,7,4,6,3.4,2,1.1,4,2.3,13,7.4
下肢,261,100,136,52.1,59,22.6,42,16.1,203,77.8,125,47.9,93,35.6,23,8.8,86,33,11,4.2,11,4.2,2,0.8,7,2.7,12,4.6
体幹,105,100,58,55.2,39,37.1,21,20,69,65.7,26,24.8,23,21.9,17,16.2,29,27.6,10,9.5,6,5.7,1,1,6,5.7,13,12.4
脳原性運動機能,72,100,42,58.3,35,48.6,20,27.8,44,61.1,22,30.6,15,20.8,12,16.7,23,31.9,7,9.7,1,1.4,0,0,8,11.1,4,5.6
内部障害,259,100,149,57.5,40,15.4,9,3.5,206,79.5,142,54.8,110,42.5,20,7.7,113,43.6,31,12,23,8.9,7,2.7,2,0.8,9,3.5
