区分,総数,総数割合,出生時,出生時割合,9歳以下,9歳以下割合,10代,10代割合,20代,20代割合,30代,30代割合,40代,40代割合,50代,50代割合,60代,60代割合,70代,70代割合,80代以上,80代以上割合,時期不明,時期不明割合,無回答,無回答割合
障害者等総数,1463,100.0 ,261,17.8 ,121,8.3 ,80,5.5 ,107,7.3 ,102,7.0 ,134,9.2 ,161,11.0 ,180,12.3 ,138,9.4 ,38,2.6 ,7,0.5 ,134,9.2 
身体障害者,914,100.0 ,142,15.5 ,80,8.8 ,24,2.6 ,38,4.2 ,42,4.6 ,89,9.7 ,120,13.1 ,156,17.1 ,122,13.3 ,36,3.9 ,7,0.8 ,58,6.3 
知的障害者,362,100.0 ,173,47.8 ,65,18.0 ,34,9.4 ,7,1.9 ,8,2.2 ,7,1.9 ,9,2.5 ,15,4.1 ,15,4.1 ,4,1.1 ,3,0.8 ,22,6.1 
精神障害者,241,100.0 ,28,11.6 ,7,2.9 ,23,9.5 ,42,17.4 ,35,14.5 ,31,12.9 ,17,7.1 ,21,8.7 ,22,9.1 ,2,0.8 ,4,1.7 ,9,3.7 
自立支援医療受給者,108,100.0 ,14,13.0 ,10,9.3 ,8,7.4 ,20,18.5 ,26,24.1 ,16,14.8 ,7,6.5 ,2,1.9 ,1,0.9 ,0,0.0 ,1,0.9 ,3,2.8 
難病医療費助成者,316,100.0 ,5,1.6 ,5,1.6 ,14,4.4 ,32,10.1 ,38,12.0 ,37,11.7 ,51,16.1 ,43,13.6 ,28,8.9 ,6,1.9 ,1,0.3 ,56,17.7 
医療費助成対象外の難病患者,22,100.0 ,1,4.5 ,1,4.5 ,0,0.0 ,2,9.1 ,1,4.5 ,3,13.6 ,5,22.7 ,2,9.1 ,3,13.6 ,1,4.5 ,0,0.0 ,3,13.6 
発達障害と診断,30,100.0 ,8,26.7 ,5,16.7 ,3,10.0 ,6,20.0 ,2,6.7 ,2,6.7 ,0,0.0 ,1,3.3 ,0,0.0 ,0,0.0 ,0,0.0 ,3,10.0 
高次脳機能障害と診断,25,100.0 ,1,4.0 ,0,0.0 ,1,4.0 ,1,4.0 ,0,0.0 ,4,16.0 ,5,20.0 ,8,32.0 ,4,16.0 ,0,0.0 ,0,0.0 ,1,4.0 
認知症と診断,10,100.0 ,0,0.0 ,1,10.0 ,1,10.0 ,0,0.0 ,0,0.0 ,2,20.0 ,1,10.0 ,1,10.0 ,2,20.0 ,1,10.0 ,1,10.0 ,0,0.0 
