区分,総数,総数割合,文化、芸術活動を行う施設のバリアフリー化,文化、芸術活動を行う施設のバリアフリー化割合,交通機関やまちのバリアフリー化,交通機関やまちのバリアフリー化割合,活動の場までの送迎,活動の場までの送迎割合,活動できる場の充実,活動できる場の充実割合,障害にあわせたプログラムの充実,障害にあわせたプログラムの充実割合,介助者や手話通訳などの支援,介助者や手話通訳などの支援割合,障害に対応した情報の提供や問合せ方法の充実,障害に対応した情報の提供や問合せ方法の充実割合,施設や用具等を利用する際に必要な手続きの支援,施設や用具等を利用する際に必要な手続きの支援割合,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進割合,適切な指導者,適切な指導者割合,一緒に行う仲間,一緒に行う仲間割合,用具等の貸出,用具等の貸出割合,施設の利用料減免,施設の利用料減免割合,その他,その他割合,特にない,特にない割合,活動したいと思わない,活動したいと思わない割合,わからない,わからない割合,無回答,無回答割合
身体障害者総数,914,100,176,19.3,167,18.3,141,15.4,104,11.4,105,11.5,79,8.6,98,10.7,42,4.6,44,4.8,122,13.3,119,13,30,3.3,133,14.6,17,1.9,159,17.4,44,4.8,65,7.1,116,12.7
視覚,119,100,22,18.5,23,19.3,27,22.7,16,13.4,18,15.1,12,10.1,19,16,13,10.9,7,5.9,21,17.6,16,13.4,2,1.7,8,6.7,2,1.7,12,10.1,9,7.6,11,9.2,12,10.1
聴覚,133,100,10,7.5,10,7.5,13,9.8,17,12.8,13,9.8,26,19.5,25,18.8,7,5.3,10,7.5,14,10.5,20,15,4,3,17,12.8,3,2.3,23,17.3,7,5.3,10,7.5,16,12
平衡機能,28,100,6,21.4,5,17.9,5,17.9,7,25,3,10.7,5,17.9,3,10.7,1,3.6,0,0,1,3.6,2,7.1,0,0,1,3.6,1,3.6,4,14.3,1,3.6,2,7.1,8,28.6
音声機能・言語機能・そしゃく機能,93,100,9,9.7,10,10.8,16,17.2,10,10.8,12,12.9,17,18.3,7,7.5,3,3.2,3,3.2,10,10.8,11,11.8,3,3.2,12,12.9,1,1.1,18,19.4,6,6.5,4,4.3,9,9.7
上肢,175,100,52,29.7,51,29.1,38,21.7,32,18.3,30,17.1,19,10.9,20,11.4,9,5.1,9,5.1,35,20,20,11.4,8,4.6,21,12,5,2.9,16,9.1,5,2.9,13,7.4,14,8
下肢,261,100,80,30.7,74,28.4,51,19.5,39,14.9,30,11.5,15,5.7,26,10,10,3.8,10,3.8,37,14.2,27,10.3,11,4.2,41,15.7,6,2.3,31,11.9,11,4.2,14,5.4,31,11.9
体幹,105,100,36,34.3,30,28.6,26,24.8,15,14.3,16,15.2,14,13.3,10,9.5,2,1.9,5,4.8,20,19,9,8.6,1,1,6,5.7,4,3.8,9,8.6,1,1,10,9.5,14,13.3
脳原性運動機能,72,100,30,41.7,26,36.1,14,19.4,11,15.3,16,22.2,15,20.8,13,18.1,4,5.6,10,13.9,12,16.7,9,12.5,4,5.6,8,11.1,4,5.6,6,8.3,1,1.4,8,11.1,4,5.6
内部障害,259,100,37,14.3,37,14.3,31,12,26,10,22,8.5,7,2.7,21,8.1,8,3.1,8,3.1,29,11.2,36,13.9,8,3.1,50,19.3,2,0.8,71,27.4,9,3.5,13,5,34,13.1
