区分,総数,総数割合,携帯電話、スマートフォン、タブレット、パソコン,携帯電話、スマートフォン、タブレット、パソコン割合,ファックス,ファックス割合,メール,メール割合,点字,点字割合,指点字,指点字割合,手書き文字（てのひら書き）,手書き文字（てのひら書き）割合,拡大文字,拡大文字割合,録音物（デイジー版など）,録音物（デイジー版など）割合,読み上げソフト、アプリ等,読み上げソフト、アプリ等割合,朗読サービス,朗読サービス割合,手話,手話割合,筆談,筆談割合,要約筆記通訳や手話通訳,要約筆記通訳や手話通訳割合,補聴器・補聴援助機器,補聴器・補聴援助機器割合,口話・読話,口話・読話割合,行動（身振り・手振り）,行動（身振り・手振り）割合,会話を文字化するアプリ,会話を文字化するアプリ割合,絵文字（ピクトグラム）,絵文字（ピクトグラム）割合,その他,その他割合,無回答,無回答割合
身体障害者総数,914,100,430,47,16,1.8,196,21.4,4,0.4,2,0.2,10,1.1,15,1.6,1,0.1,5,0.5,3,0.3,19,2.1,63,6.9,5,0.5,66,7.2,112,12.3,75,8.2,4,0.4,6,0.7,72,7.9,256,28
視覚,119,100,54,45.4,1,0.8,22,18.5,3,2.5,1,0.8,2,1.7,9,7.6,0,0,3,2.5,2,1.7,0,0,1,0.8,0,0,3,2.5,14,11.8,5,4.2,2,1.7,1,0.8,12,10.1,36,30.3
聴覚,133,100,52,39.1,4,3,32,24.1,0,0,0,0,5,3.8,2,1.5,0,0,1,0.8,0,0,17,12.8,39,29.3,5,3.8,58,43.6,26,19.5,22,16.5,1,0.8,0,0,3,2.3,21,15.8
平衡機能,28,100,8,28.6,1,3.6,2,7.1,0,0,0,0,1,3.6,0,0,0,0,0,0,0,0,0,0,1,3.6,0,0,0,0,4,14.3,3,10.7,0,0,0,0,3,10.7,12,42.9
音声機能・言語機能・そしゃく機能,93,100,24,25.8,1,1.1,17,18.3,0,0,2,2.2,3,3.2,1,1.1,0,0,1,1.1,0,0,2,2.2,23,24.7,0,0,2,2.2,15,16.1,21,22.6,2,2.2,1,1.1,18,19.4,18,19.4
上肢,175,100,67,38.3,3,1.7,31,17.7,0,0,0,0,2,1.1,0,0,0,0,0,0,0,0,1,0.6,5,2.9,0,0,4,2.3,29,16.6,17,9.7,1,0.6,0,0,23,13.1,52,29.7
下肢,261,100,115,44.1,2,0.8,49,18.8,0,0,0,0,1,0.4,1,0.4,0,0,1,0.4,1,0.4,0,0,0,0,0,0,3,1.1,33,12.6,20,7.7,1,0.4,2,0.8,27,10.3,85,32.6
体幹,105,100,34,32.4,2,1.9,13,12.4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,13.3,7,6.7,1,1,0,0,16,15.2,39,37.1
脳原性運動機能,72,100,28,38.9,2,2.8,11,15.3,0,0,0,0,0,0,0,0,0,0,1,1.4,0,0,0,0,1,1.4,0,0,4,5.6,16,22.2,14,19.4,1,1.4,0,0,9,12.5,20,27.8
内部障害,259,100,151,58.3,7,2.7,63,24.3,1,0.4,0,0,1,0.4,2,0.8,1,0.4,0,0,1,0.4,0,0,2,0.8,0,0,4,1.5,21,8.1,10,3.9,0,0,3,1.2,12,4.6,74,28.6
